index,date,open,high,low,close,volume
0,2020/12/18 09:07:00,36.55,36.55,36.55,36.55,335.0
1,2020/12/18 09:15:00,36.55,36.55,36.55,36.55,335.0
2,2020/12/18 09:16:00,41.0,41.0,40.45,40.45,691.0
3,2020/12/18 09:17:00,40.4,40.4,40.35,40.35,755.0
4,2020/12/18 09:18:00,39.85,39.85,39.7,39.7,76.0
5,2020/12/18 09:20:00,38.1,39.45,38.1,39.45,378.0
6,2020/12/18 09:21:00,38.15,38.9,38.0,38.7,318.0
7,2020/12/18 09:22:00,38.4,38.4,38.1,38.1,924.0
8,2020/12/18 09:23:00,38.1,38.1,38.0,38.0,1551.0
9,2020/12/18 09:24:00,38.0,38.0,37.15,37.15,157.0
10,2020/12/18 09:25:00,38.0,38.0,37.35,37.35,6.0
11,2020/12/18 09:26:00,38.4,39.85,38.4,39.85,848.0
12,2020/12/18 09:27:00,40.3,40.3,40.3,40.3,104.0
13,2020/12/18 09:28:00,40.0,40.0,40.0,40.0,478.0
14,2020/12/18 09:29:00,40.0,40.0,40.0,40.0,433.0
15,2020/12/18 09:30:00,40.3,40.3,40.3,40.3,10.0
16,2020/12/18 09:31:00,40.3,40.3,40.3,40.3,901.0
17,2020/12/18 09:33:00,41.0,41.0,41.0,41.0,500.0
18,2020/12/18 09:34:00,41.0,41.0,41.0,41.0,45.0
19,2020/12/18 09:35:00,41.0,41.05,40.95,40.95,1000.0
20,2020/12/18 09:36:00,40.95,40.95,40.95,40.95,100.0
21,2020/12/18 09:37:00,40.6,40.95,40.6,40.95,609.0
22,2020/12/18 09:39:00,41.4,41.4,41.35,41.4,114.0
23,2020/12/18 09:40:00,41.5,41.5,41.4,41.4,66.0
24,2020/12/18 09:41:00,41.4,41.4,41.4,41.4,130.0
25,2020/12/18 09:42:00,41.4,41.4,41.4,41.4,370.0
26,2020/12/18 09:43:00,41.4,41.4,40.65,40.65,632.0
27,2020/12/18 09:44:00,41.5,41.5,41.5,41.5,400.0
28,2020/12/18 09:46:00,40.7,40.7,40.7,40.7,1.0
29,2020/12/18 09:48:00,40.85,40.85,40.85,40.85,135.0
30,2020/12/18 09:49:00,40.85,41.4,40.85,41.4,366.0
31,2020/12/18 09:50:00,40.75,40.8,40.75,40.8,1000.0
32,2020/12/18 09:51:00,41.25,41.25,41.25,41.25,100.0
33,2020/12/18 09:52:00,41.3,41.3,41.0,41.0,150.0
34,2020/12/18 09:53:00,41.4,41.4,41.4,41.4,100.0
35,2020/12/18 09:56:00,41.4,41.4,41.1,41.1,150.0
36,2020/12/18 09:59:00,40.8,41.4,40.75,41.4,550.0
37,2020/12/18 10:00:00,40.75,40.75,40.7,40.7,115.0
38,2020/12/18 10:01:00,40.5,40.5,40.5,40.5,1211.0
39,2020/12/18 10:03:00,41.05,41.05,41.05,41.05,1.0
40,2020/12/18 10:04:00,40.7,40.7,40.7,40.7,1.0
41,2020/12/18 10:07:00,40.5,40.5,39.7,39.7,2.0
42,2020/12/18 10:14:00,40.45,40.45,40.45,40.45,5.0
43,2020/12/18 10:15:00,40.45,40.45,40.45,40.45,2.0
44,2020/12/18 10:18:00,39.6,39.6,39.6,39.6,1000.0
45,2020/12/18 10:20:00,39.6,39.6,39.6,39.6,289.0
46,2020/12/18 10:35:00,39.6,39.6,39.6,39.6,1500.0
47,2020/12/18 10:39:00,39.95,40.45,39.95,40.45,131.0
48,2020/12/18 10:40:00,40.45,40.45,40.45,40.45,10.0
49,2020/12/18 10:42:00,40.45,41.0,40.45,41.0,269.0
50,2020/12/18 10:43:00,40.95,41.35,40.95,41.35,1156.0
51,2020/12/18 10:44:00,40.55,41.3,40.55,41.3,1001.0
52,2020/12/18 10:45:00,41.0,41.2,40.5,40.5,1304.0
53,2020/12/18 10:46:00,40.5,40.5,40.5,40.5,500.0
54,2020/12/18 10:47:00,40.9,40.9,40.9,40.9,1.0
55,2020/12/18 10:49:00,40.85,40.85,40.85,40.85,30.0
56,2020/12/18 10:50:00,40.85,40.85,40.85,40.85,1.0
57,2020/12/18 10:57:00,40.15,40.15,40.15,40.15,30.0
58,2020/12/18 11:00:00,40.5,40.5,40.5,40.5,1.0
59,2020/12/18 11:02:00,40.45,40.45,40.45,40.45,100.0
60,2020/12/18 11:13:00,40.45,40.45,40.45,40.45,1.0
61,2020/12/18 11:15:00,40.0,40.45,40.0,40.45,510.0
62,2020/12/18 11:18:00,40.25,40.25,40.25,40.25,1000.0
63,2020/12/18 11:45:00,40.15,40.15,40.15,40.15,500.0
64,2020/12/18 11:48:00,40.0,40.0,39.95,39.95,142.0
65,2020/12/18 11:49:00,39.65,40.0,39.65,40.0,1801.0
66,2020/12/18 11:50:00,39.6,39.6,39.6,39.6,361.0
67,2020/12/18 11:52:00,38.6,38.6,38.6,38.6,447.0
68,2020/12/18 12:05:00,40.1,40.1,40.1,40.1,1000.0
69,2020/12/18 12:07:00,39.2,40.0,39.2,40.0,501.0
70,2020/12/18 12:28:00,39.65,39.65,39.65,39.65,1.0
71,2020/12/18 12:35:00,39.45,39.95,39.45,39.95,251.0
72,2020/12/18 12:56:00,39.75,39.75,39.75,39.75,1.0
73,2020/12/18 13:00:00,39.8,39.8,39.8,39.8,4.0
74,2020/12/18 13:14:00,39.45,39.45,39.45,39.45,1.0
75,2020/12/18 13:42:00,39.4,39.8,39.4,39.8,50.0
76,2020/12/18 13:47:00,39.7,39.7,39.7,39.7,10.0
77,2020/12/18 13:49:00,39.75,39.75,39.7,39.7,948.0
78,2020/12/18 13:53:00,39.95,40.0,39.95,40.0,2586.0
79,2020/12/18 13:54:00,40.0,40.0,40.0,40.0,111.0
80,2020/12/18 14:00:00,40.0,40.0,40.0,40.0,100.0
81,2020/12/18 14:01:00,40.1,40.1,40.1,40.1,52.0
82,2020/12/18 14:18:00,40.1,40.1,40.1,40.1,203.0
83,2020/12/18 14:31:00,39.05,40.1,39.05,40.1,1001.0
84,2020/12/18 14:32:00,38.95,40.05,38.95,40.05,1001.0
85,2020/12/18 14:33:00,40.0,40.0,40.0,40.0,1.0
86,2020/12/18 14:34:00,40.1,40.1,40.1,40.1,1847.0
87,2020/12/18 14:38:00,40.4,40.4,40.4,40.4,1153.0
88,2020/12/18 14:45:00,40.25,40.25,40.25,40.25,245.0
89,2020/12/18 14:46:00,39.6,39.6,39.6,39.6,50.0
