index,date,open,high,low,close,volume
0,2020/11/14 19:10:00,44.8,44.8,44.8,44.8,1.0
1,2020/11/14 19:11:00,44.75,44.75,43.75,43.75,9.0
2,2020/11/14 19:12:00,43.75,43.75,43.75,43.75,100.0
3,2020/11/14 19:13:00,43.75,43.75,43.75,43.75,16.0
4,2020/11/14 19:29:00,44.05,44.05,44.05,44.05,90.0
5,2020/11/17 09:07:00,45.75,45.75,45.75,45.75,1.0
6,2020/11/17 09:15:00,45.75,46.95,43.2,43.2,2000.0
7,2020/11/17 09:16:00,45.55,45.55,45.55,45.55,95.0
8,2020/11/17 09:20:00,45.7,45.7,45.7,45.7,100.0
9,2020/11/17 09:29:00,45.1,45.1,45.1,45.1,205.0
10,2020/11/17 09:33:00,45.8,45.8,45.8,45.8,28.0
11,2020/11/17 09:34:00,45.0,45.0,45.0,45.0,22.0
12,2020/11/17 09:35:00,45.8,45.8,45.8,45.8,20.0
13,2020/11/17 09:36:00,45.8,45.8,45.8,45.8,25.0
14,2020/11/17 09:41:00,45.6,45.8,45.6,45.8,208.0
15,2020/11/17 09:44:00,45.4,45.4,45.4,45.4,20.0
16,2020/11/17 09:45:00,45.4,45.4,45.4,45.4,16.0
17,2020/11/17 09:47:00,45.35,45.35,45.35,45.35,110.0
18,2020/11/17 09:54:00,45.4,45.4,45.4,45.4,100.0
19,2020/11/17 09:58:00,45.4,45.4,45.4,45.4,1.0
20,2020/11/17 09:59:00,45.4,45.4,45.4,45.4,27.0
21,2020/11/17 10:03:00,45.05,45.05,45.05,45.05,1.0
22,2020/11/17 10:04:00,45.8,45.8,45.05,45.05,1175.0
23,2020/11/17 10:26:00,45.25,45.25,45.25,45.25,20.0
24,2020/11/17 10:55:00,45.65,45.65,45.65,45.65,100.0
25,2020/11/17 10:57:00,45.65,45.65,45.65,45.65,4.0
26,2020/11/17 11:03:00,45.65,45.65,44.9,44.9,1531.0
27,2020/11/17 11:08:00,44.95,44.95,44.95,44.95,25.0
