index,date,open,high,low,close,volume
0,2020/12/09 10:48:00,725.0,725.0,725.0,725.0,100.0
1,2020/12/09 10:49:00,725.25,725.25,725.25,725.25,2.0
2,2020/12/09 10:50:00,725.0,725.0,725.0,725.0,8.0
3,2020/12/09 10:51:00,725.9,725.9,725.9,725.9,3.0
4,2020/12/09 10:57:00,727.15,727.15,727.15,727.15,1.0
5,2020/12/09 10:59:00,727.35,727.35,726.65,726.65,31.0
6,2020/12/09 11:05:00,727.7,727.7,726.6,726.6,25.0
7,2020/12/09 11:07:00,726.6,726.6,726.6,726.6,8.0
8,2020/12/09 11:09:00,725.85,725.85,725.15,725.15,100.0
9,2020/12/09 11:10:00,727.3,727.3,727.3,727.3,25.0
10,2020/12/09 11:12:00,727.0,727.0,727.0,727.0,13.0
11,2020/12/09 11:13:00,727.0,727.0,727.0,727.0,3.0
12,2020/12/09 11:14:00,727.0,727.0,727.0,727.0,10.0
13,2020/12/09 11:15:00,725.0,725.0,725.0,725.0,112.0
14,2020/12/09 11:16:00,726.3,726.3,726.3,726.3,4.0
15,2020/12/09 11:17:00,725.0,725.0,725.0,725.0,50.0
16,2020/12/09 11:18:00,725.0,725.0,725.0,725.0,5.0
17,2020/12/09 11:21:00,725.0,725.0,725.0,725.0,371.0
18,2020/12/09 11:32:00,725.95,725.95,725.95,725.95,10.0
19,2020/12/09 11:33:00,727.35,727.35,727.35,727.35,214.0
20,2020/12/09 11:34:00,727.05,727.05,727.05,727.05,1.0
21,2020/12/09 11:39:00,727.0,727.0,727.0,727.0,29.0
22,2020/12/09 11:40:00,727.0,727.0,727.0,727.0,23.0
23,2020/12/09 11:41:00,727.35,727.35,727.35,727.35,3.0
24,2020/12/09 11:42:00,727.05,727.95,727.05,727.95,40.0
25,2020/12/09 11:43:00,727.95,727.95,727.95,727.95,10.0
26,2020/12/09 11:45:00,728.0,728.0,728.0,728.0,2.0
27,2020/12/09 11:47:00,728.0,728.0,727.05,727.05,50.0
28,2020/12/09 11:48:00,727.1,727.1,727.1,727.1,1.0
29,2020/12/09 11:51:00,727.1,727.1,727.1,727.1,6.0
30,2020/12/09 11:55:00,728.25,728.25,728.25,728.25,40.0
31,2020/12/09 11:56:00,728.1,728.1,728.1,728.1,2.0
32,2020/12/09 11:57:00,729.0,729.15,729.0,729.15,31.0
33,2020/12/09 11:58:00,728.5,729.05,728.5,729.05,57.0
34,2020/12/09 12:00:00,727.65,727.65,727.65,727.65,2.0
35,2020/12/09 12:01:00,728.55,728.55,728.55,728.55,1.0
36,2020/12/09 12:04:00,729.15,729.15,729.15,729.15,100.0
37,2020/12/09 12:06:00,729.15,729.15,728.5,728.5,83.0
38,2020/12/09 12:08:00,729.45,729.45,729.4,729.4,19.0
39,2020/12/09 12:09:00,729.8,729.8,728.5,728.5,19.0
40,2020/12/09 12:11:00,730.0,731.0,730.0,731.0,321.0
41,2020/12/09 12:12:00,731.0,733.85,731.0,733.85,100.0
42,2020/12/09 12:13:00,734.6,734.6,734.6,734.6,72.0
43,2020/12/09 12:15:00,735.0,735.3,735.0,735.3,2.0
44,2020/12/09 12:16:00,735.0,735.25,735.0,735.25,118.0
45,2020/12/09 12:17:00,733.6,733.6,731.95,731.95,131.0
46,2020/12/09 12:18:00,730.7,730.7,730.7,730.7,1.0
47,2020/12/09 12:20:00,731.75,731.75,731.75,731.75,5.0
48,2020/12/09 12:24:00,735.35,735.35,735.35,735.35,10.0
49,2020/12/09 12:26:00,732.0,732.0,732.0,732.0,24.0
50,2020/12/09 12:32:00,732.0,732.0,732.0,732.0,50.0
51,2020/12/09 12:34:00,730.75,730.75,730.75,730.75,1.0
52,2020/12/09 12:36:00,730.45,730.45,726.75,726.75,710.0
53,2020/12/09 12:39:00,728.0,728.0,728.0,728.0,58.0
54,2020/12/09 12:40:00,729.45,729.45,729.45,729.45,72.0
55,2020/12/09 12:41:00,730.95,730.95,725.85,727.4,684.0
56,2020/12/09 12:42:00,726.65,726.65,726.65,726.65,1.0
57,2020/12/09 12:44:00,725.65,725.65,725.65,725.65,20.0
58,2020/12/09 12:48:00,724.75,724.75,724.75,724.75,152.0
59,2020/12/09 12:49:00,726.0,726.0,724.9,724.9,2.0
60,2020/12/09 12:50:00,725.95,725.95,723.1,725.5,154.0
61,2020/12/09 12:51:00,724.3,724.7,724.3,724.7,17.0
62,2020/12/09 12:55:00,725.0,725.0,725.0,725.0,40.0
63,2020/12/09 12:57:00,725.0,725.0,725.0,725.0,37.0
64,2020/12/09 12:58:00,725.0,725.0,725.0,725.0,20.0
65,2020/12/09 13:00:00,725.0,725.0,725.0,725.0,5.0
66,2020/12/09 13:02:00,726.3,726.3,726.3,726.3,50.0
67,2020/12/09 13:03:00,721.5,725.3,721.5,725.3,101.0
68,2020/12/09 13:04:00,726.5,726.5,726.5,726.5,1.0
69,2020/12/09 13:05:00,726.5,726.5,721.55,723.85,266.0
70,2020/12/09 13:06:00,723.5,723.5,723.5,723.5,28.0
71,2020/12/09 13:07:00,723.55,724.05,723.55,724.05,11.0
72,2020/12/09 13:08:00,724.4,724.4,723.25,723.25,30.0
73,2020/12/09 13:09:00,723.0,723.0,723.0,723.0,1.0
74,2020/12/09 13:11:00,723.1,724.45,723.1,724.45,31.0
75,2020/12/09 13:12:00,723.3,723.3,723.3,723.3,1.0
76,2020/12/09 13:13:00,723.3,723.3,723.3,723.3,2.0
77,2020/12/09 13:14:00,723.85,723.85,723.85,723.85,11.0
78,2020/12/09 13:15:00,723.45,724.45,723.45,724.0,82.0
79,2020/12/09 13:16:00,724.8,724.8,724.8,724.8,1.0
80,2020/12/09 13:20:00,724.0,724.0,721.5,721.5,124.0
81,2020/12/09 13:21:00,724.7,724.7,724.7,724.7,5.0
82,2020/12/09 13:22:00,725.1,725.1,721.7,721.7,83.0
83,2020/12/09 13:24:00,724.85,724.85,724.85,724.85,5.0
84,2020/12/09 13:26:00,724.8,724.8,724.8,724.8,10.0
85,2020/12/09 13:29:00,725.25,725.25,725.25,725.25,10.0
86,2020/12/09 13:31:00,725.2,725.5,725.2,725.5,51.0
87,2020/12/09 13:32:00,725.7,725.7,725.7,725.7,5.0
88,2020/12/09 13:33:00,724.25,724.25,724.25,724.25,10.0
89,2020/12/09 13:34:00,725.6,725.6,725.6,725.6,10.0
90,2020/12/09 13:35:00,725.7,725.7,725.7,725.7,10.0
91,2020/12/09 13:37:00,725.4,725.4,725.4,725.4,15.0
92,2020/12/09 13:41:00,724.95,724.95,724.95,724.95,11.0
93,2020/12/09 13:42:00,725.0,725.0,723.0,723.0,617.0
94,2020/12/09 13:43:00,723.0,723.0,723.0,723.0,2.0
95,2020/12/09 13:45:00,723.0,723.0,723.0,723.0,2.0
96,2020/12/09 13:47:00,723.0,723.0,723.0,723.0,15.0
97,2020/12/09 13:50:00,723.0,723.0,723.0,723.0,2.0
98,2020/12/09 13:52:00,723.0,723.0,723.0,723.0,11.0
99,2020/12/09 13:55:00,723.0,723.0,723.0,723.0,3.0
100,2020/12/09 13:58:00,723.0,723.0,722.7,723.0,89.0
101,2020/12/09 13:59:00,723.0,723.0,723.0,723.0,6.0
102,2020/12/09 14:00:00,723.0,723.0,723.0,723.0,312.0
103,2020/12/09 14:03:00,723.0,723.0,723.0,723.0,50.0
104,2020/12/09 14:06:00,723.0,723.0,723.0,723.0,29.0
105,2020/12/09 14:07:00,723.0,723.0,723.0,723.0,3.0
106,2020/12/09 14:08:00,722.5,722.5,722.5,722.5,10.0
107,2020/12/09 14:09:00,723.0,723.0,723.0,723.0,61.0
108,2020/12/09 14:12:00,723.0,723.0,722.5,722.5,81.0
109,2020/12/09 14:15:00,722.5,723.0,722.5,723.0,31.0
110,2020/12/09 14:16:00,722.1,722.1,722.1,722.1,10.0
111,2020/12/09 14:21:00,723.0,723.0,723.0,723.0,40.0
