index,date,open,high,low,close,volume
0,2020/01/08 09:21:00,66.4,66.4,66.4,66.4,2.0
1,2020/01/08 09:22:00,64.8,64.8,64.8,64.8,100.0
2,2020/01/08 09:27:00,62.5,62.5,62.5,62.5,100.0
3,2020/01/08 09:45:00,61.5,61.5,61.5,61.5,15.0
4,2020/01/08 09:46:00,61.5,61.5,61.5,61.5,31.0
5,2020/01/08 09:48:00,60.0,60.0,60.0,60.0,125.0
6,2020/01/08 09:50:00,61.5,61.5,61.5,61.5,1.0
7,2020/01/08 10:20:00,61.45,61.45,60.05,60.05,137.0
8,2020/01/08 10:21:00,60.05,60.05,60.05,60.05,363.0
9,2020/01/08 10:31:00,61.5,61.5,61.5,61.5,50.0
10,2020/01/08 10:34:00,61.5,61.5,61.5,61.5,2.0
11,2020/01/08 11:36:00,60.1,60.1,60.1,60.1,50.0
12,2020/01/08 11:37:00,60.0,60.0,60.0,60.0,111.0
13,2020/01/08 13:23:00,61.8,61.8,61.8,61.8,1.0
14,2020/01/08 13:33:00,60.2,60.2,60.2,60.2,1.0
15,2020/01/08 14:48:00,60.2,60.2,60.2,60.2,60.0
16,2020/01/08 15:16:00,60.1,60.1,60.1,60.1,100.0
17,2020/01/08 15:17:00,60.1,60.1,60.1,60.1,12.0
18,2020/01/09 09:36:00,60.0,60.0,60.0,60.0,84.0
19,2020/01/09 09:38:00,60.0,60.0,60.0,60.0,1.0
20,2020/01/09 09:41:00,60.0,60.0,60.0,60.0,65.0
21,2020/01/09 10:19:00,63.4,63.4,63.4,63.4,5.0
22,2020/01/09 10:59:00,60.8,63.0,60.8,63.0,28.0
23,2020/01/09 11:04:00,60.8,60.8,60.8,60.8,3.0
24,2020/01/09 11:30:00,62.65,62.65,62.65,62.65,10.0
25,2020/01/09 11:31:00,62.7,62.7,62.7,62.7,20.0
26,2020/01/09 13:19:00,60.8,60.8,60.8,60.8,16.0
27,2020/01/09 13:26:00,61.5,61.5,61.5,61.5,41.0
28,2020/01/09 14:38:00,62.0,62.0,62.0,62.0,5.0
29,2020/01/09 14:44:00,62.0,62.0,62.0,62.0,95.0
30,2020/01/09 14:49:00,61.0,61.0,61.0,61.0,95.0
31,2020/01/09 15:01:00,62.0,62.0,61.0,61.0,65.0
32,2020/01/10 09:36:00,63.75,63.75,63.75,63.75,9.0
33,2020/01/10 12:56:00,61.5,61.5,61.2,61.2,11.0
34,2020/01/10 12:57:00,61.7,61.7,61.7,61.7,2.0
35,2020/01/10 14:21:00,61.7,61.7,61.7,61.7,1.0
36,2020/01/10 14:49:00,61.7,61.7,61.7,61.7,20.0
37,2020/01/10 15:15:00,62.0,62.0,62.0,62.0,3.0
38,2020/01/10 15:21:00,62.8,62.8,62.8,62.8,13.0
39,2020/01/10 15:22:00,62.2,63.0,62.2,63.0,14.0
40,2020/01/10 15:24:00,62.2,62.2,62.2,62.2,4.0
41,2020/01/10 15:27:00,60.65,60.65,60.65,60.65,9.0
42,2020/01/13 09:57:00,61.2,61.2,61.2,61.2,7.0
43,2020/01/13 12:05:00,62.05,62.3,62.05,62.3,4.0
44,2020/01/13 12:57:00,62.2,62.2,62.2,62.2,1.0
45,2020/01/13 13:38:00,62.4,62.5,62.4,62.5,2.0
46,2020/01/13 13:39:00,62.9,62.9,62.9,62.9,100.0
47,2020/01/13 13:43:00,63.0,63.0,63.0,63.0,50.0
48,2020/01/13 14:35:00,62.0,62.0,61.2,62.0,502.0
49,2020/01/13 15:20:00,62.0,62.0,62.0,62.0,264.0
50,2020/01/13 15:22:00,62.0,62.0,62.0,62.0,71.0
51,2020/01/14 09:07:00,60.0,60.0,60.0,60.0,11.0
52,2020/01/14 09:15:00,60.0,60.0,60.0,60.0,0.0
