index,date,open,high,low,close,volume
0,2020/12/14 13:54:00,4.9,4.9,4.9,4.9,120.0
1,2020/12/14 13:56:00,4.9,4.9,4.9,4.9,100.0
2,2020/12/14 13:58:00,4.9,4.9,4.9,4.9,2000.0
3,2020/12/14 14:01:00,4.9,4.9,4.9,4.9,10.0
4,2020/12/14 14:02:00,4.9,4.9,4.9,4.9,209.0
5,2020/12/14 14:04:00,4.9,4.9,4.9,4.9,1000.0
6,2020/12/14 14:07:00,4.9,4.9,4.9,4.9,1000.0
7,2020/12/14 14:09:00,4.9,4.9,4.9,4.9,500.0
8,2020/12/14 14:13:00,4.9,4.9,4.9,4.9,1000.0
9,2020/12/14 14:19:00,4.9,4.9,4.9,4.9,1501.0
10,2020/12/14 14:20:00,4.9,4.9,4.9,4.9,4000.0
11,2020/12/14 14:21:00,4.9,4.9,4.9,4.9,60.0
12,2020/12/14 14:28:00,4.9,4.9,4.9,4.9,250.0
13,2020/12/14 14:30:00,4.9,4.9,4.9,4.9,100.0
14,2020/12/14 14:31:00,4.9,4.9,4.9,4.9,3100.0
15,2020/12/14 14:34:00,4.9,4.9,4.9,4.9,4000.0
16,2020/12/14 14:35:00,4.9,4.9,4.9,4.9,50.0
17,2020/12/14 14:36:00,4.9,4.9,4.9,4.9,70.0
18,2020/12/14 14:40:00,4.9,4.9,4.9,4.9,2000.0
19,2020/12/14 14:44:00,4.9,4.9,4.9,4.9,3816.0
20,2020/12/14 14:45:00,4.9,4.9,4.9,4.9,10.0
21,2020/12/14 14:48:00,4.9,4.9,4.9,4.9,267.0
22,2020/12/14 14:49:00,4.9,4.9,4.9,4.9,1000.0
23,2020/12/14 14:51:00,4.9,4.9,4.9,4.9,1100.0
24,2020/12/14 14:52:00,4.9,4.9,4.9,4.9,500.0
25,2020/12/14 14:59:00,4.9,4.9,4.9,4.9,2500.0
26,2020/12/14 15:00:00,4.9,4.9,4.9,4.9,103.0
27,2020/12/14 15:02:00,4.9,4.9,4.9,4.9,200.0
28,2020/12/14 15:07:00,4.9,4.9,4.9,4.9,19100.0
29,2020/12/14 15:11:00,4.9,4.9,4.9,4.9,95.0
30,2020/12/14 15:12:00,4.9,4.9,4.9,4.9,3310.0
31,2020/12/14 15:13:00,4.9,4.9,4.9,4.9,150.0
32,2020/12/14 15:15:00,4.9,4.9,4.9,4.9,557.0
33,2020/12/14 15:16:00,4.9,4.9,4.9,4.9,1000.0
34,2020/12/14 15:17:00,4.9,4.9,4.9,4.9,1.0
35,2020/12/14 15:18:00,4.9,4.9,4.9,4.9,48.0
36,2020/12/14 15:19:00,4.9,4.9,4.9,4.9,2000.0
37,2020/12/14 15:20:00,4.9,4.9,4.9,4.9,50.0
38,2020/12/14 15:21:00,4.9,4.9,4.9,4.9,100.0
39,2020/12/14 15:27:00,4.9,4.9,4.9,4.9,250.0
40,2020/12/14 15:44:00,4.9,4.9,4.9,4.9,1000.0
41,2020/12/15 09:07:00,5.1,5.1,5.1,5.1,89894.0
42,2020/12/15 09:15:00,5.1,5.1,5.1,5.1,15367.0
43,2020/12/15 09:16:00,5.1,5.1,5.1,5.1,3600.0
44,2020/12/15 09:17:00,5.1,5.1,5.1,5.1,8111.0
45,2020/12/15 09:18:00,5.1,5.1,5.1,5.1,2076.0
46,2020/12/15 09:19:00,5.1,5.1,5.1,5.1,2366.0
