index,date,open,high,low,close,volume
0,2020/12/11 09:07:00,31.25,31.25,31.25,31.25,1105.0
1,2020/12/14 09:29:00,32.8,32.8,32.8,32.8,250.0
2,2020/12/15 09:24:00,34.4,34.4,34.4,34.4,250.0
3,2020/12/15 09:25:00,34.4,34.4,34.4,34.4,50.0
4,2020/12/15 09:44:00,34.4,34.4,34.4,34.4,50.0
5,2020/12/16 09:20:00,36.1,36.1,36.1,36.1,200.0
6,2020/12/16 09:23:00,36.1,36.1,36.1,36.1,200.0
7,2020/12/17 09:15:00,37.9,37.9,37.9,37.9,10.0
8,2020/12/18 09:15:00,39.75,39.75,39.75,39.75,1.0
9,2020/12/18 09:29:00,39.75,39.75,39.75,39.75,2600.0
10,2020/12/18 12:36:00,39.75,39.75,39.75,39.75,8039.0
11,2020/12/18 12:37:00,39.75,39.75,39.75,39.75,250.0
12,2020/12/18 12:38:00,39.75,39.75,39.75,39.75,250.0
13,2020/12/18 13:10:00,39.75,39.75,39.75,39.75,9.0
14,2020/12/18 13:11:00,39.75,39.75,39.75,39.75,1600.0
15,2020/12/18 13:15:00,39.75,39.75,39.75,39.75,2156.0
16,2020/12/18 13:17:00,39.75,39.75,39.75,39.75,1344.0
17,2020/12/18 13:19:00,39.75,39.75,39.75,39.75,2156.0
18,2020/12/18 13:21:00,39.75,39.75,39.75,39.75,83.0
19,2020/12/18 13:22:00,39.75,39.75,39.75,39.75,101.0
20,2020/12/18 13:24:00,39.75,39.75,39.75,39.75,15.0
21,2020/12/18 13:28:00,39.75,39.75,39.75,39.75,1100.0
22,2020/12/18 13:31:00,39.75,39.75,39.75,39.75,500.0
23,2020/12/18 13:32:00,39.75,39.75,39.75,39.75,200.0
24,2020/12/18 13:35:00,39.75,39.75,39.75,39.75,1000.0
25,2020/12/18 13:36:00,39.75,39.75,39.75,39.75,484.0
26,2020/12/18 13:38:00,39.75,39.75,39.75,39.75,207.0
27,2020/12/18 13:40:00,39.75,39.75,39.75,39.75,3050.0
28,2020/12/18 13:41:00,39.75,39.75,39.75,39.75,756.0
29,2020/12/18 13:42:00,39.75,39.75,39.75,39.75,80.0
30,2020/12/18 13:43:00,39.75,39.75,39.75,39.75,221.0
31,2020/12/18 13:44:00,39.75,39.75,39.75,39.75,1.0
32,2020/12/18 13:45:00,39.75,39.75,39.75,39.75,143.0
33,2020/12/18 13:47:00,39.75,39.75,39.75,39.75,1033.0
34,2020/12/18 13:48:00,39.75,39.75,39.75,39.75,100.0
35,2020/12/18 13:49:00,39.75,39.75,39.75,39.75,1007.0
36,2020/12/18 13:50:00,39.75,39.75,39.75,39.75,409.0
37,2020/12/18 13:52:00,39.75,39.75,39.75,39.75,91.0
38,2020/12/18 13:56:00,39.7,39.75,39.7,39.75,562.0
39,2020/12/18 13:57:00,39.75,39.75,39.75,39.75,300.0
40,2020/12/18 13:58:00,39.75,39.75,39.75,39.75,1200.0
41,2020/12/18 13:59:00,39.75,39.75,39.75,39.75,100.0
42,2020/12/18 14:01:00,39.75,39.75,39.75,39.75,113.0
43,2020/12/18 14:02:00,39.75,39.75,39.75,39.75,101.0
44,2020/12/18 14:04:00,39.75,39.75,39.75,39.75,102.0
45,2020/12/18 14:06:00,39.75,39.75,39.75,39.75,500.0
46,2020/12/18 14:07:00,39.75,39.75,39.75,39.75,250.0
47,2020/12/18 14:08:00,39.75,39.75,39.75,39.75,116.0
48,2020/12/18 14:09:00,39.75,39.75,39.75,39.75,38.0
49,2020/12/18 14:11:00,39.75,39.75,39.75,39.75,21.0
50,2020/12/18 14:17:00,39.7,39.7,39.6,39.6,10510.0
51,2020/12/18 14:18:00,39.5,39.5,39.5,39.5,95.0
52,2020/12/18 14:19:00,39.5,39.5,39.5,39.5,255.0
53,2020/12/18 14:21:00,38.0,38.0,37.85,38.0,4841.0
54,2020/12/18 14:22:00,38.0,39.55,38.0,39.55,6315.0
55,2020/12/18 14:29:00,38.95,38.95,38.95,38.95,375.0
56,2020/12/18 14:31:00,38.9,38.9,38.9,38.9,100.0
