index,date,open,high,low,close,volume
0,2017/07/13 09:15:00,38.9,41.8,38.9,41.8,21000.0
1,2017/07/13 09:19:00,40.4,40.4,40.4,40.4,3000.0
2,2017/07/13 09:20:00,40.3,40.3,40.3,40.3,6000.0
3,2017/07/13 09:21:00,40.25,40.25,40.25,40.25,3000.0
4,2017/07/13 09:22:00,40.25,40.25,40.25,40.25,3000.0
5,2017/07/13 09:24:00,40.25,40.25,40.2,40.2,24000.0
6,2017/07/13 09:25:00,40.15,40.2,40.15,40.2,6000.0
7,2017/07/13 09:27:00,40.15,40.15,40.15,40.15,12000.0
8,2017/07/13 09:28:00,40.1,40.1,40.1,40.1,6000.0
9,2017/07/13 09:32:00,40.1,40.1,40.1,40.1,9000.0
10,2017/07/13 09:34:00,40.25,40.25,40.25,40.25,3000.0
11,2017/07/13 09:35:00,40.05,40.05,40.05,40.05,3000.0
12,2017/07/13 09:37:00,40.05,40.05,40.05,40.05,3000.0
13,2017/07/13 09:38:00,40.05,40.05,40.05,40.05,9000.0
14,2017/07/13 09:39:00,40.0,40.0,40.0,40.0,15000.0
15,2017/07/13 09:41:00,40.0,40.0,40.0,40.0,3000.0
16,2017/07/13 09:47:00,40.15,40.15,40.15,40.15,3000.0
17,2017/07/13 09:55:00,40.0,40.0,40.0,40.0,3000.0
18,2017/07/13 09:58:00,40.0,40.0,40.0,40.0,6000.0
19,2017/07/13 10:06:00,40.0,40.0,40.0,40.0,6000.0
20,2017/07/13 10:08:00,40.1,40.1,40.1,40.1,3000.0
21,2017/07/13 10:12:00,39.9,39.9,39.9,39.9,6000.0
22,2017/07/13 10:13:00,39.9,39.9,39.9,39.9,6000.0
23,2017/07/13 10:42:00,39.6,39.6,39.6,39.6,6000.0
24,2017/07/13 10:49:00,39.5,39.5,39.5,39.5,3000.0
25,2017/07/13 10:57:00,39.85,39.85,39.85,39.85,3000.0
26,2017/07/13 11:35:00,39.75,39.8,39.75,39.8,6000.0
27,2017/07/13 11:36:00,39.9,40.5,39.9,40.5,15000.0
28,2017/07/13 11:38:00,40.8,40.8,40.8,40.8,3000.0
29,2017/07/13 12:08:00,40.55,40.55,40.55,40.55,3000.0
30,2017/07/13 12:14:00,40.5,40.5,40.5,40.5,3000.0
31,2017/07/13 12:15:00,40.5,40.8,40.5,40.8,6000.0
32,2017/07/13 12:40:00,40.5,40.5,40.5,40.5,3000.0
33,2017/07/13 12:52:00,40.5,40.5,40.5,40.5,3000.0
34,2017/07/13 13:10:00,40.25,40.25,40.25,40.25,3000.0
35,2017/07/13 13:35:00,40.25,40.25,40.25,40.25,3000.0
36,2017/07/13 13:41:00,40.25,40.25,40.25,40.25,3000.0
37,2017/07/13 14:44:00,39.5,39.5,39.5,39.5,3000.0
38,2017/07/13 15:05:00,39.95,39.95,39.95,39.95,3000.0
39,2017/07/13 15:13:00,39.55,39.55,39.5,39.5,24000.0
40,2017/07/13 15:16:00,39.25,39.25,39.25,39.25,3000.0
41,2017/07/14 09:37:00,39.8,39.8,38.05,38.05,6000.0
42,2017/07/14 09:57:00,38.05,38.05,38.05,38.05,3000.0
43,2017/07/14 10:00:00,38.0,38.0,38.0,38.0,3000.0
44,2017/07/14 11:34:00,37.0,37.0,37.0,37.0,3000.0
45,2017/07/14 12:39:00,37.0,37.0,37.0,37.0,9000.0
46,2017/07/14 15:18:00,37.0,37.0,37.0,37.0,3000.0
47,2017/07/14 15:29:00,37.0,37.0,37.0,37.0,3000.0
48,2017/07/17 15:29:00,36.05,36.05,36.05,36.05,3000.0
49,2017/07/18 09:16:00,36.35,36.35,36.35,36.35,3000.0
50,2017/07/18 10:21:00,36.0,36.0,36.0,36.0,3000.0
51,2017/07/18 11:38:00,36.5,36.5,36.5,36.5,3000.0
52,2017/07/18 14:22:00,38.0,38.0,38.0,38.0,6000.0
53,2017/07/18 14:29:00,38.0,38.0,38.0,38.0,3000.0
54,2017/07/18 14:43:00,38.0,38.0,38.0,38.0,3000.0
55,2017/07/19 09:36:00,39.8,39.8,39.8,39.8,9000.0
56,2017/07/19 09:37:00,40.0,40.0,40.0,40.0,3000.0
57,2017/07/19 09:40:00,40.0,40.0,40.0,40.0,3000.0
58,2017/07/19 10:51:00,40.35,40.45,40.35,40.45,6000.0
59,2017/07/19 11:23:00,40.45,40.45,40.45,40.45,3000.0
60,2017/07/19 11:33:00,40.0,40.0,40.0,40.0,3000.0
61,2017/07/19 12:15:00,40.9,40.9,40.9,40.9,15000.0
62,2017/07/19 12:38:00,40.9,40.9,40.9,40.9,3000.0
63,2017/07/19 14:01:00,40.25,40.25,40.25,40.25,3000.0
64,2017/07/19 14:37:00,40.45,40.45,40.45,40.45,3000.0
65,2017/07/19 15:28:00,40.05,40.05,40.05,40.05,3000.0
66,2017/07/20 10:21:00,40.0,40.0,40.0,40.0,3000.0
67,2017/07/20 13:44:00,40.0,40.0,40.0,40.0,3000.0
68,2017/07/20 14:29:00,40.0,40.0,40.0,40.0,3000.0
69,2017/07/20 14:52:00,40.0,40.0,40.0,40.0,3000.0
70,2017/07/20 15:05:00,40.4,40.4,40.4,40.4,3000.0
71,2017/07/21 12:03:00,40.0,40.0,40.0,40.0,3000.0
72,2017/07/21 12:56:00,40.4,40.4,40.4,40.4,3000.0
73,2017/07/21 13:49:00,40.0,40.0,40.0,40.0,3000.0
74,2017/07/21 14:18:00,40.0,40.0,40.0,40.0,3000.0
75,2017/07/21 14:30:00,40.15,40.15,40.15,40.15,3000.0
76,2017/07/21 15:27:00,40.0,40.0,40.0,40.0,3000.0
77,2017/07/24 15:28:00,38.0,38.0,38.0,38.0,3000.0
78,2017/07/25 11:05:00,39.0,39.0,39.0,39.0,3000.0
79,2017/07/25 14:26:00,39.0,39.05,39.0,39.05,6000.0
80,2017/07/25 14:27:00,39.1,39.2,39.1,39.2,12000.0
81,2017/07/25 14:57:00,40.0,40.0,40.0,40.0,3000.0
82,2017/07/25 14:58:00,40.0,40.0,40.0,40.0,3000.0
83,2017/07/25 15:08:00,40.0,40.0,40.0,40.0,3000.0
84,2017/07/25 15:25:00,40.45,40.45,40.45,40.45,3000.0
85,2017/07/26 10:54:00,40.0,40.05,40.0,40.05,6000.0
