index,date,open,high,low,close,volume
0,2020/12/18 13:21:00,454.6,454.95,454.55,454.55,2198.0
1,2020/12/18 13:22:00,454.55,454.9,454.35,454.7,779.0
2,2020/12/18 13:23:00,454.45,454.8,454.45,454.5,316.0
3,2020/12/18 13:24:00,454.5,454.8,454.5,454.8,1267.0
4,2020/12/18 13:25:00,454.8,455.0,454.65,454.95,571.0
5,2020/12/18 13:26:00,454.85,455.0,454.55,454.9,2276.0
6,2020/12/18 13:27:00,455.5,455.75,455.25,455.75,6331.0
7,2020/12/18 13:28:00,455.75,455.85,455.6,455.85,2849.0
8,2020/12/18 13:29:00,455.85,456.35,455.7,456.35,8066.0
9,2020/12/18 13:30:00,456.15,457.0,456.15,456.55,13955.0
10,2020/12/18 13:31:00,456.55,457.0,456.55,456.65,4941.0
11,2020/12/18 13:32:00,456.95,457.0,456.55,456.65,4439.0
12,2020/12/18 13:33:00,456.75,456.75,456.2,456.2,1408.0
13,2020/12/18 13:34:00,456.2,456.55,456.2,456.5,3861.0
14,2020/12/18 13:35:00,456.3,456.4,456.05,456.15,760.0
15,2020/12/18 13:36:00,456.15,456.15,455.9,455.9,2384.0
16,2020/12/18 13:37:00,455.8,456.0,455.75,455.8,105.0
17,2020/12/18 13:38:00,455.95,456.4,455.95,456.25,2287.0
18,2020/12/18 13:39:00,456.35,456.35,456.15,456.35,219.0
19,2020/12/18 13:40:00,456.35,456.35,455.7,455.85,701.0
20,2020/12/18 13:41:00,455.3,455.65,455.3,455.6,2147.0
21,2020/12/18 13:42:00,455.6,455.6,455.3,455.6,756.0
22,2020/12/18 13:43:00,455.6,455.75,455.55,455.75,1319.0
23,2020/12/18 13:44:00,455.8,456.1,455.8,456.1,1011.0
24,2020/12/18 13:45:00,456.05,456.05,455.75,455.85,713.0
25,2020/12/18 13:46:00,455.85,455.95,455.15,455.25,1547.0
26,2020/12/18 13:47:00,455.45,455.65,455.1,455.4,1874.0
27,2020/12/18 13:48:00,455.65,456.0,455.65,455.65,699.0
28,2020/12/18 13:49:00,455.9,455.9,455.5,455.5,585.0
29,2020/12/18 13:50:00,455.4,455.8,455.4,455.6,1205.0
30,2020/12/18 13:51:00,455.6,455.85,455.6,455.85,435.0
31,2020/12/18 13:52:00,455.6,455.85,455.6,455.75,240.0
32,2020/12/18 13:53:00,455.75,456.15,455.7,456.05,2778.0
33,2020/12/18 13:54:00,456.1,456.9,456.05,456.9,8729.0
34,2020/12/18 13:55:00,456.55,457.35,456.55,457.15,11369.0
35,2020/12/18 13:56:00,457.05,457.15,456.6,456.9,7128.0
36,2020/12/18 13:57:00,456.85,456.85,456.3,456.6,1356.0
37,2020/12/18 13:58:00,456.5,456.75,456.35,456.35,924.0
