index,date,open,high,low,close,volume
0,2020/11/12 13:55:00,8.15,8.15,8.15,8.15,10.0
1,2020/11/12 13:57:00,8.15,8.15,8.1,8.1,200.0
2,2020/11/12 14:01:00,8.25,8.25,8.25,8.25,61.0
3,2020/11/12 14:02:00,8.1,8.1,8.1,8.1,30.0
4,2020/11/12 14:18:00,8.2,8.2,8.2,8.2,1100.0
5,2020/11/12 14:37:00,8.2,8.2,8.2,8.2,300.0
6,2020/11/12 14:40:00,8.2,8.2,8.2,8.2,10.0
7,2020/11/12 14:48:00,8.25,8.25,8.25,8.25,150.0
8,2020/11/12 14:54:00,8.1,8.1,8.1,8.1,1.0
9,2020/11/12 15:00:00,8.1,8.1,8.1,8.1,77.0
10,2020/11/12 15:01:00,8.1,8.1,8.1,8.1,67.0
11,2020/11/12 15:09:00,8.25,8.25,8.25,8.25,10.0
12,2020/11/12 15:13:00,8.1,8.1,8.1,8.1,106.0
13,2020/11/12 15:19:00,8.1,8.1,8.1,8.1,50.0
14,2020/11/12 15:23:00,8.25,8.25,8.25,8.25,1061.0
15,2020/11/12 15:28:00,8.25,8.25,8.2,8.2,140.0
16,2020/11/13 09:22:00,8.25,8.25,8.25,8.25,12.0
17,2020/11/13 09:23:00,8.65,8.65,8.65,8.65,290.0
18,2020/11/13 09:27:00,8.0,8.0,8.0,8.0,550.0
19,2020/11/13 09:29:00,8.5,8.5,8.5,8.5,500.0
20,2020/11/13 09:32:00,8.0,8.0,8.0,8.0,2000.0
21,2020/11/13 09:34:00,8.0,8.0,8.0,8.0,500.0
22,2020/11/13 09:40:00,8.35,8.35,8.35,8.35,5.0
23,2020/11/13 09:44:00,8.25,8.25,8.25,8.25,400.0
24,2020/11/13 09:53:00,8.1,8.1,8.1,8.1,277.0
25,2020/11/13 09:57:00,8.3,8.3,8.3,8.3,10.0
26,2020/11/13 09:59:00,8.15,8.15,8.15,8.15,5.0
27,2020/11/13 10:08:00,8.2,8.2,8.2,8.2,5.0
28,2020/11/13 10:09:00,8.15,8.15,8.1,8.1,243.0
29,2020/11/13 10:12:00,8.3,8.3,8.3,8.3,50.0
30,2020/11/13 10:13:00,8.25,8.25,8.25,8.25,400.0
31,2020/11/13 10:27:00,8.1,8.1,8.1,8.1,312.0
32,2020/11/13 10:28:00,8.1,8.1,8.1,8.1,900.0
33,2020/11/13 10:29:00,8.1,8.1,8.1,8.1,250.0
34,2020/11/13 10:30:00,8.05,8.05,8.05,8.05,75.0
35,2020/11/13 10:34:00,8.05,8.05,8.05,8.05,11.0
36,2020/11/13 10:38:00,8.1,8.1,8.1,8.1,120.0
37,2020/11/13 10:41:00,8.05,8.05,8.05,8.05,69.0
38,2020/11/13 10:43:00,8.1,8.1,8.1,8.1,1.0
39,2020/11/13 10:44:00,8.1,8.1,8.1,8.1,552.0
40,2020/11/13 11:14:00,8.15,8.15,8.15,8.15,4.0
