index,date,open,high,low,close,volume
0,2020/12/04 12:16:00,173.0,173.0,173.0,173.0,500.0
1,2020/12/04 12:19:00,173.35,173.35,173.35,173.35,10.0
2,2020/12/04 12:20:00,173.0,173.0,172.5,172.5,1206.0
3,2020/12/04 12:21:00,172.95,173.35,172.95,173.35,200.0
4,2020/12/04 12:23:00,172.9,172.9,172.9,172.9,17.0
5,2020/12/04 12:24:00,173.7,174.1,173.7,174.1,401.0
6,2020/12/04 12:25:00,173.7,173.7,173.7,173.7,10.0
7,2020/12/04 12:26:00,173.95,174.1,173.95,174.1,14.0
8,2020/12/04 12:30:00,174.1,174.1,174.1,174.1,2.0
9,2020/12/04 12:31:00,174.0,174.0,174.0,174.0,6.0
10,2020/12/04 12:37:00,174.0,174.0,173.6,173.6,30.0
11,2020/12/04 12:38:00,173.95,173.95,173.95,173.95,100.0
12,2020/12/04 12:44:00,173.95,173.95,173.95,173.95,1.0
13,2020/12/04 12:48:00,173.65,173.65,173.65,173.65,5.0
14,2020/12/04 12:50:00,173.6,173.6,173.5,173.5,38.0
15,2020/12/04 12:51:00,173.5,173.5,173.0,173.0,100.0
16,2020/12/04 12:52:00,173.0,173.0,172.95,172.95,17.0
17,2020/12/04 12:53:00,172.5,172.5,172.0,172.2,2504.0
18,2020/12/04 12:55:00,172.8,172.8,172.5,172.5,4.0
19,2020/12/04 12:56:00,172.5,172.5,172.5,172.5,40.0
20,2020/12/04 12:57:00,172.5,172.7,172.5,172.7,165.0
21,2020/12/04 12:58:00,172.9,172.9,172.5,172.5,270.0
22,2020/12/04 13:00:00,172.55,172.55,172.55,172.55,100.0
23,2020/12/04 13:02:00,172.6,172.6,172.6,172.6,22.0
24,2020/12/04 13:05:00,172.6,172.6,172.6,172.6,3.0
25,2020/12/04 13:07:00,172.6,172.6,172.6,172.6,973.0
26,2020/12/04 13:08:00,172.85,172.85,172.7,172.7,130.0
27,2020/12/04 13:09:00,172.7,172.7,172.7,172.7,40.0
28,2020/12/04 13:10:00,172.7,172.7,172.7,172.7,125.0
29,2020/12/04 13:11:00,173.0,173.0,172.7,172.7,461.0
30,2020/12/04 13:12:00,172.8,172.8,172.8,172.8,23.0
31,2020/12/04 13:13:00,172.8,172.8,172.8,172.8,25.0
32,2020/12/04 13:15:00,172.85,172.85,172.75,172.75,80.0
33,2020/12/04 13:18:00,172.7,172.7,172.7,172.7,30.0
34,2020/12/04 13:20:00,172.7,172.7,172.7,172.7,6.0
35,2020/12/04 13:23:00,172.7,172.7,172.7,172.7,2.0
36,2020/12/04 13:32:00,172.7,172.7,172.7,172.7,10.0
37,2020/12/04 13:34:00,172.7,172.85,172.7,172.85,127.0
38,2020/12/04 13:35:00,173.15,173.15,173.15,173.15,336.0
39,2020/12/04 13:37:00,173.35,173.35,173.35,173.35,2.0
40,2020/12/04 13:39:00,173.35,173.35,173.35,173.35,48.0
41,2020/12/04 13:40:00,173.35,173.55,173.35,173.55,163.0
42,2020/12/04 13:43:00,173.1,173.1,173.1,173.1,80.0
43,2020/12/04 13:46:00,173.75,173.75,173.75,173.75,438.0
44,2020/12/04 13:48:00,173.7,173.7,173.7,173.7,1.0
45,2020/12/04 13:49:00,173.65,173.65,173.65,173.65,4.0
46,2020/12/04 13:50:00,173.65,173.65,173.5,173.5,17.0
47,2020/12/04 13:51:00,173.65,173.65,173.65,173.65,60.0
48,2020/12/04 13:54:00,173.65,173.65,173.65,173.65,1.0
49,2020/12/04 13:59:00,173.7,173.75,173.65,173.75,2157.0
50,2020/12/04 14:00:00,173.75,174.0,173.75,174.0,1188.0
51,2020/12/04 14:01:00,174.0,174.0,174.0,174.0,150.0
52,2020/12/04 14:02:00,174.0,174.0,174.0,174.0,150.0
53,2020/12/04 14:03:00,174.0,174.3,174.0,174.3,18.0
54,2020/12/04 14:04:00,174.45,174.45,174.45,174.45,2.0
55,2020/12/04 14:06:00,174.35,174.45,174.35,174.45,312.0
56,2020/12/04 14:07:00,174.7,174.7,174.45,174.45,498.0
57,2020/12/04 14:09:00,174.5,174.5,174.5,174.5,35.0
58,2020/12/04 14:10:00,174.65,174.65,174.65,174.65,2.0
59,2020/12/04 14:11:00,174.5,174.5,174.5,174.5,110.0
60,2020/12/04 14:12:00,174.3,174.3,174.25,174.25,12.0
61,2020/12/04 14:13:00,174.2,174.2,174.2,174.2,7.0
62,2020/12/04 14:14:00,174.75,174.75,174.75,174.75,300.0
63,2020/12/04 14:17:00,174.7,174.7,174.7,174.7,100.0
64,2020/12/04 14:19:00,174.75,174.75,174.75,174.75,100.0
65,2020/12/04 14:20:00,174.05,174.05,174.05,174.05,29.0
66,2020/12/04 14:21:00,174.2,174.55,174.1,174.55,134.0
67,2020/12/04 14:22:00,174.0,174.0,174.0,174.0,100.0
68,2020/12/04 14:26:00,173.9,173.9,173.9,173.9,165.0
69,2020/12/04 14:27:00,174.1,174.1,174.1,174.1,10.0
70,2020/12/04 14:28:00,173.9,173.9,173.9,173.9,92.0
71,2020/12/04 14:30:00,173.9,173.9,173.9,173.9,2.0
72,2020/12/04 14:31:00,174.0,174.05,174.0,174.05,50.0
73,2020/12/04 14:32:00,174.1,174.65,174.1,174.65,212.0
74,2020/12/04 14:34:00,174.25,174.75,174.25,174.75,195.0
75,2020/12/04 14:35:00,174.75,174.9,174.75,174.9,355.0
76,2020/12/04 14:41:00,174.45,174.45,174.45,174.45,3.0
77,2020/12/04 14:43:00,174.6,174.9,174.6,174.6,218.0
78,2020/12/04 14:44:00,174.3,174.6,174.3,174.6,85.0
79,2020/12/04 14:45:00,174.25,174.25,174.25,174.25,15.0
80,2020/12/04 14:46:00,173.65,175.15,173.65,175.0,6489.0
81,2020/12/04 14:47:00,174.95,174.95,174.35,174.35,138.0
82,2020/12/04 14:49:00,174.2,174.2,174.2,174.2,25.0
83,2020/12/04 14:51:00,174.75,174.75,174.75,174.75,100.0
84,2020/12/04 14:53:00,174.25,174.25,174.25,174.25,10.0
85,2020/12/04 14:55:00,174.95,174.95,174.95,174.95,170.0
86,2020/12/04 14:56:00,174.25,174.25,174.25,174.25,150.0
87,2020/12/04 14:58:00,174.25,174.25,174.25,174.25,76.0
88,2020/12/04 14:59:00,174.2,174.2,174.15,174.15,161.0
89,2020/12/04 15:02:00,174.15,174.15,174.15,174.15,25.0
90,2020/12/04 15:03:00,174.15,174.15,174.15,174.15,57.0
91,2020/12/04 15:04:00,173.55,173.55,173.55,173.55,100.0
92,2020/12/04 15:05:00,173.95,173.95,173.6,173.6,45.0
93,2020/12/04 15:08:00,174.1,174.1,173.6,173.6,116.0
94,2020/12/04 15:09:00,173.4,173.4,173.25,173.25,299.0
95,2020/12/04 15:11:00,173.1,173.35,173.1,173.35,222.0
96,2020/12/04 15:12:00,173.6,173.65,173.6,173.65,35.0
97,2020/12/04 15:13:00,173.75,173.75,173.75,173.75,166.0
98,2020/12/04 15:14:00,173.5,173.5,173.5,173.5,100.0
99,2020/12/04 15:16:00,173.1,173.3,173.1,173.3,410.0
100,2020/12/04 15:17:00,173.2,173.4,173.2,173.2,467.0
101,2020/12/04 15:18:00,173.2,173.4,173.2,173.4,35.0
102,2020/12/04 15:19:00,173.4,173.4,173.4,173.4,150.0
103,2020/12/04 15:20:00,173.4,173.4,173.4,173.4,150.0
104,2020/12/04 15:21:00,173.25,173.4,173.25,173.4,121.0
105,2020/12/04 15:22:00,173.35,173.4,173.3,173.3,420.0
106,2020/12/04 15:23:00,173.4,173.4,173.4,173.4,106.0
107,2020/12/04 15:24:00,173.25,173.4,173.25,173.4,371.0
108,2020/12/04 15:25:00,173.8,173.8,173.25,173.8,363.0
