index,date,open,high,low,close,volume
0,2019/11/11 12:56:00,30.5,30.5,30.5,30.5,25.0
1,2019/11/11 12:58:00,30.45,30.45,30.45,30.45,1.0
2,2019/11/11 13:02:00,30.5,30.5,30.5,30.5,100.0
3,2019/11/11 13:07:00,30.5,30.5,30.5,30.5,20.0
4,2019/11/11 13:08:00,30.5,30.5,30.5,30.5,10.0
5,2019/11/11 13:10:00,30.5,30.5,30.5,30.5,500.0
6,2019/11/11 13:11:00,30.45,30.5,30.45,30.5,85.0
7,2019/11/11 13:19:00,30.5,30.5,30.5,30.5,830.0
8,2019/11/11 14:10:00,30.5,30.5,30.5,30.5,1.0
9,2019/11/11 14:28:00,30.5,30.5,30.5,30.5,500.0
10,2019/11/11 14:58:00,30.5,30.5,30.5,30.5,50.0
11,2019/11/11 15:00:00,30.5,30.5,30.5,30.5,10.0
12,2019/11/11 15:07:00,30.5,30.5,30.5,30.5,100.0
13,2019/11/11 15:12:00,30.5,30.5,30.5,30.5,20.0
14,2019/11/13 09:07:00,33.5,33.5,33.5,33.5,934.0
15,2019/11/13 09:15:00,33.5,33.5,32.0,32.95,871.0
16,2019/11/13 09:16:00,32.0,32.0,31.8,31.8,593.0
17,2019/11/13 09:17:00,31.8,31.8,31.5,31.5,1541.0
18,2019/11/13 09:18:00,31.5,32.85,31.5,32.85,248.0
19,2019/11/13 09:19:00,31.95,31.95,30.7,31.5,1110.0
20,2019/11/13 09:20:00,31.8,31.8,31.75,31.75,42.0
21,2019/11/13 09:21:00,31.7,31.7,31.0,31.0,824.0
22,2019/11/13 09:22:00,31.0,32.85,30.5,32.85,4591.0
23,2019/11/13 09:23:00,27.55,29.5,27.55,29.5,4418.0
24,2019/11/13 09:24:00,30.25,32.5,29.7,29.7,2624.0
25,2019/11/13 09:25:00,32.4,32.4,31.2,32.2,1005.0
26,2019/11/13 09:26:00,31.25,31.9,31.25,31.9,82.0
27,2019/11/13 09:27:00,31.3,32.0,31.3,31.95,1025.0
28,2019/11/13 09:28:00,31.25,31.9,31.25,31.9,698.0
29,2019/11/13 09:29:00,31.9,32.0,31.9,32.0,1266.0
30,2019/11/13 09:30:00,32.05,32.5,32.05,32.5,568.0
31,2019/11/13 09:31:00,32.55,32.7,31.95,31.95,3678.0
32,2019/11/13 09:32:00,32.65,33.0,31.5,33.0,3050.0
33,2019/11/13 09:33:00,32.85,32.85,32.85,32.85,200.0
34,2019/11/13 09:34:00,32.8,32.8,32.8,32.8,50.0
35,2019/11/13 09:36:00,32.75,32.75,32.7,32.7,120.0
36,2019/11/13 09:37:00,32.7,32.75,32.7,32.7,1510.0
37,2019/11/13 09:39:00,32.65,32.65,32.5,32.5,113.0
38,2019/11/13 09:41:00,32.5,32.5,32.5,32.5,100.0
39,2019/11/13 09:43:00,32.0,32.35,32.0,32.0,506.0
40,2019/11/13 09:44:00,32.0,32.0,32.0,32.0,25.0
41,2019/11/13 09:45:00,32.0,32.35,32.0,32.35,796.0
42,2019/11/13 09:46:00,32.35,32.35,32.35,32.35,150.0
43,2019/11/13 09:47:00,32.0,32.85,32.0,32.0,4236.0
44,2019/11/13 09:49:00,33.25,33.4,29.15,32.95,9289.0
45,2019/11/13 09:50:00,32.0,32.4,31.95,32.0,1504.0
46,2019/11/13 09:51:00,32.1,32.1,32.1,32.1,25.0
47,2019/11/13 09:52:00,32.1,32.1,32.1,32.1,100.0
48,2019/11/13 09:54:00,32.5,32.5,32.5,32.5,100.0
49,2019/11/13 09:55:00,32.45,32.45,32.45,32.45,500.0
50,2019/11/13 09:56:00,32.45,32.45,32.4,32.4,300.0
51,2019/11/13 09:57:00,32.4,32.4,32.2,32.2,225.0
52,2019/11/13 09:58:00,32.15,32.45,32.15,32.45,570.0
53,2019/11/13 10:01:00,32.4,32.4,32.4,32.4,600.0
54,2019/11/13 10:04:00,32.15,32.15,32.15,32.15,400.0
55,2019/11/13 10:06:00,32.25,32.25,32.15,32.15,485.0
56,2019/11/13 10:07:00,32.25,32.25,32.25,32.25,151.0
57,2019/11/13 10:08:00,32.4,32.4,32.4,32.4,103.0
58,2019/11/13 10:09:00,32.4,32.4,32.4,32.4,50.0
59,2019/11/13 10:10:00,32.4,32.4,32.4,32.4,200.0
60,2019/11/13 10:12:00,32.15,32.15,32.15,32.15,10.0
61,2019/11/13 10:13:00,33.2,33.2,33.2,33.2,2500.0
62,2019/11/13 10:14:00,33.2,33.2,32.15,32.15,3881.0
63,2019/11/13 10:15:00,33.4,33.4,33.4,33.4,2000.0
64,2019/11/13 10:16:00,32.2,33.25,32.2,32.25,2043.0
65,2019/11/13 10:17:00,33.0,33.35,33.0,33.35,1313.0
66,2019/11/13 10:18:00,33.0,33.0,32.15,32.15,2697.0
67,2019/11/13 10:21:00,32.55,32.55,32.55,32.55,341.0
68,2019/11/13 10:22:00,32.8,32.8,32.8,32.8,10.0
69,2019/11/13 10:23:00,32.5,32.5,32.5,32.5,300.0
70,2019/11/13 10:24:00,32.75,32.8,32.75,32.8,541.0
71,2019/11/13 10:25:00,32.75,32.8,32.75,32.8,550.0
72,2019/11/13 10:26:00,32.75,32.8,32.75,32.75,2018.0
