index,date,open,high,low,close,volume
0,2020/07/10 14:26:00,10.5,10.5,10.5,10.5,102.0
1,2020/07/10 14:31:00,10.5,10.5,10.5,10.5,39.0
2,2020/07/10 14:32:00,10.5,10.5,10.5,10.5,4.0
3,2020/07/10 14:38:00,10.4,10.4,10.4,10.4,476.0
4,2020/07/10 14:39:00,10.4,10.4,10.4,10.4,2336.0
5,2020/07/10 14:44:00,10.5,10.5,10.5,10.5,1000.0
6,2020/07/10 14:45:00,10.5,10.5,10.5,10.5,2450.0
7,2020/07/10 14:46:00,10.5,10.5,10.5,10.5,1160.0
8,2020/07/10 15:09:00,10.5,10.5,10.5,10.5,100.0
9,2020/07/10 15:12:00,10.5,10.5,10.5,10.5,200.0
10,2020/07/13 09:07:00,11.0,11.0,11.0,11.0,1721.0
11,2020/07/13 09:15:00,11.0,11.0,11.0,11.0,15.0
12,2020/07/13 09:16:00,11.0,11.0,11.0,11.0,800.0
13,2020/07/13 09:17:00,10.55,10.55,10.55,10.55,156.0
14,2020/07/13 09:18:00,10.9,10.9,10.9,10.9,20.0
15,2020/07/13 09:21:00,10.6,10.6,10.6,10.6,700.0
16,2020/07/13 09:23:00,10.85,10.85,10.85,10.85,50.0
17,2020/07/13 09:24:00,10.85,10.85,10.85,10.85,1.0
18,2020/07/13 09:32:00,10.85,10.9,10.85,10.9,5259.0
19,2020/07/13 09:33:00,10.9,10.9,10.9,10.9,100.0
20,2020/07/13 09:37:00,10.9,10.9,10.9,10.9,152.0
21,2020/07/13 09:48:00,10.9,10.9,10.9,10.9,152.0
22,2020/07/13 09:58:00,10.9,10.9,10.9,10.9,100.0
23,2020/07/13 10:00:00,10.85,10.85,10.85,10.85,1000.0
24,2020/07/13 10:02:00,10.9,10.9,10.9,10.9,100.0
25,2020/07/13 10:06:00,10.9,10.9,10.9,10.9,55.0
26,2020/07/13 10:07:00,10.85,10.85,10.85,10.85,300.0
27,2020/07/13 10:08:00,10.85,10.85,10.85,10.85,1000.0
28,2020/07/13 10:13:00,10.85,10.85,10.85,10.85,1000.0
29,2020/07/13 10:23:00,10.9,10.9,10.9,10.9,100.0
30,2020/07/13 10:30:00,10.85,10.85,10.85,10.85,41.0
31,2020/07/13 10:31:00,10.6,10.6,10.6,10.6,559.0
32,2020/07/13 10:46:00,10.85,10.85,10.85,10.85,60.0
33,2020/07/13 11:13:00,10.85,10.85,10.85,10.85,13.0
34,2020/07/13 11:28:00,10.85,10.85,10.85,10.85,1891.0
35,2020/07/13 11:30:00,10.85,10.85,10.85,10.85,10.0
36,2020/07/13 11:37:00,10.9,10.9,10.9,10.9,100.0
37,2020/07/13 11:44:00,10.9,10.9,10.9,10.9,100.0
38,2020/07/13 11:46:00,10.5,10.5,10.5,10.5,330.0
39,2020/07/13 11:49:00,10.3,10.3,10.3,10.3,470.0
40,2020/07/13 11:58:00,10.9,10.9,10.9,10.9,16.0
41,2020/07/13 12:07:00,10.9,10.9,10.9,10.9,1.0
42,2020/07/13 12:20:00,10.85,10.85,10.85,10.85,1000.0
43,2020/07/13 12:33:00,10.85,10.85,10.85,10.85,200.0
44,2020/07/13 12:34:00,10.85,10.85,10.85,10.85,95.0
45,2020/07/13 12:36:00,10.9,10.9,10.9,10.9,20.0
46,2020/07/13 12:47:00,10.85,10.85,10.85,10.85,25.0
47,2020/07/13 13:06:00,10.85,10.85,10.85,10.85,40.0
48,2020/07/13 13:55:00,10.55,10.55,10.55,10.55,52.0
49,2020/07/13 13:57:00,10.3,10.3,10.3,10.3,800.0
50,2020/07/13 14:15:00,10.35,10.35,10.35,10.35,1000.0
51,2020/07/13 15:07:00,10.5,10.5,10.5,10.5,100.0
52,2020/07/13 15:16:00,10.7,10.75,10.7,10.75,544.0
