index,date,open,high,low,close,volume
0,2020/07/13 10:39:00,5.35,5.35,5.35,5.35,300.0
1,2020/07/13 10:58:00,5.35,5.35,5.35,5.35,250.0
2,2020/07/13 10:59:00,5.35,5.35,5.35,5.35,50.0
3,2020/07/13 11:13:00,5.35,5.35,5.35,5.35,3.0
4,2020/07/13 11:16:00,5.35,5.35,5.35,5.35,1.0
5,2020/07/13 11:21:00,5.35,5.35,5.35,5.35,1000.0
6,2020/07/13 11:32:00,5.35,5.35,5.35,5.35,320.0
7,2020/07/13 11:38:00,5.35,5.35,5.35,5.35,5.0
8,2020/07/13 11:49:00,5.35,5.35,5.35,5.35,20.0
9,2020/07/13 11:53:00,5.35,5.35,5.35,5.35,400.0
10,2020/07/13 12:07:00,5.35,5.35,5.35,5.35,500.0
11,2020/07/13 12:52:00,5.35,5.35,5.35,5.35,5.0
12,2020/07/13 13:11:00,5.35,5.35,5.35,5.35,1000.0
13,2020/07/13 13:14:00,5.35,5.35,5.35,5.35,266.0
14,2020/07/13 13:16:00,5.35,5.35,5.35,5.35,500.0
15,2020/07/13 13:22:00,5.35,5.35,5.35,5.35,600.0
16,2020/07/13 13:28:00,5.35,5.35,5.35,5.35,44.0
17,2020/07/13 13:31:00,5.35,5.35,5.35,5.35,2.0
18,2020/07/13 14:11:00,5.35,5.35,5.35,5.35,11.0
19,2020/07/13 14:16:00,5.35,5.35,5.35,5.35,200.0
20,2020/07/13 14:52:00,5.35,5.35,5.35,5.35,1000.0
21,2020/07/13 14:55:00,5.35,5.35,5.35,5.35,10.0
22,2020/07/13 14:58:00,5.35,5.35,5.35,5.35,500.0
23,2020/07/13 15:01:00,5.35,5.35,5.35,5.35,50.0
24,2020/07/13 15:48:00,5.35,5.35,5.35,5.35,1000.0
25,2020/07/14 09:15:00,5.45,5.45,5.45,5.45,3.0
26,2020/07/14 09:29:00,5.1,5.1,5.1,5.1,1108.0
27,2020/07/14 09:32:00,5.1,5.1,5.1,5.1,24354.0
28,2020/07/14 10:01:00,5.1,5.1,5.1,5.1,1296.0
29,2020/07/14 10:04:00,5.1,5.1,5.1,5.1,1.0
30,2020/07/14 10:36:00,5.1,5.1,5.1,5.1,100.0
31,2020/07/14 10:37:00,5.1,5.1,5.1,5.1,1000.0
32,2020/07/14 10:39:00,5.1,5.1,5.1,5.1,500.0
33,2020/07/14 10:41:00,5.1,5.1,5.1,5.1,2950.0
34,2020/07/14 10:42:00,5.45,5.45,5.45,5.45,4000.0
35,2020/07/14 11:04:00,5.4,5.45,5.4,5.45,200.0
36,2020/07/14 11:22:00,5.2,5.35,5.2,5.35,200.0
37,2020/07/14 12:18:00,5.15,5.15,5.15,5.15,200.0
38,2020/07/14 12:21:00,5.15,5.15,5.15,5.15,124.0
39,2020/07/14 12:26:00,5.15,5.15,5.15,5.15,200.0
40,2020/07/14 12:27:00,5.3,5.3,5.3,5.3,100.0
41,2020/07/14 12:47:00,5.15,5.15,5.15,5.15,200.0
42,2020/07/14 13:06:00,5.3,5.3,5.3,5.3,500.0
43,2020/07/14 13:11:00,5.15,5.15,5.15,5.15,1283.0
44,2020/07/14 13:12:00,5.1,5.1,5.1,5.1,2667.0
45,2020/07/14 13:26:00,5.1,5.1,5.1,5.1,181.0
46,2020/07/14 13:28:00,5.1,5.1,5.1,5.1,1820.0
47,2020/07/14 13:59:00,5.1,5.1,5.1,5.1,880.0
48,2020/07/14 14:23:00,5.1,5.1,5.1,5.1,50.0
49,2020/07/14 14:53:00,5.1,5.1,5.1,5.1,1000.0
50,2020/07/15 09:24:00,5.05,5.05,5.05,5.05,1.0
51,2020/07/15 09:35:00,5.2,5.2,5.2,5.2,1.0
52,2020/07/15 09:43:00,5.2,5.2,5.2,5.2,890.0
53,2020/07/15 09:48:00,5.1,5.1,5.0,5.0,2715.0
54,2020/07/15 09:49:00,5.0,5.0,5.0,5.0,1199.0
55,2020/07/15 09:51:00,5.0,5.0,5.0,5.0,9.0
56,2020/07/15 09:58:00,5.0,5.0,5.0,5.0,4000.0
57,2020/07/15 10:06:00,5.0,5.0,5.0,5.0,200.0
58,2020/07/15 10:16:00,5.0,5.0,5.0,5.0,25.0
59,2020/07/15 10:17:00,5.0,5.0,5.0,5.0,645.0
60,2020/07/15 10:23:00,4.95,4.95,4.95,4.95,9.0
61,2020/07/15 10:34:00,5.0,5.0,5.0,5.0,1100.0
62,2020/07/15 10:35:00,5.0,5.0,5.0,5.0,900.0
63,2020/07/15 10:37:00,5.0,5.0,5.0,5.0,300.0
64,2020/07/15 10:38:00,5.0,5.0,5.0,5.0,100.0
65,2020/07/15 10:41:00,5.0,5.0,5.0,5.0,50.0
66,2020/07/15 10:42:00,5.0,5.0,5.0,5.0,100.0
67,2020/07/15 10:43:00,5.0,5.0,5.0,5.0,300.0
68,2020/07/15 10:52:00,5.0,5.0,5.0,5.0,15164.0
69,2020/07/15 11:07:00,5.0,5.0,5.0,5.0,2000.0
70,2020/07/15 11:12:00,5.0,5.0,5.0,5.0,100.0
71,2020/07/15 11:13:00,5.25,5.25,5.25,5.25,10.0
72,2020/07/15 11:31:00,5.25,5.25,5.25,5.25,100.0
73,2020/07/15 12:17:00,5.2,5.2,5.2,5.2,60.0
74,2020/07/15 12:28:00,5.2,5.25,5.2,5.25,100.0
75,2020/07/15 12:59:00,5.1,5.1,5.1,5.1,21.0
76,2020/07/15 13:12:00,5.25,5.25,5.25,5.25,1000.0
77,2020/07/15 14:04:00,5.25,5.25,5.25,5.25,1000.0
78,2020/07/15 14:45:00,5.25,5.25,5.25,5.25,38.0
79,2020/07/15 14:46:00,5.3,5.3,5.3,5.3,40.0
80,2020/07/15 15:03:00,5.25,5.25,5.25,5.25,750.0
81,2020/07/15 15:11:00,5.25,5.25,5.25,5.25,1000.0
82,2020/07/15 15:16:00,5.25,5.25,5.25,5.25,2.0
83,2020/07/15 15:20:00,5.3,5.3,5.3,5.3,100.0
84,2020/07/15 15:21:00,5.3,5.35,5.3,5.35,1000.0
85,2020/07/15 15:27:00,5.35,5.35,5.35,5.35,120.0
86,2020/07/15 15:28:00,5.35,5.35,5.35,5.35,10.0
87,2020/07/15 15:42:00,5.3,5.3,5.3,5.3,100.0
88,2020/07/16 09:07:00,5.1,5.1,5.1,5.1,200.0
89,2020/07/16 09:15:00,5.1,5.5,5.1,5.5,5.0
90,2020/07/16 09:24:00,5.5,5.55,5.5,5.55,3294.0
91,2020/07/16 09:26:00,5.55,5.55,5.55,5.55,1000.0
92,2020/07/16 09:27:00,5.55,5.55,5.55,5.55,500.0
93,2020/07/16 09:28:00,5.55,5.55,5.55,5.55,56.0
94,2020/07/16 09:31:00,5.55,5.55,5.55,5.55,400.0
95,2020/07/16 09:32:00,5.55,5.55,5.55,5.55,1000.0
96,2020/07/16 09:40:00,5.55,5.55,5.55,5.55,5840.0
97,2020/07/16 09:46:00,5.55,5.55,5.55,5.55,645.0
98,2020/07/16 09:47:00,5.55,5.55,5.55,5.55,4000.0
99,2020/07/16 10:06:00,5.55,5.55,5.55,5.55,510.0
100,2020/07/16 10:07:00,5.55,5.55,5.55,5.55,3000.0
101,2020/07/16 10:13:00,5.55,5.55,5.55,5.55,22.0
102,2020/07/16 10:22:00,5.55,5.55,5.55,5.55,2000.0
103,2020/07/16 10:40:00,5.55,5.55,5.55,5.55,3025.0
104,2020/07/16 10:52:00,5.55,5.55,5.55,5.55,10.0
105,2020/07/16 11:01:00,5.55,5.55,5.55,5.55,1000.0
106,2020/07/16 11:10:00,5.55,5.55,5.55,5.55,400.0
107,2020/07/16 11:14:00,5.55,5.55,5.55,5.55,1000.0
