index,date,open,high,low,close,volume
0,2020/08/31 10:02:00,24.2,24.2,24.2,24.2,18.0
1,2020/08/31 10:03:00,24.2,24.2,24.2,24.2,49.0
2,2020/08/31 10:04:00,24.2,24.2,24.2,24.2,1093.0
3,2020/08/31 10:05:00,24.1,24.1,24.1,24.1,40.0
4,2020/08/31 10:07:00,24.0,24.0,23.45,23.45,600.0
5,2020/08/31 10:08:00,23.25,23.25,23.25,23.25,100.0
6,2020/08/31 10:09:00,23.35,24.2,23.35,24.2,650.0
7,2020/08/31 10:13:00,24.15,24.15,24.15,24.15,5.0
8,2020/08/31 10:20:00,23.75,23.75,23.75,23.75,300.0
9,2020/08/31 10:24:00,24.0,24.0,24.0,24.0,50.0
10,2020/08/31 10:27:00,23.75,23.75,23.75,23.75,5.0
11,2020/08/31 10:28:00,23.75,23.75,23.75,23.75,100.0
12,2020/08/31 10:30:00,23.65,23.65,23.5,23.5,124.0
13,2020/08/31 10:38:00,23.75,23.75,23.75,23.75,25.0
14,2020/08/31 10:45:00,23.75,23.75,23.75,23.75,10.0
15,2020/08/31 10:48:00,23.9,23.9,23.9,23.9,50.0
16,2020/08/31 10:49:00,23.85,23.85,23.85,23.85,10.0
17,2020/08/31 10:54:00,23.8,23.8,23.55,23.55,66.0
18,2020/08/31 10:55:00,23.5,23.5,23.5,23.5,32.0
19,2020/08/31 10:56:00,23.8,23.8,23.8,23.8,122.0
20,2020/08/31 10:58:00,23.55,23.6,23.55,23.6,55.0
21,2020/08/31 10:59:00,23.6,23.6,23.6,23.6,100.0
22,2020/08/31 11:04:00,23.7,23.7,23.7,23.7,50.0
23,2020/08/31 11:06:00,23.7,23.7,23.7,23.7,5.0
24,2020/08/31 11:07:00,23.35,23.35,23.35,23.35,2564.0
25,2020/08/31 11:09:00,23.35,23.35,23.35,23.35,40.0
26,2020/08/31 11:10:00,23.35,23.35,23.25,23.25,195.0
27,2020/08/31 11:17:00,24.0,24.0,24.0,24.0,300.0
28,2020/08/31 11:20:00,23.7,23.7,23.7,23.7,100.0
29,2020/08/31 11:24:00,23.7,23.7,23.7,23.7,50.0
30,2020/08/31 11:32:00,23.3,23.3,23.25,23.3,300.0
31,2020/08/31 11:33:00,23.3,23.3,23.3,23.3,10.0
32,2020/08/31 11:35:00,23.3,23.3,23.3,23.3,280.0
33,2020/08/31 11:37:00,23.6,23.6,23.6,23.6,50.0
34,2020/08/31 11:38:00,23.25,23.25,23.25,23.25,1000.0
35,2020/08/31 11:40:00,23.25,23.25,23.25,23.25,293.0
36,2020/08/31 11:45:00,23.25,23.25,23.25,23.25,715.0
37,2020/08/31 11:46:00,22.4,22.4,22.4,22.4,941.0
38,2020/08/31 11:47:00,22.25,22.25,22.25,22.25,59.0
39,2020/08/31 11:48:00,22.25,22.25,22.25,22.25,20.0
40,2020/08/31 11:50:00,22.3,22.3,22.3,22.3,200.0
41,2020/08/31 11:55:00,22.9,23.0,22.9,23.0,300.0
42,2020/08/31 12:02:00,22.7,22.8,22.7,22.8,16.0
43,2020/08/31 12:11:00,23.2,23.2,23.2,23.2,50.0
44,2020/08/31 12:12:00,23.2,23.2,23.2,23.2,150.0
45,2020/08/31 12:16:00,23.45,23.45,23.45,23.45,10.0
46,2020/08/31 12:24:00,22.65,22.65,22.65,22.65,100.0
47,2020/08/31 12:25:00,23.2,23.2,23.2,23.2,24.0
48,2020/08/31 12:28:00,23.2,23.2,23.2,23.2,1.0
49,2020/08/31 12:30:00,22.8,22.8,22.8,22.8,16.0
50,2020/08/31 12:31:00,22.75,22.75,22.75,22.75,49.0
51,2020/08/31 12:33:00,22.8,22.8,22.8,22.8,20.0
52,2020/08/31 12:35:00,22.8,22.8,22.8,22.8,100.0
53,2020/08/31 12:36:00,22.8,22.8,22.8,22.8,150.0
54,2020/08/31 12:38:00,22.8,22.8,22.8,22.8,146.0
55,2020/08/31 12:39:00,22.8,22.8,22.8,22.8,568.0
56,2020/08/31 12:41:00,22.95,22.95,22.95,22.95,32.0
57,2020/08/31 12:44:00,22.85,22.85,22.85,22.85,2.0
58,2020/08/31 12:48:00,22.95,22.95,22.95,22.95,68.0
59,2020/08/31 12:54:00,23.1,23.1,23.1,23.1,240.0
60,2020/08/31 13:03:00,22.8,22.8,22.8,22.8,64.0
61,2020/08/31 13:04:00,22.75,22.75,22.65,22.65,176.0
62,2020/08/31 13:06:00,22.65,22.65,22.65,22.65,100.0
63,2020/08/31 13:09:00,23.0,23.0,23.0,23.0,200.0
64,2020/08/31 13:24:00,22.8,22.8,22.8,22.8,100.0
65,2020/08/31 13:32:00,22.9,22.9,22.9,22.9,10.0
66,2020/08/31 13:35:00,22.65,22.65,22.65,22.65,928.0
67,2020/08/31 13:41:00,22.65,22.65,22.65,22.65,71.0
68,2020/08/31 13:44:00,22.65,22.65,22.65,22.65,1.0
69,2020/08/31 13:52:00,22.65,22.65,22.65,22.65,24.0
70,2020/08/31 13:53:00,22.5,22.5,22.5,22.5,115.0
71,2020/08/31 14:05:00,22.85,22.85,22.85,22.85,30.0
72,2020/08/31 14:10:00,22.75,22.75,22.75,22.75,30.0
73,2020/08/31 14:14:00,22.5,22.5,22.5,22.5,250.0
74,2020/08/31 14:15:00,22.75,22.75,22.75,22.75,510.0
75,2020/08/31 14:23:00,22.8,22.8,22.8,22.8,1.0
76,2020/08/31 14:24:00,22.8,22.8,22.8,22.8,2.0
77,2020/08/31 14:31:00,22.4,22.4,22.4,22.4,1.0
78,2020/08/31 14:36:00,22.25,22.25,22.25,22.25,100.0
79,2020/08/31 14:38:00,22.5,22.5,22.5,22.5,1.0
80,2020/08/31 14:39:00,22.25,22.25,22.25,22.25,5.0
81,2020/08/31 14:45:00,22.7,22.7,22.35,22.4,289.0
82,2020/08/31 14:48:00,22.4,22.4,22.4,22.4,50.0
83,2020/08/31 14:51:00,22.25,22.7,22.25,22.7,300.0
84,2020/08/31 14:52:00,22.3,22.3,22.3,22.3,48.0
85,2020/08/31 15:00:00,22.65,22.65,22.65,22.65,100.0
86,2020/08/31 15:08:00,22.55,22.55,22.5,22.5,107.0
87,2020/08/31 15:09:00,22.5,22.5,22.5,22.5,107.0
88,2020/08/31 15:12:00,22.3,22.3,22.3,22.3,2.0
89,2020/08/31 15:15:00,22.3,22.3,22.3,22.3,117.0
90,2020/08/31 15:19:00,22.3,22.3,22.05,22.05,2000.0
91,2020/08/31 15:23:00,22.45,22.45,22.45,22.45,800.0
92,2020/08/31 15:24:00,22.05,22.05,22.05,22.05,218.0
93,2020/08/31 15:25:00,22.5,22.5,22.5,22.5,10.0
94,2020/08/31 15:27:00,22.5,22.5,22.5,22.5,24.0
95,2020/08/31 15:28:00,22.05,22.05,22.05,22.05,64.0
96,2020/09/01 09:07:00,21.5,21.5,21.5,21.5,100.0
97,2020/09/01 09:15:00,21.5,21.5,21.5,21.5,0.0
98,2020/09/01 09:16:00,21.5,21.5,21.5,21.5,100.0
99,2020/09/01 09:20:00,21.8,21.8,21.8,21.8,150.0
100,2020/09/01 09:22:00,21.5,21.85,21.5,21.5,355.0
101,2020/09/01 09:29:00,21.0,21.0,21.0,21.0,28.0
102,2020/09/01 09:30:00,21.0,21.0,21.0,21.0,100.0
103,2020/09/01 09:34:00,20.45,20.45,20.45,20.45,38.0
104,2020/09/01 09:39:00,21.0,21.0,21.0,21.0,93.0
105,2020/09/01 09:42:00,21.0,21.0,21.0,21.0,3.0
106,2020/09/01 09:43:00,21.0,21.0,21.0,21.0,67.0
107,2020/09/01 09:50:00,21.55,21.55,21.55,21.55,2.0
108,2020/09/01 09:52:00,21.6,21.6,21.55,21.55,470.0
109,2020/09/01 09:53:00,21.5,21.5,21.2,21.2,51.0
110,2020/09/01 09:55:00,21.2,21.2,21.2,21.2,5.0
111,2020/09/01 09:58:00,21.2,21.2,21.2,21.2,20.0
112,2020/09/01 09:59:00,21.2,21.2,21.2,21.2,200.0
113,2020/09/01 10:04:00,21.5,21.5,21.5,21.5,11.0
114,2020/09/01 10:06:00,21.35,21.35,21.35,21.35,300.0
115,2020/09/01 10:12:00,21.2,21.3,21.2,21.3,163.0
116,2020/09/01 10:14:00,21.5,21.5,21.5,21.5,300.0
117,2020/09/01 10:15:00,21.5,21.5,21.2,21.2,70.0
118,2020/09/01 10:25:00,21.0,21.0,21.0,21.0,1000.0
119,2020/09/01 10:30:00,22.7,22.7,22.7,22.7,100.0
120,2020/09/01 10:31:00,21.0,21.0,21.0,21.0,401.0
121,2020/09/01 10:34:00,20.5,20.5,20.5,20.5,400.0
122,2020/09/01 10:38:00,21.55,21.55,21.55,21.55,60.0
123,2020/09/01 10:47:00,20.6,20.6,20.6,20.6,2.0
124,2020/09/01 10:59:00,20.7,20.7,20.7,20.7,32.0
