index,date,open,high,low,close,volume
0,2020/10/23 12:52:00,63.2,63.2,63.2,63.2,10.0
1,2020/10/23 12:58:00,63.1,63.1,63.1,63.1,200.0
2,2020/10/23 12:59:00,63.1,63.1,63.1,63.1,100.0
3,2020/10/23 13:01:00,63.05,63.05,63.05,63.05,100.0
4,2020/10/23 13:02:00,63.05,63.05,63.05,63.05,704.0
5,2020/10/23 13:15:00,62.2,62.2,62.2,62.2,35.0
6,2020/10/23 13:24:00,62.25,62.25,62.25,62.25,5.0
7,2020/10/23 13:34:00,62.3,62.3,62.3,62.3,4.0
8,2020/10/23 13:36:00,63.2,63.2,63.2,63.2,177.0
9,2020/10/23 13:39:00,62.4,62.4,62.4,62.4,30.0
10,2020/10/23 13:41:00,63.2,63.2,63.2,63.2,10.0
11,2020/10/23 13:42:00,63.2,63.2,63.2,63.2,25.0
12,2020/10/23 13:43:00,63.2,63.2,63.2,63.2,2.0
13,2020/10/23 13:45:00,63.2,63.2,63.2,63.2,2.0
14,2020/10/23 13:50:00,62.4,62.4,62.4,62.4,20.0
15,2020/10/23 13:53:00,62.4,62.4,62.4,62.4,430.0
16,2020/10/23 13:55:00,63.1,63.1,62.4,62.4,9.0
17,2020/10/23 13:57:00,62.4,62.4,62.4,62.4,150.0
18,2020/10/23 14:04:00,62.9,62.9,62.9,62.9,1.0
19,2020/10/23 14:05:00,63.1,63.1,63.1,63.1,100.0
20,2020/10/23 14:07:00,62.45,62.45,62.45,62.45,27.0
21,2020/10/23 14:12:00,63.1,63.1,63.1,63.1,10.0
22,2020/10/23 14:13:00,62.45,62.45,62.45,62.45,100.0
23,2020/10/23 14:23:00,62.4,62.4,62.4,62.4,200.0
24,2020/10/23 14:24:00,63.2,63.2,63.2,63.2,100.0
25,2020/10/23 14:26:00,63.2,63.2,63.2,63.2,6.0
26,2020/10/23 14:27:00,63.2,63.2,62.4,62.4,155.0
27,2020/10/23 14:29:00,62.4,62.4,62.4,62.4,25.0
28,2020/10/23 14:32:00,62.4,62.4,62.4,62.4,60.0
29,2020/10/23 14:35:00,63.2,63.2,63.2,63.2,100.0
30,2020/10/23 14:36:00,63.2,63.2,63.2,63.2,60.0
31,2020/10/23 14:42:00,63.2,63.2,63.2,63.2,200.0
32,2020/10/23 14:44:00,63.25,63.25,63.25,63.25,376.0
33,2020/10/23 14:50:00,63.25,63.25,63.25,63.25,150.0
34,2020/10/23 14:53:00,63.25,63.25,63.25,63.25,1.0
35,2020/10/23 14:55:00,63.3,63.3,63.3,63.3,10.0
36,2020/10/23 14:59:00,63.25,63.25,63.25,63.25,19.0
37,2020/10/23 15:00:00,63.25,63.25,63.25,63.25,4.0
38,2020/10/23 15:01:00,63.3,63.3,63.25,63.25,55.0
39,2020/10/23 15:08:00,63.25,63.25,63.25,63.25,1.0
40,2020/10/23 15:10:00,63.25,63.25,63.25,63.25,100.0
41,2020/10/23 15:15:00,63.0,63.0,63.0,63.0,25.0
42,2020/10/23 15:16:00,63.25,63.25,63.25,63.25,144.0
43,2020/10/23 15:17:00,63.0,63.0,63.0,63.0,1842.0
44,2020/10/23 15:18:00,63.0,63.0,63.0,63.0,3.0
45,2020/10/23 15:20:00,63.0,63.0,63.0,63.0,1.0
46,2020/10/23 15:21:00,62.95,62.95,62.95,62.95,130.0
47,2020/10/23 15:24:00,62.4,62.4,62.4,62.4,100.0
48,2020/10/23 15:25:00,62.95,62.95,62.95,62.95,90.0
49,2020/10/23 15:26:00,62.4,62.4,62.4,62.4,654.0
50,2020/10/23 15:27:00,62.95,62.95,62.95,62.95,25.0
51,2020/10/23 15:28:00,62.95,62.95,62.95,62.95,200.0
52,2020/10/26 09:07:00,62.0,62.0,62.0,62.0,301.0
53,2020/10/26 09:15:00,61.0,61.5,60.05,60.05,425.0
54,2020/10/26 09:16:00,60.1,61.5,60.1,61.5,110.0
55,2020/10/26 09:17:00,61.5,61.5,61.5,61.5,20.0
56,2020/10/26 09:18:00,61.0,61.0,61.0,61.0,6.0
