index,date,open,high,low,close,volume
0,2020/12/18 11:22:00,727.25,727.55,727.25,727.25,41.0
1,2020/12/18 11:23:00,727.55,727.55,727.55,727.55,25.0
2,2020/12/18 11:24:00,727.55,727.55,727.55,727.55,23.0
3,2020/12/18 11:25:00,727.55,727.55,727.25,727.25,106.0
4,2020/12/18 11:26:00,727.25,727.25,727.25,727.25,6.0
5,2020/12/18 11:27:00,727.6,727.6,727.25,727.25,8.0
6,2020/12/18 11:28:00,727.9,727.9,727.5,727.5,11.0
7,2020/12/18 11:29:00,727.25,727.25,727.0,727.0,88.0
8,2020/12/18 11:30:00,727.5,727.85,727.0,727.05,44.0
9,2020/12/18 11:31:00,727.05,727.9,727.05,727.9,36.0
10,2020/12/18 11:32:00,727.85,728.0,727.05,728.0,87.0
11,2020/12/18 11:33:00,727.85,727.85,727.5,727.5,23.0
12,2020/12/18 11:34:00,727.45,728.0,727.45,727.5,46.0
13,2020/12/18 11:35:00,727.95,727.95,727.1,727.1,43.0
14,2020/12/18 11:36:00,727.1,727.1,726.05,726.05,355.0
15,2020/12/18 11:37:00,726.05,726.05,726.05,726.05,121.0
16,2020/12/18 11:38:00,726.0,726.0,726.0,726.0,30.0
17,2020/12/18 11:39:00,726.0,726.0,724.4,725.0,658.0
18,2020/12/18 11:40:00,725.35,725.7,725.0,725.7,48.0
19,2020/12/18 11:41:00,724.9,725.75,724.9,725.75,17.0
20,2020/12/18 11:43:00,726.55,726.55,726.55,726.55,7.0
21,2020/12/18 11:44:00,726.55,726.55,726.5,726.5,828.0
22,2020/12/18 11:45:00,726.65,726.65,726.65,726.65,16.0
23,2020/12/18 11:47:00,727.0,727.0,727.0,727.0,130.0
24,2020/12/18 11:49:00,727.45,727.45,727.45,727.45,8.0
25,2020/12/18 11:50:00,726.6,727.35,726.6,727.35,30.0
26,2020/12/18 11:51:00,726.1,726.1,724.9,724.9,1213.0
27,2020/12/18 11:52:00,724.4,724.95,724.4,724.4,45.0
28,2020/12/18 11:53:00,724.95,724.95,724.0,724.0,142.0
29,2020/12/18 11:54:00,724.0,724.1,723.7,723.7,256.0
30,2020/12/18 11:55:00,723.7,723.7,723.7,723.7,12.0
31,2020/12/18 11:56:00,724.4,724.4,723.5,723.5,75.0
32,2020/12/18 11:57:00,723.55,724.6,723.55,724.0,25.0
33,2020/12/18 11:58:00,723.85,724.0,723.75,723.75,105.0
34,2020/12/18 11:59:00,724.55,724.55,724.55,724.55,2.0
35,2020/12/18 12:00:00,724.6,724.6,723.6,723.6,568.0
36,2020/12/18 12:01:00,723.6,723.6,723.35,723.35,230.0
37,2020/12/18 12:02:00,723.35,723.35,723.05,723.05,99.0
38,2020/12/18 12:03:00,723.0,723.35,723.0,723.0,83.0
39,2020/12/18 12:04:00,723.0,723.0,722.35,722.4,111.0
40,2020/12/18 12:05:00,722.25,722.35,722.05,722.3,89.0
41,2020/12/18 12:06:00,722.25,722.25,722.0,722.25,73.0
42,2020/12/18 12:07:00,722.25,723.0,722.25,722.25,83.0
43,2020/12/18 12:08:00,722.25,722.8,722.0,722.0,81.0
44,2020/12/18 12:09:00,722.0,722.3,721.55,721.55,286.0
45,2020/12/18 12:10:00,721.55,721.55,721.55,721.55,71.0
46,2020/12/18 12:11:00,721.55,721.55,720.0,720.0,376.0
47,2020/12/18 12:12:00,720.0,720.0,718.1,718.45,475.0
48,2020/12/18 12:13:00,719.0,719.0,718.0,718.05,258.0
49,2020/12/18 12:14:00,717.95,718.6,717.95,718.45,77.0
50,2020/12/18 12:15:00,718.45,718.45,717.8,717.8,96.0
51,2020/12/18 12:16:00,717.7,719.95,717.5,719.95,956.0
52,2020/12/18 12:17:00,718.75,718.85,717.6,718.85,88.0
53,2020/12/18 12:18:00,718.0,719.05,717.75,717.85,121.0
54,2020/12/18 12:19:00,717.8,719.0,717.8,717.8,153.0
55,2020/12/18 12:20:00,717.8,718.85,717.75,717.75,92.0
56,2020/12/18 12:21:00,717.75,718.6,717.75,718.0,102.0
57,2020/12/18 12:22:00,718.05,718.7,718.0,718.7,141.0
58,2020/12/18 12:23:00,718.6,718.95,718.05,718.15,135.0
59,2020/12/18 12:24:00,718.05,719.5,718.05,719.5,197.0
60,2020/12/18 12:25:00,718.7,719.65,718.5,718.5,141.0
61,2020/12/18 12:26:00,718.3,719.5,718.1,718.1,125.0
62,2020/12/18 12:27:00,718.45,718.45,718.05,718.05,183.0
63,2020/12/18 12:28:00,718.05,718.45,718.05,718.1,134.0
64,2020/12/18 12:29:00,718.45,719.9,718.1,718.95,311.0
65,2020/12/18 12:30:00,718.8,719.85,718.7,719.1,99.0
66,2020/12/18 12:31:00,719.1,719.1,718.5,718.55,172.0
67,2020/12/18 12:32:00,718.55,718.65,718.15,718.15,157.0
68,2020/12/18 12:33:00,718.15,718.65,718.1,718.1,133.0
69,2020/12/18 12:34:00,718.1,719.4,718.1,718.7,367.0
70,2020/12/18 12:35:00,718.65,718.95,718.1,718.1,133.0
71,2020/12/18 12:36:00,718.05,718.75,717.75,717.75,336.0
72,2020/12/18 12:37:00,717.75,718.25,717.1,717.1,204.0
73,2020/12/18 12:38:00,717.4,717.4,716.0,716.1,1497.0
74,2020/12/18 12:39:00,716.0,718.0,716.0,717.35,288.0
75,2020/12/18 12:40:00,716.9,717.9,716.25,716.9,116.0
76,2020/12/18 12:41:00,716.7,717.45,716.25,716.55,199.0
77,2020/12/18 12:42:00,716.5,717.7,716.25,716.35,226.0
78,2020/12/18 12:43:00,716.3,717.6,716.25,717.0,183.0
79,2020/12/18 12:44:00,716.45,717.0,716.25,716.3,171.0
80,2020/12/18 12:45:00,716.3,719.5,716.3,719.5,866.0
81,2020/12/18 12:46:00,719.65,720.0,719.05,720.0,230.0
82,2020/12/18 12:47:00,720.0,721.05,720.0,721.05,68.0
83,2020/12/18 12:48:00,720.9,721.15,719.3,720.1,294.0
84,2020/12/18 12:49:00,719.8,720.65,719.1,719.45,118.0
85,2020/12/18 12:50:00,719.15,720.4,719.05,719.75,116.0
86,2020/12/18 12:51:00,719.35,720.5,719.35,720.0,125.0
87,2020/12/18 12:52:00,720.0,721.0,720.0,720.3,227.0
88,2020/12/18 12:53:00,720.3,720.55,720.05,720.05,137.0
89,2020/12/18 12:54:00,720.05,721.0,720.0,720.95,118.0
90,2020/12/18 12:55:00,720.05,721.0,720.0,720.1,115.0
91,2020/12/18 12:56:00,720.05,720.8,720.0,720.0,152.0
92,2020/12/18 12:57:00,720.0,720.6,720.0,720.2,119.0
93,2020/12/18 12:58:00,720.0,720.95,719.65,720.0,145.0
94,2020/12/18 12:59:00,720.0,720.25,719.4,719.4,160.0
95,2020/12/18 13:00:00,720.0,720.35,718.55,718.8,171.0
96,2020/12/18 13:01:00,718.55,718.85,718.05,718.05,258.0
97,2020/12/18 13:02:00,718.05,719.45,718.0,718.75,226.0
98,2020/12/18 13:03:00,718.3,718.3,717.05,717.15,208.0
99,2020/12/18 13:04:00,717.1,718.45,717.0,717.45,153.0
100,2020/12/18 13:05:00,717.0,718.1,716.85,717.15,205.0
101,2020/12/18 13:06:00,717.15,718.9,717.0,718.0,236.0
102,2020/12/18 13:07:00,717.75,718.25,717.15,717.4,163.0
103,2020/12/18 13:08:00,717.45,718.75,717.1,717.45,161.0
104,2020/12/18 13:09:00,717.5,718.3,717.0,717.05,154.0
105,2020/12/18 13:10:00,717.05,718.3,717.05,717.15,156.0
106,2020/12/18 13:11:00,717.05,718.3,717.0,717.15,153.0
107,2020/12/18 13:12:00,717.1,718.3,716.0,716.85,680.0
108,2020/12/18 13:13:00,716.8,717.55,716.25,716.6,162.0
109,2020/12/18 13:14:00,717.6,717.6,716.05,716.25,150.0
110,2020/12/18 13:15:00,717.35,717.7,717.35,717.35,44.0
111,2020/12/18 13:16:00,717.35,718.15,717.35,717.8,76.0
112,2020/12/18 13:17:00,717.8,717.95,717.05,717.05,99.0
113,2020/12/18 13:18:00,717.9,717.9,716.4,716.45,298.0
114,2020/12/18 13:19:00,716.45,717.4,716.0,716.35,1064.0
115,2020/12/18 13:20:00,716.3,717.05,716.3,716.3,52.0
116,2020/12/18 13:21:00,717.05,717.2,716.7,716.7,37.0
117,2020/12/18 13:22:00,717.4,717.4,716.7,716.7,41.0
118,2020/12/18 13:23:00,717.5,717.5,716.7,716.75,51.0
119,2020/12/18 13:24:00,716.75,717.55,716.75,716.8,50.0
120,2020/12/18 13:25:00,716.8,716.9,716.8,716.85,41.0
121,2020/12/18 13:26:00,716.85,717.65,716.85,717.1,495.0
122,2020/12/18 13:27:00,718.5,718.6,717.25,717.25,50.0
123,2020/12/18 13:28:00,716.9,717.9,716.9,716.9,56.0
124,2020/12/18 13:29:00,716.85,717.7,716.85,717.7,40.0
125,2020/12/18 13:30:00,718.05,718.05,718.05,718.05,28.0
126,2020/12/18 13:31:00,718.45,718.45,717.7,717.7,27.0
127,2020/12/18 13:33:00,718.45,718.5,717.0,717.95,537.0
128,2020/12/18 13:34:00,718.2,718.85,718.0,718.5,113.0
129,2020/12/18 13:35:00,718.9,719.4,718.9,719.4,37.0
130,2020/12/18 13:36:00,719.8,719.8,717.7,718.9,283.0
