index,date,open,high,low,close,volume
0,2018/01/24 10:33:00,39.1,39.1,39.1,39.1,2000.0
1,2018/01/24 11:02:00,39.1,39.1,39.1,39.1,2000.0
2,2018/01/24 13:53:00,40.5,40.5,40.5,40.5,18000.0
3,2018/01/24 14:04:00,40.0,40.0,40.0,40.0,20000.0
4,2018/01/24 14:06:00,40.2,40.2,40.2,40.2,16000.0
5,2018/01/25 12:54:00,41.9,41.9,41.9,41.9,28000.0
6,2018/01/25 15:14:00,39.4,39.75,39.4,39.75,28000.0
7,2018/01/29 11:04:00,39.0,39.0,39.0,39.0,6000.0
8,2018/01/29 12:20:00,38.5,38.5,38.5,38.5,2000.0
9,2018/01/29 12:38:00,38.5,38.5,38.5,38.5,2000.0
10,2018/01/30 11:32:00,38.0,38.0,38.0,38.0,2000.0
11,2018/01/30 12:17:00,38.1,38.1,38.1,38.1,2000.0
12,2018/02/02 09:54:00,38.1,38.1,38.1,38.1,2000.0
13,2018/02/05 10:33:00,36.0,36.0,36.0,36.0,2000.0
14,2018/02/05 10:35:00,35.5,35.5,35.5,35.5,2000.0
15,2018/02/05 14:17:00,35.05,35.05,35.05,35.05,6000.0
16,2018/02/07 10:39:00,35.1,35.1,35.1,35.1,2000.0
17,2018/02/07 14:14:00,35.25,35.25,35.25,35.25,2000.0
18,2018/02/07 14:23:00,35.25,35.25,35.25,35.25,12000.0
19,2018/02/07 14:58:00,35.25,35.25,35.25,35.25,10000.0
20,2018/02/08 09:21:00,36.0,36.0,36.0,36.0,2000.0
21,2018/02/08 09:59:00,36.0,36.0,36.0,36.0,2000.0
22,2018/02/08 10:00:00,36.2,36.2,36.2,36.2,2000.0
23,2018/02/12 09:38:00,35.9,35.9,35.9,35.9,2000.0
24,2018/02/12 12:18:00,35.0,35.0,35.0,35.0,2000.0
25,2018/02/12 15:00:00,35.0,35.0,35.0,35.0,2000.0
26,2018/02/12 15:22:00,34.8,34.8,34.4,34.4,4000.0
27,2018/02/12 15:26:00,34.4,34.4,34.4,34.4,2000.0
28,2018/02/16 14:12:00,34.0,34.0,34.0,34.0,2000.0
29,2018/02/19 14:02:00,33.45,33.45,33.45,33.45,2000.0
30,2018/02/19 14:03:00,33.4,33.4,33.4,33.4,2000.0
31,2018/02/20 10:35:00,34.0,34.0,34.0,34.0,2000.0
32,2018/02/20 11:03:00,34.55,34.55,34.55,34.55,2000.0
33,2018/02/20 11:56:00,34.0,34.0,34.0,34.0,2000.0
34,2018/02/20 14:09:00,34.5,34.5,34.5,34.5,2000.0
35,2018/02/20 14:28:00,34.5,34.5,34.5,34.5,2000.0
36,2018/02/20 15:11:00,34.0,34.0,34.0,34.0,2000.0
37,2018/02/20 15:12:00,34.0,34.0,34.0,34.0,2000.0
38,2018/02/20 15:27:00,33.15,33.15,33.15,33.15,2000.0
39,2018/02/21 09:23:00,34.2,34.2,34.2,34.2,2000.0
40,2018/02/22 12:35:00,33.1,33.1,33.1,33.1,2000.0
41,2018/03/01 11:03:00,34.6,34.7,34.6,34.7,58000.0
42,2018/03/01 11:11:00,31.7,31.7,31.7,31.7,24000.0
43,2018/03/01 11:13:00,31.9,33.3,31.9,33.3,32000.0
44,2018/03/01 12:20:00,34.5,34.5,34.5,34.5,2000.0
45,2018/03/01 12:25:00,34.0,34.0,34.0,34.0,2000.0
46,2018/03/05 14:17:00,35.3,35.3,35.3,35.3,74000.0
47,2018/03/05 14:23:00,33.4,33.4,33.4,33.4,2000.0
48,2018/03/07 11:36:00,31.75,31.75,31.75,31.75,2000.0
49,2018/03/08 14:33:00,30.2,30.2,30.2,30.2,2000.0
50,2018/03/09 10:21:00,28.8,28.8,28.8,28.8,2000.0
51,2018/03/09 15:08:00,28.8,28.8,28.8,28.8,2000.0
52,2018/03/09 15:10:00,30.6,30.6,30.6,30.6,2000.0
53,2018/03/12 11:39:00,31.15,31.15,31.15,31.15,4000.0
54,2018/03/12 13:04:00,28.9,28.9,28.9,28.9,30000.0
55,2018/03/12 13:07:00,29.0,29.0,29.0,29.0,12000.0
56,2018/03/12 13:09:00,29.1,29.1,29.1,29.1,6000.0
57,2018/03/12 13:10:00,29.1,29.1,29.1,29.1,14000.0
58,2018/03/12 13:18:00,31.1,31.1,31.0,31.0,48000.0
59,2018/03/12 13:19:00,30.9,30.9,30.9,30.9,26000.0
60,2018/03/12 15:28:00,31.15,31.15,31.15,31.15,2000.0
61,2018/03/13 09:21:00,31.0,31.0,31.0,31.0,2000.0
62,2018/03/13 10:32:00,31.0,31.0,31.0,31.0,2000.0
63,2018/03/13 13:43:00,31.2,31.2,31.2,31.2,12000.0
64,2018/03/13 13:44:00,31.3,31.4,31.2,31.2,38000.0
65,2018/03/13 14:05:00,31.5,31.5,31.4,31.4,42000.0
66,2018/03/13 14:06:00,31.5,31.5,31.5,31.5,4000.0
67,2018/03/13 14:07:00,31.3,31.3,31.3,31.3,4000.0
68,2018/03/13 15:27:00,32.7,32.7,32.7,32.7,2000.0
