index,date,open,high,low,close,volume
0,2015/12/09 15:30:00,3.65,3.65,3.65,3.65,1.0
1,2015/12/09 15:40:00,3.65,3.65,3.65,3.65,1484.0
2,2015/12/10 10:58:00,3.95,3.95,3.95,3.95,101.0
3,2015/12/10 14:56:00,3.65,3.65,3.65,3.65,801.0
4,2015/12/10 15:30:00,3.65,3.65,3.65,3.65,1.0
5,2015/12/11 13:47:00,3.5,3.5,3.5,3.5,5500.0
6,2015/12/11 13:55:00,3.5,3.5,3.5,3.5,3000.0
7,2015/12/11 14:26:00,3.45,3.45,3.45,3.45,510.0
8,2015/12/11 14:27:00,3.4,3.4,3.4,3.4,2350.0
9,2015/12/11 14:54:00,3.5,3.9,3.5,3.9,18482.0
10,2015/12/11 15:31:00,3.9,3.9,3.9,3.9,1.0
11,2015/12/11 15:40:00,3.9,3.9,3.9,3.9,100.0
12,2015/12/14 09:30:00,3.9,3.9,3.9,3.9,100.0
13,2015/12/14 10:02:00,3.9,3.9,3.9,3.9,100.0
14,2015/12/14 13:48:00,3.85,3.85,3.85,3.85,5.0
15,2015/12/14 15:30:00,3.85,3.85,3.85,3.85,1.0
16,2015/12/14 15:43:00,3.85,3.85,3.85,3.85,5.0
17,2015/12/16 10:10:00,3.45,3.45,3.45,3.45,438.0
18,2015/12/16 10:35:00,3.5,3.5,3.5,3.5,200.0
19,2015/12/16 11:39:00,3.85,3.85,3.85,3.85,25.0
20,2015/12/16 11:43:00,3.85,3.85,3.85,3.85,100.0
21,2015/12/16 11:45:00,3.85,3.85,3.85,3.85,575.0
22,2015/12/16 11:55:00,3.85,3.85,3.85,3.85,100.0
23,2015/12/16 11:59:00,3.8,3.8,3.8,3.8,100.0
24,2015/12/16 12:20:00,3.8,3.8,3.8,3.8,200.0
25,2015/12/16 12:58:00,3.8,3.8,3.8,3.8,600.0
26,2015/12/16 13:57:00,3.6,3.6,3.6,3.6,200.0
27,2015/12/16 14:27:00,3.7,3.7,3.7,3.7,400.0
28,2015/12/16 15:30:00,3.7,3.7,3.7,3.7,1.0
29,2015/12/17 11:30:00,3.85,3.85,3.85,3.85,100.0
30,2015/12/17 12:26:00,3.85,3.85,3.85,3.85,1000.0
31,2015/12/17 14:47:00,3.6,3.6,3.6,3.6,338.0
32,2015/12/17 15:31:00,3.6,3.6,3.6,3.6,1.0
33,2015/12/17 15:46:00,3.6,3.6,3.6,3.6,138.0
34,2015/12/18 11:32:00,3.45,3.45,3.45,3.45,161.0
35,2015/12/18 12:46:00,3.75,3.75,3.75,3.75,1000.0
36,2015/12/18 12:49:00,3.75,3.75,3.75,3.75,500.0
37,2015/12/18 12:52:00,3.75,3.75,3.75,3.75,700.0
38,2015/12/18 13:43:00,3.55,3.55,3.55,3.55,2000.0
39,2015/12/18 15:30:00,3.55,3.55,3.55,3.55,1.0
40,2015/12/21 13:08:00,3.75,3.75,3.75,3.75,1000.0
41,2015/12/21 13:52:00,3.8,3.9,3.8,3.9,2501.0
42,2015/12/21 15:06:00,3.9,3.9,3.9,3.9,1.0
43,2015/12/21 15:10:00,3.9,3.9,3.9,3.9,226.0
44,2015/12/21 15:27:00,3.9,3.9,3.9,3.9,250.0
45,2015/12/21 15:31:00,3.9,3.9,3.9,3.9,1.0
46,2015/12/21 15:40:00,3.9,3.9,3.9,3.9,200.0
47,2015/12/21 15:50:00,3.9,3.9,3.9,3.9,50.0
48,2015/12/22 13:57:00,3.75,3.75,3.75,3.75,100.0
49,2015/12/22 13:59:00,3.7,3.7,3.7,3.7,500.0
50,2015/12/22 14:58:00,3.95,3.95,3.95,3.95,100.0
51,2015/12/22 15:10:00,4.0,4.0,4.0,4.0,100.0
52,2015/12/22 15:11:00,4.0,4.0,4.0,4.0,529.0
53,2015/12/22 15:28:00,3.8,3.8,3.8,3.8,200.0
54,2015/12/22 15:29:00,4.1,4.1,4.1,4.1,50.0
55,2015/12/22 15:30:00,3.95,3.95,3.95,3.95,1.0
56,2015/12/22 15:41:00,3.95,3.95,3.95,3.95,50.0
57,2015/12/23 10:20:00,3.85,3.85,3.85,3.85,1500.0
58,2015/12/23 12:43:00,4.0,4.05,4.0,4.05,1500.0
59,2015/12/23 12:44:00,4.05,4.05,4.05,4.05,3000.0
60,2015/12/23 12:47:00,4.1,4.1,4.1,4.1,500.0
61,2015/12/23 13:09:00,4.15,4.15,4.15,4.15,2600.0
62,2015/12/23 13:23:00,4.1,4.1,4.1,4.1,50.0
63,2015/12/23 14:03:00,3.95,3.95,3.95,3.95,500.0
64,2015/12/23 14:18:00,3.95,3.95,3.95,3.95,500.0
65,2015/12/23 14:26:00,3.9,3.9,3.9,3.9,50.0
66,2015/12/23 14:31:00,3.9,3.9,3.9,3.9,529.0
67,2015/12/23 14:35:00,4.0,4.0,4.0,4.0,500.0
68,2015/12/23 14:36:00,3.9,3.9,3.9,3.9,2000.0
69,2015/12/23 14:40:00,4.2,4.35,4.1,4.35,11504.0
70,2015/12/23 14:41:00,4.35,4.35,4.35,4.35,100.0
71,2015/12/23 14:44:00,4.35,4.5,4.35,4.5,2950.0
72,2015/12/23 14:50:00,4.5,4.5,4.5,4.5,500.0
73,2015/12/23 14:52:00,4.5,4.5,4.5,4.5,100.0
74,2015/12/23 14:53:00,4.5,4.5,4.5,4.5,110.0
75,2015/12/23 15:04:00,4.25,4.25,4.25,4.25,1000.0
76,2015/12/23 15:05:00,4.3,4.3,4.3,4.3,2000.0
77,2015/12/23 15:12:00,4.25,4.25,4.25,4.25,1000.0
78,2015/12/23 15:20:00,4.2,4.2,4.2,4.2,2000.0
79,2015/12/23 15:21:00,4.25,4.25,4.25,4.25,30.0
80,2015/12/23 15:25:00,4.15,4.15,4.15,4.15,1000.0
81,2015/12/23 15:26:00,4.3,4.3,4.3,4.3,200.0
82,2015/12/23 15:27:00,4.2,4.2,4.15,4.15,1000.0
83,2015/12/23 15:29:00,4.15,4.3,4.15,4.15,5800.0
84,2015/12/23 15:31:00,4.2,4.2,4.2,4.2,1.0
85,2015/12/23 15:40:00,4.2,4.2,4.2,4.2,5000.0
86,2015/12/24 10:05:00,4.0,4.0,4.0,4.0,100.0
87,2015/12/24 10:31:00,3.85,3.85,3.85,3.85,150.0
88,2015/12/24 10:54:00,3.85,3.85,3.85,3.85,150.0
89,2015/12/24 10:55:00,4.2,4.2,4.2,4.2,1.0
90,2015/12/24 11:10:00,4.25,4.25,4.25,4.25,1000.0
91,2015/12/24 11:21:00,4.45,4.45,4.45,4.45,5000.0
92,2015/12/24 11:43:00,4.4,4.4,4.4,4.4,200.0
93,2015/12/24 11:52:00,4.45,4.85,4.45,4.85,12500.0
94,2015/12/24 11:53:00,4.7,4.7,4.7,4.7,844.0
95,2015/12/24 12:05:00,4.75,4.75,4.75,4.75,1000.0
96,2015/12/24 12:12:00,4.85,4.85,4.85,4.85,2000.0
97,2015/12/24 12:13:00,4.9,4.95,4.9,4.95,2720.0
98,2015/12/24 12:14:00,4.85,4.95,4.85,4.95,7156.0
99,2015/12/24 12:18:00,4.9,4.9,4.9,4.9,46.0
100,2015/12/24 12:25:00,4.9,4.9,4.9,4.9,10.0
101,2015/12/24 12:40:00,4.8,4.8,4.8,4.8,500.0
102,2015/12/24 12:58:00,4.8,4.8,4.8,4.8,100.0
103,2015/12/24 12:59:00,4.8,4.85,4.8,4.8,1100.0
104,2015/12/24 13:10:00,4.8,4.8,4.8,4.8,856.0
105,2015/12/24 13:11:00,4.7,4.7,4.7,4.7,500.0
106,2015/12/24 13:31:00,4.8,4.8,4.8,4.8,202.0
107,2015/12/24 13:47:00,4.8,4.8,4.8,4.8,1542.0
108,2015/12/24 13:52:00,4.85,4.85,4.85,4.85,250.0
109,2015/12/24 13:56:00,4.8,4.8,4.8,4.8,250.0
110,2015/12/24 14:03:00,4.8,4.8,4.8,4.8,1000.0
111,2015/12/24 14:10:00,4.85,4.85,4.85,4.85,3000.0
112,2015/12/24 14:15:00,4.8,4.8,4.8,4.8,1000.0
113,2015/12/24 14:16:00,4.8,4.8,4.8,4.8,1209.0
114,2015/12/24 14:18:00,4.7,4.7,4.7,4.7,2000.0
115,2015/12/24 14:33:00,4.7,4.7,4.7,4.7,1906.0
116,2015/12/24 14:34:00,4.7,4.7,4.7,4.7,95.0
117,2015/12/24 14:35:00,4.8,4.8,4.8,4.8,100.0
118,2015/12/24 14:45:00,4.8,4.8,4.8,4.8,1.0
119,2015/12/24 14:46:00,4.7,4.7,4.7,4.7,50.0
120,2015/12/24 14:49:00,4.7,4.7,4.7,4.7,500.0
121,2015/12/24 14:51:00,4.8,4.8,4.8,4.8,500.0
122,2015/12/24 14:54:00,5.0,5.0,5.0,5.0,19530.0
123,2015/12/24 14:57:00,5.0,5.0,5.0,5.0,1.0
124,2015/12/24 15:11:00,5.0,5.0,5.0,5.0,500.0
125,2015/12/24 15:31:00,5.0,5.0,5.0,5.0,1.0
126,2015/12/24 15:40:00,5.0,5.0,5.0,5.0,500.0
127,2015/12/28 09:19:00,4.95,5.4,4.95,5.4,5906.0
128,2015/12/28 09:20:00,4.75,4.75,4.75,4.75,200.0
129,2015/12/28 09:21:00,5.25,5.25,5.25,5.25,5.0
130,2015/12/28 09:22:00,5.2,5.2,4.75,4.75,1200.0
131,2015/12/28 09:23:00,5.4,5.4,5.4,5.4,11.0
132,2015/12/28 09:26:00,5.3,5.3,5.3,5.3,50.0
133,2015/12/28 09:27:00,5.3,5.3,5.3,5.3,600.0
134,2015/12/28 09:28:00,5.3,5.3,5.3,5.3,500.0
135,2015/12/28 09:38:00,5.25,5.25,5.25,5.25,150.0
136,2015/12/28 09:43:00,5.1,5.25,5.1,5.25,2001.0
137,2015/12/28 09:44:00,5.25,5.25,5.25,5.25,100.0
138,2015/12/28 09:46:00,5.05,5.2,5.05,5.2,1341.0
139,2015/12/28 09:47:00,5.2,5.2,5.2,5.2,284.0
140,2015/12/28 09:51:00,5.15,5.15,5.15,5.15,500.0
141,2015/12/28 09:53:00,5.1,5.1,5.05,5.05,1520.0
142,2015/12/28 09:55:00,5.2,5.2,5.2,5.2,75.0
143,2015/12/28 09:59:00,5.05,5.05,5.05,5.05,18.0
144,2015/12/28 10:01:00,5.15,5.2,5.15,5.2,5050.0
145,2015/12/28 10:03:00,5.1,5.1,5.05,5.05,2000.0
146,2015/12/28 10:04:00,5.05,5.05,5.05,5.05,1000.0
147,2015/12/28 10:05:00,5.05,5.05,5.05,5.05,700.0
148,2015/12/28 10:16:00,5.05,5.05,5.05,5.05,812.0
149,2015/12/28 10:20:00,5.2,5.2,5.2,5.2,338.0
150,2015/12/28 10:26:00,5.0,5.0,5.0,5.0,2600.0
151,2015/12/28 10:29:00,5.0,5.0,5.0,5.0,150.0
152,2015/12/28 10:36:00,5.0,5.0,5.0,5.0,1075.0
153,2015/12/28 10:37:00,5.0,5.0,5.0,5.0,860.0
154,2015/12/28 10:40:00,5.0,5.0,5.0,5.0,100.0
155,2015/12/28 10:56:00,5.1,5.1,5.1,5.1,1000.0
156,2015/12/28 10:57:00,5.15,5.2,5.15,5.2,701.0
157,2015/12/28 11:00:00,5.1,5.1,5.1,5.1,10.0
158,2015/12/28 11:12:00,5.2,5.2,5.2,5.2,2000.0
159,2015/12/28 11:22:00,5.2,5.2,5.2,5.2,2000.0
160,2015/12/28 11:36:00,5.2,5.25,5.2,5.2,787.0
161,2015/12/28 11:37:00,5.2,5.25,5.2,5.25,217.0
162,2015/12/28 11:41:00,5.25,5.25,5.25,5.25,500.0
163,2015/12/28 11:42:00,5.25,5.25,5.2,5.2,553.0
164,2015/12/28 11:43:00,5.2,5.25,5.2,5.25,1047.0
165,2015/12/28 11:45:00,5.25,5.25,5.25,5.25,1000.0
166,2015/12/28 11:46:00,5.15,5.25,5.0,5.25,1001.0
167,2015/12/28 12:00:00,5.25,5.25,5.25,5.25,2000.0
168,2015/12/28 12:22:00,5.25,5.25,5.25,5.25,1.0
169,2015/12/28 12:33:00,5.25,5.25,5.25,5.25,1000.0
170,2015/12/28 12:34:00,5.25,5.25,5.25,5.25,1000.0
171,2015/12/28 13:03:00,5.2,5.2,5.2,5.2,500.0
172,2015/12/28 13:04:00,5.25,5.25,5.25,5.25,1.0
173,2015/12/28 13:13:00,5.2,5.2,5.2,5.2,1000.0
174,2015/12/28 13:27:00,5.2,5.2,5.2,5.2,50.0
175,2015/12/28 13:33:00,5.2,5.2,5.15,5.15,10600.0
176,2015/12/28 13:34:00,5.15,5.15,5.15,5.15,570.0
177,2015/12/28 13:35:00,5.2,5.2,5.2,5.2,4000.0
178,2015/12/28 13:36:00,5.2,5.25,5.2,5.25,3502.0
179,2015/12/28 13:37:00,5.25,5.25,5.2,5.25,6264.0
180,2015/12/28 13:38:00,5.2,5.2,5.1,5.1,1665.0
181,2015/12/28 13:39:00,5.1,5.1,5.1,5.1,336.0
182,2015/12/28 13:45:00,5.2,5.2,5.2,5.2,101.0
183,2015/12/28 13:46:00,5.25,5.25,5.25,5.25,7000.0
184,2015/12/28 13:47:00,5.25,5.25,5.25,5.25,38.0
185,2015/12/28 13:51:00,5.25,5.25,5.25,5.25,1998.0
186,2015/12/28 13:55:00,5.25,5.25,5.25,5.25,1000.0
187,2015/12/28 13:56:00,5.25,5.25,5.25,5.25,500.0
188,2015/12/28 14:03:00,5.3,5.3,5.3,5.3,1000.0
189,2015/12/28 14:08:00,5.35,5.35,5.35,5.35,1103.0
190,2015/12/28 14:09:00,5.35,5.4,5.35,5.4,3000.0
191,2015/12/28 14:10:00,5.4,5.4,5.35,5.35,1000.0
192,2015/12/28 14:11:00,5.35,5.35,5.35,5.35,4842.0
193,2015/12/28 14:12:00,5.4,5.4,5.4,5.4,2601.0
194,2015/12/28 14:14:00,5.45,5.45,5.3,5.3,200.0
