index,date,open,high,low,close,volume
0,2020/08/21 09:35:00,28.8,28.8,28.8,28.8,20.0
1,2020/08/21 09:40:00,28.8,28.8,28.8,28.8,8.0
2,2020/08/21 09:41:00,28.8,28.8,28.8,28.8,10.0
3,2020/08/21 09:43:00,28.8,28.8,28.8,28.8,5.0
4,2020/08/21 09:56:00,28.75,28.75,28.75,28.75,50.0
5,2020/08/21 09:57:00,28.75,28.75,28.75,28.75,20.0
6,2020/08/21 10:01:00,28.75,28.75,28.75,28.75,300.0
7,2020/08/21 10:02:00,28.6,28.6,28.5,28.5,1002.0
8,2020/08/21 10:03:00,28.35,28.4,28.35,28.4,54.0
9,2020/08/21 10:04:00,28.7,28.75,28.7,28.75,1020.0
10,2020/08/21 10:06:00,28.9,28.9,28.9,28.9,999.0
11,2020/08/21 10:07:00,29.0,29.0,29.0,29.0,20.0
12,2020/08/21 10:08:00,29.05,29.1,29.05,29.1,135.0
13,2020/08/21 10:10:00,29.1,29.45,29.1,29.45,190.0
14,2020/08/21 10:11:00,29.45,29.5,29.45,29.5,322.0
15,2020/08/21 10:12:00,29.45,29.45,29.45,29.45,50.0
16,2020/08/21 10:19:00,29.2,29.45,29.2,29.45,110.0
17,2020/08/21 10:20:00,29.45,29.45,29.45,29.45,100.0
18,2020/08/21 10:21:00,29.45,29.45,29.45,29.45,240.0
19,2020/08/21 10:22:00,29.45,29.45,29.45,29.45,2000.0
20,2020/08/21 10:24:00,29.2,29.5,29.2,29.5,350.0
21,2020/08/21 10:25:00,29.5,29.5,29.5,29.5,2000.0
22,2020/08/21 10:27:00,29.2,29.2,29.2,29.2,1.0
23,2020/08/21 10:28:00,29.15,29.2,29.15,29.2,1098.0
24,2020/08/21 10:30:00,29.5,29.5,29.5,29.5,200.0
25,2020/08/21 10:34:00,29.4,29.5,29.4,29.5,3100.0
26,2020/08/21 10:35:00,29.5,29.6,29.45,29.5,7078.0
27,2020/08/21 10:37:00,29.7,29.7,29.7,29.7,100.0
28,2020/08/21 10:39:00,29.95,30.25,29.95,30.25,8120.0
29,2020/08/21 10:40:00,30.25,30.35,30.25,30.3,1849.0
30,2020/08/21 10:41:00,30.35,30.65,30.35,30.55,2368.0
31,2020/08/21 10:42:00,30.5,30.5,30.05,30.05,600.0
32,2020/08/21 10:43:00,30.45,30.45,30.4,30.4,350.0
33,2020/08/21 10:44:00,30.4,30.4,30.2,30.2,2515.0
34,2020/08/21 10:45:00,30.2,30.2,30.2,30.2,80.0
35,2020/08/21 10:46:00,30.2,30.2,30.1,30.1,739.0
36,2020/08/21 10:47:00,30.1,30.1,30.05,30.05,431.0
37,2020/08/21 10:48:00,30.1,30.3,30.1,30.3,498.0
38,2020/08/21 10:49:00,30.4,30.45,30.4,30.45,1022.0
39,2020/08/21 10:50:00,30.45,30.45,30.45,30.45,1048.0
40,2020/08/21 10:53:00,30.3,30.3,30.25,30.25,488.0
41,2020/08/21 10:54:00,30.3,30.3,30.25,30.25,1010.0
42,2020/08/21 10:55:00,30.25,30.25,30.25,30.25,472.0
43,2020/08/21 10:56:00,30.25,30.25,30.25,30.25,538.0
44,2020/08/21 10:57:00,30.2,30.3,30.2,30.3,82.0
45,2020/08/21 10:59:00,30.3,30.3,30.3,30.3,50.0
46,2020/08/21 11:00:00,30.2,30.25,30.2,30.25,500.0
47,2020/08/21 11:01:00,30.25,30.25,30.2,30.2,65.0
48,2020/08/21 11:03:00,30.2,30.2,30.2,30.2,100.0
49,2020/08/21 11:04:00,30.25,30.3,30.25,30.3,1074.0
50,2020/08/21 11:06:00,30.25,30.25,30.25,30.25,145.0
51,2020/08/21 11:07:00,30.3,30.3,30.3,30.3,200.0
52,2020/08/21 11:08:00,30.25,30.3,30.25,30.3,93.0
53,2020/08/21 11:09:00,30.3,30.3,30.3,30.3,200.0
54,2020/08/21 11:10:00,30.25,30.25,30.25,30.25,350.0
55,2020/08/21 11:11:00,30.3,30.3,30.3,30.3,250.0
56,2020/08/21 11:13:00,30.25,30.25,30.25,30.25,500.0
57,2020/08/21 11:14:00,30.3,30.3,30.25,30.25,45.0
58,2020/08/21 11:18:00,30.2,30.2,30.2,30.2,4000.0
59,2020/08/21 11:19:00,30.2,30.2,30.2,30.2,283.0
60,2020/08/21 11:20:00,30.2,30.2,30.2,30.2,100.0
61,2020/08/21 11:21:00,30.2,30.2,30.2,30.2,1092.0
62,2020/08/21 11:22:00,30.15,30.2,30.15,30.2,280.0
63,2020/08/21 11:23:00,30.15,30.15,30.15,30.15,18.0
64,2020/08/21 11:24:00,30.0,30.0,30.0,30.0,745.0
65,2020/08/21 11:25:00,29.9,29.95,29.9,29.95,72.0
66,2020/08/21 11:26:00,29.9,29.9,29.9,29.9,3317.0
67,2020/08/21 11:28:00,29.9,29.9,29.9,29.9,1662.0
68,2020/08/21 11:30:00,29.8,29.8,29.7,29.7,2.0
