index,date,open,high,low,close,volume
0,2020/04/08 09:15:00,25.0,25.0,21.0,21.0,1.0
1,2020/04/08 09:32:00,24.95,24.95,24.95,24.95,100.0
2,2020/04/08 09:46:00,22.0,22.0,20.9,20.9,174.0
3,2020/04/08 11:29:00,22.5,22.5,22.5,22.5,125.0
4,2020/04/08 11:33:00,22.5,22.5,22.5,22.5,20.0
5,2020/04/08 11:40:00,24.25,24.25,24.25,24.25,500.0
6,2020/04/08 11:46:00,22.5,22.5,22.5,22.5,160.0
7,2020/04/08 13:56:00,22.6,22.6,22.6,22.6,200.0
8,2020/04/08 14:20:00,24.0,24.0,24.0,24.0,9.0
9,2020/04/08 14:21:00,24.0,24.0,24.0,24.0,90.0
10,2020/04/08 15:00:00,22.6,22.6,22.6,22.6,150.0
11,2020/04/08 15:24:00,24.0,24.0,24.0,24.0,1.0
12,2020/04/09 09:24:00,23.0,23.0,23.0,23.0,100.0
13,2020/04/09 10:19:00,23.0,23.0,23.0,23.0,9.0
14,2020/04/09 10:20:00,23.0,23.0,22.2,23.0,140.0
15,2020/04/09 10:53:00,23.0,23.0,23.0,23.0,20.0
16,2020/04/09 11:12:00,23.0,23.0,23.0,23.0,1980.0
17,2020/04/09 11:25:00,23.0,23.0,23.0,23.0,1.0
18,2020/04/09 11:30:00,23.0,23.0,23.0,23.0,120.0
19,2020/04/09 11:31:00,23.0,23.0,23.0,23.0,79.0
20,2020/04/09 12:05:00,24.9,24.9,24.9,24.9,10.0
21,2020/04/09 12:34:00,24.9,24.9,24.9,24.9,1000.0
22,2020/04/09 12:39:00,24.85,24.85,24.85,24.85,100.0
23,2020/04/09 14:16:00,22.65,22.65,22.65,22.65,26.0
24,2020/04/09 15:09:00,24.45,24.45,24.45,24.45,1.0
25,2020/04/09 15:21:00,24.4,24.4,24.4,24.4,100.0
26,2020/04/09 15:26:00,22.65,22.65,22.65,22.65,15.0
27,2020/04/13 09:27:00,23.6,23.6,23.6,23.6,10.0
28,2020/04/13 10:57:00,24.0,24.0,24.0,24.0,1099.0
29,2020/04/13 11:26:00,23.6,23.6,23.6,23.6,200.0
30,2020/04/13 11:29:00,23.6,23.6,23.6,23.6,300.0
31,2020/04/13 12:12:00,24.35,24.35,24.35,24.35,10.0
32,2020/04/13 13:59:00,22.65,22.65,22.65,22.65,220.0
33,2020/04/13 14:39:00,23.95,23.95,23.95,23.95,400.0
34,2020/04/13 14:42:00,23.9,23.9,23.9,23.9,300.0
35,2020/04/13 14:46:00,23.05,23.05,23.05,23.05,10.0
36,2020/04/13 14:52:00,23.0,23.0,23.0,23.0,700.0
37,2020/04/15 10:05:00,22.15,22.15,22.15,22.15,28.0
38,2020/04/15 10:07:00,22.1,22.2,22.1,22.1,385.0
39,2020/04/15 10:09:00,22.1,22.1,22.1,22.1,15.0
40,2020/04/15 10:12:00,22.6,22.6,22.6,22.6,100.0
41,2020/04/15 10:22:00,22.4,22.4,22.4,22.4,302.0
42,2020/04/15 10:39:00,21.15,21.15,21.15,21.15,3000.0
43,2020/04/15 10:40:00,21.15,21.15,21.15,21.15,5165.0
44,2020/04/15 10:42:00,22.95,22.95,22.95,22.95,15.0
45,2020/04/15 10:45:00,21.15,21.15,21.15,21.15,5000.0
46,2020/04/15 10:46:00,21.1,21.1,21.1,21.1,33.0
47,2020/04/15 10:48:00,21.75,21.75,21.75,21.75,500.0
48,2020/04/15 10:53:00,22.7,22.7,22.7,22.7,150.0
49,2020/04/15 11:07:00,22.95,22.95,22.95,22.95,145.0
50,2020/04/15 11:24:00,23.45,23.45,23.45,23.45,500.0
51,2020/04/15 11:45:00,22.2,22.2,22.2,22.2,500.0
52,2020/04/15 11:56:00,22.1,22.1,22.1,22.1,500.0
53,2020/04/15 11:58:00,22.1,22.1,22.1,22.1,405.0
54,2020/04/15 12:02:00,22.1,22.1,22.1,22.1,1595.0
55,2020/04/15 12:07:00,21.45,21.45,21.45,21.45,3000.0
56,2020/04/15 12:25:00,21.75,21.75,21.75,21.75,1000.0
57,2020/04/15 12:31:00,22.8,22.8,22.8,22.8,2994.0
58,2020/04/15 12:32:00,22.85,22.85,22.85,22.85,6.0
59,2020/04/15 13:18:00,22.65,22.65,22.65,22.65,794.0
60,2020/04/15 13:38:00,22.95,22.95,22.95,22.95,1.0
61,2020/04/15 13:43:00,22.95,22.95,22.95,22.95,49.0
62,2020/04/15 13:56:00,22.0,22.0,22.0,22.0,200.0
63,2020/04/15 14:00:00,21.8,21.8,21.8,21.8,50.0
64,2020/04/15 14:22:00,22.95,22.95,22.95,22.95,500.0
65,2020/04/15 14:37:00,22.9,22.9,22.9,22.9,1100.0
66,2020/04/15 14:38:00,22.9,22.9,22.9,22.9,100.0
67,2020/04/15 14:48:00,22.9,22.9,22.9,22.9,1600.0
68,2020/04/15 14:50:00,22.9,22.9,22.9,22.9,1000.0
69,2020/04/15 14:51:00,22.9,22.9,22.9,22.9,600.0
70,2020/04/15 14:52:00,22.9,22.9,22.9,22.9,80.0
71,2020/04/15 14:53:00,22.9,22.9,22.9,22.9,15.0
72,2020/04/15 14:54:00,22.9,22.9,22.9,22.9,500.0
73,2020/04/15 14:56:00,22.3,22.9,22.3,22.9,455.0
74,2020/04/15 14:57:00,22.95,22.95,22.95,22.95,200.0
75,2020/04/15 15:25:00,22.8,22.8,22.8,22.8,150.0
76,2020/04/16 10:00:00,21.95,23.7,21.95,23.7,27.0
77,2020/04/16 10:36:00,22.0,22.0,22.0,22.0,60.0
78,2020/04/16 10:37:00,22.0,22.0,21.7,21.7,1583.0
79,2020/04/16 10:56:00,21.7,21.7,21.7,21.7,100.0
