index,date,open,high,low,close,volume
0,2020/08/13 10:21:00,11.95,11.95,11.3,11.3,1195.0
1,2020/08/13 10:26:00,11.35,11.35,11.35,11.35,100.0
2,2020/08/13 10:28:00,11.95,11.95,11.95,11.95,20.0
3,2020/08/13 11:00:00,11.8,11.8,11.8,11.8,40.0
4,2020/08/13 11:05:00,11.5,11.5,11.5,11.5,80.0
5,2020/08/13 11:06:00,11.5,11.5,11.5,11.5,80.0
6,2020/08/13 11:17:00,11.5,11.5,11.5,11.5,100.0
7,2020/08/13 11:18:00,11.5,11.5,11.5,11.5,1.0
8,2020/08/13 11:22:00,11.5,11.5,11.5,11.5,125.0
9,2020/08/13 11:25:00,11.5,11.5,11.5,11.5,1000.0
10,2020/08/13 11:39:00,11.5,11.5,11.5,11.5,10.0
11,2020/08/13 11:47:00,11.5,11.5,11.5,11.5,5.0
12,2020/08/13 11:57:00,11.9,11.9,11.5,11.5,250.0
13,2020/08/13 12:24:00,11.9,11.9,11.9,11.9,1000.0
14,2020/08/13 12:32:00,11.5,11.5,11.5,11.5,170.0
15,2020/08/13 12:36:00,11.5,11.5,11.5,11.5,500.0
16,2020/08/13 12:49:00,11.5,11.5,11.5,11.5,1000.0
17,2020/08/13 13:07:00,11.5,11.5,11.5,11.5,700.0
18,2020/08/13 13:22:00,11.5,11.5,11.5,11.5,20.0
19,2020/08/13 13:28:00,11.5,11.5,11.5,11.5,5.0
20,2020/08/13 13:41:00,11.5,11.5,11.5,11.5,1500.0
21,2020/08/13 14:46:00,11.5,11.5,11.5,11.5,200.0
22,2020/08/13 14:53:00,11.5,11.5,11.5,11.5,500.0
23,2020/08/13 14:59:00,11.5,11.5,11.5,11.5,3739.0
24,2020/08/13 15:04:00,11.5,11.5,11.5,11.5,19.0
25,2020/08/13 15:10:00,11.5,11.5,11.5,11.5,181.0
26,2020/08/13 15:25:00,11.3,11.3,11.3,11.3,300.0
27,2020/08/14 09:20:00,11.45,11.45,11.45,11.45,100.0
28,2020/08/14 09:41:00,11.8,11.8,11.8,11.8,2.0
29,2020/08/14 09:50:00,11.35,11.35,11.35,11.35,350.0
30,2020/08/14 10:02:00,11.8,11.8,11.8,11.8,3.0
31,2020/08/14 10:03:00,11.35,11.35,11.35,11.35,5.0
32,2020/08/14 10:07:00,11.8,11.8,11.8,11.8,3.0
33,2020/08/14 10:19:00,11.75,11.75,11.75,11.75,5.0
34,2020/08/14 10:20:00,11.75,11.75,11.75,11.75,5.0
35,2020/08/14 10:39:00,11.35,11.35,11.35,11.35,1000.0
