index,date,open,high,low,close,volume
0,2020/12/17 14:13:00,146.45,146.45,146.25,146.25,742.0
1,2020/12/17 14:14:00,146.25,146.45,146.25,146.3,2269.0
2,2020/12/17 14:15:00,146.4,146.4,146.25,146.25,527.0
3,2020/12/17 14:16:00,146.25,146.4,146.25,146.3,1233.0
4,2020/12/17 14:17:00,146.25,146.35,146.25,146.3,611.0
5,2020/12/17 14:18:00,146.2,146.25,146.0,146.2,3022.0
6,2020/12/17 14:19:00,146.15,146.3,146.1,146.25,212.0
7,2020/12/17 14:20:00,146.3,146.3,146.2,146.25,955.0
8,2020/12/17 14:21:00,146.3,146.3,146.1,146.1,2390.0
9,2020/12/17 14:22:00,146.1,146.1,146.0,146.0,1266.0
10,2020/12/17 14:23:00,146.05,146.05,146.0,146.0,12727.0
11,2020/12/17 14:24:00,146.0,146.25,146.0,146.0,10150.0
12,2020/12/17 14:25:00,146.0,146.2,146.0,146.0,7800.0
13,2020/12/17 14:26:00,146.0,146.0,145.7,145.7,3844.0
14,2020/12/17 14:27:00,145.7,145.7,145.1,145.1,12185.0
15,2020/12/17 14:28:00,145.15,145.4,145.1,145.15,7255.0
16,2020/12/17 14:29:00,145.35,145.4,145.1,145.1,5464.0
17,2020/12/17 14:30:00,145.1,145.35,145.1,145.3,1957.0
18,2020/12/17 14:31:00,145.2,145.6,145.2,145.6,5510.0
19,2020/12/17 14:32:00,145.6,145.6,145.4,145.6,505.0
20,2020/12/17 14:33:00,145.6,145.75,145.55,145.7,512.0
21,2020/12/17 14:34:00,145.7,145.95,145.7,145.7,2771.0
22,2020/12/17 14:35:00,145.75,145.75,145.5,145.5,1623.0
23,2020/12/17 14:36:00,145.75,146.0,145.6,146.0,4095.0
24,2020/12/17 14:37:00,145.9,146.2,145.85,146.15,1476.0
25,2020/12/17 14:38:00,146.25,146.5,146.25,146.35,5529.0
26,2020/12/17 14:39:00,146.25,146.5,146.05,146.2,1632.0
27,2020/12/17 14:40:00,146.05,146.2,146.0,146.0,988.0
28,2020/12/17 14:41:00,145.8,146.05,145.35,145.7,3274.0
29,2020/12/17 14:42:00,145.9,146.05,145.7,145.9,1741.0
30,2020/12/17 14:43:00,145.9,146.05,145.7,145.8,782.0
31,2020/12/17 14:44:00,145.65,145.75,145.65,145.7,2016.0
