index,date,open,high,low,close,volume
0,2020/10/23 09:54:00,21.9,21.9,21.9,21.9,20.0
1,2020/10/23 10:04:00,21.9,21.9,21.9,21.9,100.0
2,2020/10/23 10:16:00,21.9,21.9,21.9,21.9,3.0
3,2020/10/23 10:26:00,21.9,21.9,21.9,21.9,3.0
4,2020/10/23 10:43:00,21.75,21.75,21.75,21.75,1.0
5,2020/10/23 11:05:00,21.75,21.75,21.75,21.75,15.0
6,2020/10/23 11:27:00,21.9,21.9,21.9,21.9,1.0
7,2020/10/23 11:36:00,21.9,21.9,21.9,21.9,5.0
8,2020/10/23 11:58:00,21.9,21.9,21.9,21.9,2.0
9,2020/10/23 12:25:00,21.9,21.9,21.9,21.9,1.0
10,2020/10/23 12:38:00,21.9,21.9,21.9,21.9,8.0
11,2020/10/23 13:27:00,21.75,21.75,21.75,21.75,40.0
12,2020/10/23 13:51:00,21.9,21.9,21.9,21.9,9.0
13,2020/10/23 14:08:00,21.9,21.9,21.9,21.9,268.0
14,2020/10/23 14:20:00,21.9,21.9,21.9,21.9,8.0
15,2020/10/23 14:21:00,22.0,22.0,22.0,22.0,326.0
16,2020/10/23 14:23:00,22.0,22.0,22.0,22.0,50.0
17,2020/10/23 14:32:00,21.9,21.9,21.9,21.9,40.0
18,2020/10/23 14:34:00,22.0,22.0,22.0,22.0,905.0
19,2020/10/23 14:37:00,21.9,21.9,21.9,21.9,3.0
20,2020/10/23 14:39:00,21.9,21.9,21.9,21.9,10.0
21,2020/10/23 14:55:00,21.9,21.9,21.9,21.9,100.0
22,2020/10/26 09:21:00,21.5,21.5,21.5,21.5,200.0
23,2020/10/26 09:25:00,21.6,21.6,21.6,21.6,250.0
24,2020/10/26 09:32:00,21.65,21.65,21.65,21.65,25.0
25,2020/10/26 09:34:00,21.65,21.65,21.65,21.65,11.0
26,2020/10/26 09:55:00,22.85,22.85,22.85,22.85,100.0
27,2020/10/26 09:58:00,21.6,22.4,21.6,22.4,80.0
28,2020/10/26 09:59:00,22.4,22.4,22.4,22.4,70.0
29,2020/10/26 10:28:00,21.75,21.75,21.75,21.75,100.0
30,2020/10/26 10:31:00,22.3,22.3,22.3,22.3,5.0
31,2020/10/26 10:43:00,22.3,22.3,22.3,22.3,2.0
32,2020/10/26 10:56:00,22.3,22.3,22.3,22.3,22.0
33,2020/10/26 10:57:00,21.75,21.75,21.75,21.75,22.0
34,2020/10/26 11:01:00,22.3,22.3,22.3,22.3,55.0
35,2020/10/26 11:02:00,22.3,22.3,22.3,22.3,4.0
36,2020/10/26 11:05:00,22.25,22.25,22.25,22.25,21.0
37,2020/10/26 11:07:00,21.75,21.75,21.75,21.75,5.0
38,2020/10/26 11:11:00,21.75,21.75,21.75,21.75,198.0
39,2020/10/26 11:23:00,22.2,22.2,22.2,22.2,1.0
40,2020/10/26 11:24:00,22.2,22.2,22.2,22.2,1.0
41,2020/10/26 11:28:00,22.2,22.2,22.2,22.2,2.0
42,2020/10/26 11:49:00,22.0,22.0,22.0,22.0,1.0
43,2020/10/26 11:56:00,22.2,22.2,22.2,22.2,10.0
44,2020/10/26 12:02:00,21.8,21.8,21.8,21.8,10.0
45,2020/10/26 12:54:00,22.0,22.0,22.0,22.0,11.0
46,2020/10/26 13:12:00,22.0,22.0,22.0,22.0,135.0
47,2020/10/26 13:29:00,22.3,22.3,22.3,22.3,2.0
48,2020/10/26 13:38:00,22.3,22.3,22.3,22.3,1.0
49,2020/10/26 13:59:00,21.75,21.75,21.75,21.75,80.0
50,2020/10/26 14:29:00,21.75,21.75,21.75,21.75,690.0
51,2020/10/26 14:49:00,21.75,21.75,21.75,21.75,147.0
52,2020/10/26 14:50:00,21.75,21.75,21.75,21.75,13.0
53,2020/10/26 14:54:00,21.75,21.75,21.75,21.75,214.0
54,2020/10/27 09:07:00,23.85,23.85,23.85,23.85,10.0
55,2020/10/27 09:15:00,22.0,22.0,22.0,22.0,100.0
56,2020/10/27 09:26:00,22.0,22.0,22.0,22.0,908.0
57,2020/10/27 09:29:00,21.5,21.5,21.5,21.5,151.0
58,2020/10/27 09:31:00,21.4,21.4,21.4,21.4,27.0
59,2020/10/27 09:32:00,22.45,22.45,22.45,22.45,1.0
60,2020/10/27 09:36:00,22.45,22.45,22.45,22.45,200.0
61,2020/10/27 09:37:00,21.1,21.1,21.1,21.1,444.0
62,2020/10/27 09:43:00,21.3,21.35,21.3,21.35,205.0
63,2020/10/27 09:55:00,21.5,21.5,21.5,21.5,35.0
64,2020/10/27 09:56:00,21.5,21.5,21.5,21.5,25.0
65,2020/10/27 10:20:00,21.5,21.5,21.5,21.5,300.0
66,2020/10/27 10:24:00,21.8,21.8,21.8,21.8,1.0
67,2020/10/27 10:27:00,21.5,21.5,21.5,21.5,1.0
68,2020/10/27 11:00:00,21.8,21.8,21.8,21.8,1.0
69,2020/10/27 11:01:00,21.5,21.5,21.5,21.5,1.0
70,2020/10/27 11:49:00,21.5,21.5,21.5,21.5,10.0
71,2020/10/27 12:33:00,21.8,21.8,21.8,21.8,70.0
72,2020/10/27 12:34:00,21.5,21.5,21.5,21.5,5.0
73,2020/10/27 12:58:00,21.8,21.8,21.8,21.8,5.0
74,2020/10/27 13:02:00,21.5,21.5,21.5,21.5,200.0
75,2020/10/27 13:15:00,21.5,21.5,21.5,21.5,260.0
76,2020/10/27 13:31:00,21.45,21.45,21.45,21.45,1000.0
77,2020/10/27 15:01:00,21.5,21.5,21.5,21.5,199.0
78,2020/10/27 15:05:00,21.5,21.5,21.5,21.5,200.0
79,2020/10/28 09:18:00,21.15,21.15,21.15,21.15,2.0
80,2020/10/28 09:27:00,21.95,21.95,21.95,21.95,10.0
81,2020/10/28 09:33:00,21.95,21.95,21.95,21.95,4.0
82,2020/10/28 09:56:00,21.4,21.4,21.4,21.4,8.0
83,2020/10/28 10:11:00,21.4,21.4,21.4,21.4,35.0
84,2020/10/28 10:16:00,21.4,21.4,21.4,21.4,4.0
85,2020/10/28 10:18:00,21.5,21.5,21.5,21.5,2.0
86,2020/10/28 10:50:00,21.4,21.4,21.4,21.4,50.0
87,2020/10/28 11:15:00,21.4,21.4,21.4,21.4,2.0
88,2020/10/28 12:14:00,23.45,23.45,23.45,23.45,1522.0
89,2020/10/28 12:15:00,21.55,21.55,21.55,21.55,500.0
90,2020/10/28 12:30:00,21.9,21.9,21.9,21.9,14.0
91,2020/10/28 12:40:00,21.7,21.7,21.7,21.7,100.0
92,2020/10/28 12:57:00,21.65,21.65,21.65,21.65,10.0
93,2020/10/28 13:04:00,21.7,21.7,21.7,21.7,20.0
94,2020/10/28 13:28:00,21.65,21.65,21.65,21.65,76.0
95,2020/10/28 13:39:00,21.7,21.7,21.7,21.7,1.0
96,2020/10/28 14:40:00,22.05,22.05,22.05,22.05,2.0
97,2020/10/28 14:45:00,21.5,21.5,21.5,21.5,286.0
98,2020/10/28 14:46:00,21.5,21.5,21.5,21.5,2.0
99,2020/10/28 15:19:00,22.0,22.0,22.0,22.0,169.0
100,2020/10/29 09:07:00,22.4,22.4,22.4,22.4,1.0
101,2020/10/29 09:15:00,22.4,22.4,22.4,22.4,0.0
102,2020/10/29 09:19:00,21.45,21.45,21.45,21.45,15.0
103,2020/10/29 11:44:00,21.55,21.55,21.55,21.55,5.0
104,2020/10/29 12:27:00,21.55,21.55,21.55,21.55,300.0
105,2020/10/29 12:29:00,21.5,21.5,21.5,21.5,2.0
106,2020/10/29 12:38:00,21.5,21.5,21.5,21.5,15.0
107,2020/10/29 12:46:00,21.5,21.5,21.5,21.5,50.0
108,2020/10/29 13:23:00,21.9,21.9,21.9,21.9,250.0
109,2020/10/29 14:11:00,21.8,21.8,21.8,21.8,1.0
110,2020/10/29 14:20:00,21.5,21.5,21.5,21.5,1.0
111,2020/10/29 14:25:00,21.75,21.75,21.75,21.75,10.0
112,2020/10/29 14:33:00,21.65,21.65,21.5,21.5,4.0
113,2020/10/29 14:53:00,21.5,21.5,21.5,21.5,151.0
114,2020/10/29 14:54:00,21.5,21.5,21.5,21.5,1.0
115,2020/10/29 14:55:00,21.45,21.45,21.45,21.45,588.0
116,2020/10/29 15:07:00,21.65,21.65,21.65,21.65,1.0
117,2020/10/30 11:40:00,21.9,21.9,21.9,21.9,5.0
118,2020/10/30 11:55:00,21.3,21.3,21.3,21.3,5.0
119,2020/10/30 12:20:00,21.95,21.95,21.95,21.95,50.0
120,2020/10/30 12:36:00,21.9,21.9,21.9,21.9,4.0
121,2020/10/30 12:44:00,21.0,21.0,21.0,21.0,20.0
122,2020/10/30 13:02:00,21.1,21.1,21.1,21.1,50.0
123,2020/10/30 13:14:00,21.1,21.1,21.1,21.1,1.0
124,2020/10/30 13:32:00,21.1,21.1,21.1,21.1,114.0
125,2020/10/30 13:35:00,21.45,21.45,21.45,21.45,3.0
126,2020/10/30 13:41:00,21.1,21.1,21.1,21.1,1.0
127,2020/10/30 15:02:00,20.6,20.6,20.6,20.6,300.0
128,2020/10/30 15:20:00,21.7,21.7,21.7,21.7,100.0
129,2020/10/30 15:22:00,20.85,20.85,20.85,20.85,148.0
130,2020/11/02 09:07:00,21.8,21.8,21.8,21.8,20.0
131,2020/11/02 09:15:00,21.8,21.8,21.8,21.8,0.0
132,2020/11/02 09:17:00,20.55,20.55,20.55,20.55,3.0
