index,date,open,high,low,close,volume
0,2013/06/24 11:22:00,5.05,5.05,5.05,5.05,19.0
1,2013/06/24 11:23:00,5.4,5.4,5.4,5.4,200.0
2,2013/06/24 14:13:00,5.1,5.1,5.1,5.1,600.0
3,2013/06/24 14:17:00,5.05,5.05,5.05,5.05,1000.0
4,2013/06/24 14:20:00,5.05,5.05,5.05,5.05,1.0
5,2013/06/24 14:43:00,5.1,5.1,5.1,5.1,200.0
6,2013/06/24 15:02:00,5.05,5.05,5.05,5.05,200.0
7,2013/06/24 15:15:00,5.05,5.05,5.05,5.05,680.0
8,2013/06/24 15:17:00,5.05,5.05,5.05,5.05,4000.0
9,2013/06/24 15:20:00,5.05,5.05,5.05,5.05,1000.0
10,2013/06/24 15:23:00,5.05,5.05,5.05,5.05,120.0
11,2013/06/25 10:21:00,5.05,5.05,5.05,5.05,200.0
12,2013/06/25 11:43:00,4.8,4.8,4.8,4.8,1175.0
13,2013/06/25 12:31:00,4.8,4.8,4.8,4.8,50.0
14,2013/06/25 12:54:00,4.8,4.8,4.8,4.8,100.0
15,2013/06/25 13:03:00,4.8,4.8,4.8,4.8,150.0
16,2013/06/25 13:20:00,4.8,4.8,4.8,4.8,5.0
17,2013/06/25 13:27:00,4.8,5.0,4.8,5.0,45.0
18,2013/06/25 13:28:00,5.05,5.05,5.05,5.05,50.0
19,2013/06/25 14:04:00,5.1,5.1,5.1,5.1,25.0
20,2013/06/25 15:01:00,5.15,5.15,5.15,5.15,25.0
21,2013/06/25 15:08:00,5.1,5.1,5.1,5.1,50.0
22,2013/06/25 15:29:00,4.85,4.85,4.85,4.85,500.0
23,2013/06/26 09:17:00,5.1,5.1,5.1,5.1,25.0
24,2013/06/26 09:25:00,5.1,5.1,5.1,5.1,75.0
25,2013/06/26 10:15:00,4.8,4.8,4.8,4.8,775.0
26,2013/06/26 10:42:00,5.1,5.1,5.1,5.1,100.0
27,2013/06/26 11:55:00,5.05,5.05,5.05,5.05,200.0
28,2013/06/26 12:02:00,5.1,5.1,5.1,5.1,50.0
29,2013/06/26 12:10:00,5.1,5.1,5.1,5.1,200.0
30,2013/06/26 12:29:00,5.1,5.1,5.1,5.1,1000.0
31,2013/06/26 14:59:00,4.85,5.05,4.85,5.05,260.0
32,2013/06/26 15:29:00,4.85,4.85,4.85,4.85,350.0
33,2013/06/27 09:31:00,4.75,4.75,4.75,4.75,200.0
34,2013/06/27 09:52:00,5.05,5.05,5.05,5.05,25.0
35,2013/06/27 10:09:00,5.05,5.05,5.05,5.05,725.0
36,2013/06/27 10:10:00,5.05,5.05,5.05,5.05,206.0
37,2013/06/27 11:34:00,5.05,5.05,5.05,5.05,175.0
38,2013/06/27 12:45:00,5.05,5.05,5.05,5.05,19.0
39,2013/06/27 14:12:00,5.05,5.05,5.05,5.05,81.0
40,2013/06/28 09:44:00,4.9,5.0,4.9,4.9,1000.0
41,2013/06/28 10:16:00,5.0,5.0,5.0,5.0,500.0
42,2013/06/28 10:43:00,5.2,5.2,5.2,5.2,25.0
43,2013/06/28 10:48:00,5.05,5.05,5.05,5.05,500.0
44,2013/06/28 10:56:00,5.2,5.2,5.2,5.2,1.0
45,2013/06/28 11:06:00,5.05,5.05,5.05,5.05,500.0
46,2013/06/28 11:12:00,5.2,5.2,5.2,5.2,25.0
47,2013/06/28 13:54:00,5.2,5.2,5.2,5.2,200.0
48,2013/06/28 14:25:00,5.15,5.15,5.15,5.15,400.0
49,2013/06/28 14:37:00,5.2,5.2,5.2,5.2,749.0
50,2013/06/28 14:40:00,5.25,5.25,5.25,5.25,551.0
51,2013/06/28 14:41:00,5.25,5.25,5.25,5.25,200.0
52,2013/06/28 14:42:00,5.25,5.25,5.25,5.25,74.0
53,2013/06/28 14:56:00,5.3,5.3,5.3,5.3,100.0
54,2013/06/28 15:25:00,5.25,5.25,5.25,5.25,151.0
55,2013/06/28 15:29:00,5.1,5.1,5.1,5.1,169.0
56,2013/07/01 09:40:00,5.05,5.05,5.05,5.05,185.0
57,2013/07/01 09:55:00,5.15,5.15,5.15,5.15,250.0
58,2013/07/01 10:07:00,5.3,5.3,5.3,5.3,300.0
59,2013/07/01 10:47:00,5.15,5.15,5.1,5.1,450.0
60,2013/07/01 12:18:00,5.35,5.35,5.35,5.35,25.0
61,2013/07/01 12:51:00,5.35,5.35,5.35,5.35,1860.0
62,2013/07/01 12:53:00,5.4,5.4,5.4,5.4,390.0
63,2013/07/01 12:54:00,5.4,5.4,5.4,5.4,510.0
64,2013/07/01 12:55:00,5.4,5.4,5.35,5.35,425.0
65,2013/07/01 13:00:00,5.35,5.35,5.35,5.35,315.0
66,2013/07/01 14:01:00,5.3,5.3,5.3,5.3,2.0
67,2013/07/01 14:16:00,5.3,5.35,5.3,5.35,65.0
68,2013/07/01 14:17:00,5.4,5.4,5.4,5.4,130.0
69,2013/07/01 14:18:00,5.4,5.4,5.4,5.4,25.0
70,2013/07/01 14:34:00,5.3,5.3,5.2,5.2,330.0
71,2013/07/01 15:03:00,5.4,5.4,5.4,5.4,50.0
72,2013/07/01 15:18:00,5.4,5.4,5.4,5.4,772.0
73,2013/07/01 15:19:00,5.4,5.4,5.4,5.4,228.0
74,2013/07/02 10:27:00,5.65,5.65,5.65,5.65,25.0
75,2013/07/02 11:24:00,5.4,5.4,5.35,5.35,100.0
76,2013/07/02 12:03:00,5.35,5.35,5.35,5.35,625.0
77,2013/07/02 12:04:00,5.35,5.35,5.35,5.35,375.0
78,2013/07/02 12:07:00,5.35,5.35,5.35,5.35,10.0
79,2013/07/02 12:16:00,5.35,5.35,5.35,5.35,490.0
80,2013/07/02 12:33:00,5.55,5.55,5.55,5.55,25.0
81,2013/07/02 15:12:00,5.35,5.35,5.35,5.35,58.0
82,2013/07/02 15:14:00,5.5,5.5,5.5,5.5,58.0
83,2013/07/02 15:29:00,5.5,5.5,5.5,5.5,1107.0
84,2013/07/03 09:51:00,5.75,5.75,5.75,5.75,25.0
