index,date,open,high,low,close,volume
0,2020/11/04 14:07:00,80.0,80.0,80.0,80.0,40.0
1,2020/11/04 14:12:00,80.0,80.0,80.0,80.0,100.0
2,2020/11/04 14:46:00,77.8,77.8,77.8,77.8,1.0
3,2020/11/04 14:48:00,77.8,77.8,77.8,77.8,10.0
4,2020/11/04 14:49:00,79.9,79.9,79.9,79.9,1.0
5,2020/11/04 14:53:00,80.0,80.0,80.0,80.0,1200.0
6,2020/11/04 15:07:00,77.8,77.8,77.8,77.8,18.0
7,2020/11/04 15:10:00,79.7,79.7,79.7,79.7,1.0
8,2020/11/04 15:21:00,78.15,79.2,78.15,79.2,19.0
9,2020/11/04 15:23:00,77.5,77.5,77.5,77.5,3793.0
10,2020/11/04 15:26:00,77.7,77.7,77.65,77.65,99.0
11,2020/11/04 15:27:00,78.5,78.5,78.5,78.5,2.0
12,2020/11/04 15:28:00,78.5,78.7,78.5,78.7,98.0
13,2020/11/04 15:29:00,79.9,79.9,79.9,79.9,1.0
14,2020/11/05 09:28:00,80.5,80.5,80.5,80.5,500.0
15,2020/11/05 09:29:00,80.6,80.6,80.6,80.6,500.0
16,2020/11/05 09:45:00,73.7,73.7,73.7,73.7,1902.0
17,2020/11/05 09:46:00,76.25,76.25,76.25,76.25,25.0
18,2020/11/05 09:47:00,76.7,80.6,76.7,80.6,4100.0
19,2020/11/05 09:48:00,74.0,80.3,74.0,80.3,4001.0
20,2020/11/05 09:51:00,78.45,78.45,78.45,78.45,100.0
21,2020/11/05 09:58:00,75.6,75.6,75.6,75.6,91.0
22,2020/11/05 09:59:00,78.0,78.0,78.0,78.0,172.0
23,2020/11/05 10:02:00,78.3,78.3,78.3,78.3,50.0
24,2020/11/05 10:03:00,78.3,78.3,78.3,78.3,100.0
25,2020/11/05 10:04:00,78.3,78.3,78.3,78.3,100.0
26,2020/11/05 10:05:00,78.5,78.5,78.5,78.5,100.0
27,2020/11/05 10:06:00,78.9,78.9,78.9,78.9,100.0
28,2020/11/05 10:08:00,79.0,79.0,79.0,79.0,100.0
29,2020/11/05 10:16:00,79.0,79.0,79.0,79.0,27.0
30,2020/11/05 10:22:00,78.3,78.3,78.3,78.3,10.0
31,2020/11/05 10:25:00,78.3,78.3,78.3,78.3,902.0
32,2020/11/05 10:29:00,78.35,78.35,78.35,78.35,100.0
33,2020/11/05 10:30:00,78.3,78.3,78.3,78.3,200.0
34,2020/11/05 10:35:00,79.0,79.0,79.0,79.0,250.0
35,2020/11/05 10:39:00,78.3,78.3,78.3,78.3,2466.0
36,2020/11/05 10:44:00,78.85,78.85,78.85,78.85,4.0
37,2020/11/05 10:46:00,78.85,78.85,78.85,78.85,1.0
38,2020/11/05 11:03:00,78.0,78.0,77.5,77.5,75.0
39,2020/11/05 11:07:00,78.0,78.75,78.0,78.75,200.0
40,2020/11/05 11:14:00,74.25,78.7,74.25,78.7,2001.0
41,2020/11/05 11:21:00,78.4,78.4,78.4,78.4,50.0
42,2020/11/05 11:23:00,78.3,78.3,78.3,78.3,1.0
43,2020/11/05 11:42:00,78.0,78.0,78.0,78.0,20.0
44,2020/11/05 12:25:00,77.7,77.7,77.7,77.7,60.0
45,2020/11/05 12:29:00,77.6,77.6,77.6,77.6,8.0
46,2020/11/05 12:42:00,77.0,77.0,77.0,77.0,50.0
47,2020/11/05 12:44:00,76.1,76.1,76.1,76.1,100.0
48,2020/11/05 12:48:00,76.9,76.9,76.9,76.9,25.0
49,2020/11/05 13:24:00,76.1,76.1,76.1,76.1,20.0
50,2020/11/05 13:33:00,76.0,76.0,76.0,76.0,1070.0
51,2020/11/05 13:40:00,76.05,76.05,76.05,76.05,1.0
52,2020/11/05 13:48:00,76.0,76.0,76.0,76.0,160.0
53,2020/11/05 13:54:00,76.55,76.55,76.55,76.55,3.0
54,2020/11/05 13:57:00,76.0,76.0,76.0,76.0,70.0
55,2020/11/05 13:58:00,75.8,75.8,75.8,75.8,50.0
56,2020/11/05 13:59:00,75.3,76.0,75.3,76.0,808.0
57,2020/11/05 14:01:00,76.0,76.0,76.0,76.0,52.0
58,2020/11/05 14:17:00,75.55,75.55,75.55,75.55,102.0
59,2020/11/05 14:18:00,75.2,75.2,75.05,75.05,392.0
60,2020/11/05 14:27:00,75.5,75.5,75.5,75.5,148.0
61,2020/11/05 14:29:00,76.35,76.35,76.35,76.35,100.0
62,2020/11/05 14:30:00,76.35,76.35,76.35,76.35,50.0
63,2020/11/05 14:41:00,76.25,76.25,76.25,76.25,1.0
64,2020/11/05 14:56:00,76.2,76.2,76.2,76.2,20.0
65,2020/11/05 15:00:00,76.2,76.2,75.55,75.55,30.0
66,2020/11/05 15:02:00,76.35,76.55,76.35,76.55,569.0
67,2020/11/05 15:03:00,76.55,76.55,76.55,76.55,150.0
68,2020/11/05 15:04:00,76.6,76.6,76.6,76.6,150.0
69,2020/11/05 15:05:00,76.8,76.8,75.5,75.5,1339.0
70,2020/11/05 15:08:00,77.0,77.0,77.0,77.0,50.0
71,2020/11/05 15:17:00,77.0,77.0,77.0,77.0,31.0
72,2020/11/05 15:18:00,77.0,77.0,77.0,77.0,400.0
73,2020/11/05 15:20:00,77.0,77.0,77.0,77.0,100.0
74,2020/11/05 15:22:00,77.0,77.0,77.0,77.0,269.0
75,2020/11/05 15:24:00,77.6,78.0,77.6,78.0,150.0
76,2020/11/06 09:16:00,77.5,77.5,77.5,77.5,3.0
77,2020/11/06 09:21:00,77.8,77.8,77.8,77.8,2.0
78,2020/11/06 09:22:00,77.8,77.8,77.8,77.8,50.0
79,2020/11/06 09:40:00,77.1,77.1,77.1,77.1,100.0
80,2020/11/06 09:53:00,77.1,77.1,77.1,77.1,52.0
81,2020/11/06 09:54:00,76.8,77.0,76.8,77.0,60.0
82,2020/11/06 10:01:00,77.0,77.0,77.0,77.0,19.0
83,2020/11/06 10:06:00,77.0,77.0,77.0,77.0,100.0
84,2020/11/06 10:08:00,76.8,76.8,76.8,76.8,50.0
85,2020/11/06 10:25:00,77.0,77.0,77.0,77.0,100.0
86,2020/11/06 10:30:00,77.0,77.0,77.0,77.0,450.0
87,2020/11/06 10:35:00,76.2,76.2,76.2,76.2,100.0
88,2020/11/06 10:42:00,76.2,76.2,76.2,76.2,10.0
89,2020/11/06 10:47:00,76.2,76.2,76.2,76.2,115.0
90,2020/11/06 10:49:00,76.0,76.0,76.0,76.0,100.0
91,2020/11/06 10:59:00,76.0,76.0,76.0,76.0,18.0
92,2020/11/06 11:00:00,76.0,76.0,76.0,76.0,22.0
93,2020/11/06 11:02:00,75.15,75.15,75.15,75.15,115.0
