index,date,open,high,low,close,volume
0,2020/04/20 14:46:00,91.1,91.1,90.0,90.0,1000.0
1,2020/04/20 15:01:00,89.15,89.15,89.15,89.15,1.0
2,2020/04/20 15:17:00,88.7,88.7,88.7,88.7,5.0
3,2020/04/20 15:21:00,89.2,89.2,89.2,89.2,1.0
4,2020/04/20 15:24:00,89.2,89.2,89.2,89.2,19.0
5,2020/04/20 15:28:00,89.8,89.8,89.8,89.8,12.0
6,2020/04/21 09:52:00,92.8,92.8,92.8,92.8,1.0
7,2020/04/21 12:18:00,87.0,87.0,87.0,87.0,50.0
8,2020/04/21 12:21:00,87.05,87.05,87.05,87.05,1.0
9,2020/04/21 12:40:00,87.0,87.0,87.0,87.0,1.0
10,2020/04/21 12:41:00,87.0,87.0,87.0,87.0,23.0
11,2020/04/21 13:22:00,87.0,87.0,87.0,87.0,177.0
12,2020/04/21 13:23:00,87.0,87.0,87.0,87.0,103.0
13,2020/04/21 13:55:00,86.2,86.2,86.2,86.2,50.0
14,2020/04/21 14:32:00,88.95,88.95,88.95,88.95,25.0
15,2020/04/21 15:26:00,86.4,86.4,86.35,86.35,110.0
16,2020/04/21 15:28:00,86.4,86.4,86.4,86.4,15.0
17,2020/04/22 10:52:00,86.4,86.4,86.4,86.4,100.0
18,2020/04/22 12:09:00,90.6,90.6,90.6,90.6,1.0
19,2020/04/22 12:16:00,85.05,85.05,85.05,85.05,1.0
20,2020/04/22 12:35:00,90.0,90.0,90.0,90.0,3.0
21,2020/04/22 12:51:00,89.95,89.95,89.95,89.95,20.0
22,2020/04/22 13:54:00,89.85,89.85,89.85,89.85,1.0
23,2020/04/22 15:09:00,85.25,85.25,85.25,85.25,20.0
24,2020/04/22 15:18:00,89.85,89.85,89.85,89.85,3.0
25,2020/04/23 12:01:00,86.25,86.25,86.25,86.25,25.0
26,2020/04/23 12:12:00,91.1,91.1,91.1,91.1,32.0
27,2020/04/23 12:13:00,86.3,86.3,86.3,86.3,32.0
28,2020/04/23 12:28:00,91.0,91.0,91.0,91.0,5.0
29,2020/04/23 12:59:00,90.85,90.85,90.85,90.85,20.0
30,2020/04/23 13:33:00,89.95,89.95,89.95,89.95,5.0
31,2020/04/23 14:01:00,86.6,86.6,86.6,86.6,4.0
32,2020/04/23 14:40:00,87.5,87.5,87.5,87.5,134.0
33,2020/04/23 15:21:00,88.5,88.5,88.5,88.5,32.0
34,2020/04/23 15:26:00,87.25,87.25,87.25,87.25,1.0
35,2020/04/23 15:28:00,87.25,87.25,86.4,86.4,138.0
36,2020/04/24 09:07:00,93.85,93.85,93.85,93.85,7.0
37,2020/04/24 09:15:00,93.85,93.85,93.85,93.85,0.0
38,2020/04/24 09:41:00,91.8,91.8,91.8,91.8,10.0
39,2020/04/24 10:09:00,90.0,90.0,90.0,90.0,100.0
40,2020/04/24 10:43:00,90.9,90.9,90.9,90.9,2.0
41,2020/04/24 12:30:00,88.0,88.0,88.0,88.0,1.0
42,2020/04/24 13:23:00,88.05,88.05,88.05,88.05,1.0
43,2020/04/24 14:14:00,88.0,88.0,88.0,88.0,17.0
44,2020/04/24 14:15:00,87.1,87.1,87.1,87.1,20.0
45,2020/04/24 14:32:00,88.0,88.0,88.0,88.0,764.0
46,2020/04/24 14:33:00,88.0,88.0,88.0,88.0,236.0
47,2020/04/24 14:55:00,90.95,90.95,90.95,90.95,20.0
48,2020/04/27 09:17:00,92.0,92.0,92.0,92.0,25.0
49,2020/04/27 10:20:00,90.0,90.0,90.0,90.0,5.0
50,2020/04/27 10:54:00,90.95,90.95,90.95,90.95,8.0
51,2020/04/27 11:29:00,86.6,86.6,86.6,86.6,5.0
52,2020/04/27 12:07:00,86.65,86.65,86.65,86.65,5.0
53,2020/04/27 12:27:00,90.85,90.85,90.85,90.85,9.0
54,2020/04/27 12:28:00,87.0,87.0,87.0,87.0,9.0
55,2020/04/27 13:25:00,90.0,90.0,90.0,90.0,1.0
56,2020/04/27 13:30:00,90.0,90.0,90.0,90.0,5.0
57,2020/04/27 13:37:00,90.0,90.0,90.0,90.0,4.0
58,2020/04/27 13:54:00,90.95,90.95,90.95,90.95,1.0
59,2020/04/27 15:26:00,87.3,87.3,87.0,87.0,2.0
60,2020/04/27 15:29:00,89.0,89.0,89.0,89.0,29.0
61,2020/04/28 09:16:00,97.75,97.75,97.75,97.75,23.0
62,2020/04/28 09:23:00,85.1,85.1,85.1,85.1,23.0
63,2020/04/28 09:35:00,90.0,90.0,90.0,90.0,2.0
64,2020/04/28 11:32:00,87.0,87.0,87.0,87.0,2.0
65,2020/04/28 11:34:00,87.0,87.0,87.0,87.0,3.0
66,2020/04/28 11:53:00,89.0,89.0,89.0,89.0,15.0
67,2020/04/28 12:04:00,89.0,89.0,89.0,89.0,50.0
68,2020/04/28 12:25:00,86.3,86.3,86.3,86.3,17.0
69,2020/04/28 13:07:00,89.95,89.95,89.95,89.95,20.0
70,2020/04/28 13:24:00,86.4,86.4,86.4,86.4,18.0
71,2020/04/28 14:42:00,88.15,88.15,88.15,88.15,2.0
72,2020/04/28 14:43:00,88.0,88.0,88.0,88.0,6.0
73,2020/04/28 14:45:00,89.95,89.95,89.95,89.95,22.0
74,2020/04/28 14:46:00,89.95,89.95,89.95,89.95,10.0
75,2020/04/28 15:28:00,89.95,89.95,89.95,89.95,27.0
76,2020/04/29 10:52:00,89.95,89.95,89.95,89.95,50.0
77,2020/04/29 10:56:00,89.95,89.95,89.95,89.95,1.0
78,2020/04/29 11:07:00,89.95,89.95,88.0,88.0,31.0
79,2020/04/29 11:13:00,89.95,89.95,89.95,89.95,2.0
80,2020/04/29 12:06:00,85.25,85.25,85.25,85.25,30.0
81,2020/04/29 12:25:00,89.95,89.95,89.95,89.95,10.0
82,2020/04/29 12:26:00,86.25,86.25,86.25,86.25,10.0
83,2020/04/29 12:49:00,89.95,89.95,89.95,89.95,50.0
84,2020/04/29 13:12:00,86.5,86.5,86.5,86.5,46.0
85,2020/04/29 13:41:00,89.9,89.9,89.9,89.9,10.0
86,2020/04/29 13:43:00,86.55,86.55,86.55,86.55,20.0
87,2020/04/29 13:53:00,87.05,87.05,87.05,87.05,10.0
88,2020/04/29 14:01:00,86.6,86.6,86.6,86.6,2.0
89,2020/04/29 14:11:00,89.9,89.9,89.9,89.9,1.0
90,2020/04/29 14:13:00,86.6,86.6,86.6,86.6,1.0
91,2020/04/29 14:21:00,89.9,89.9,89.9,89.9,6.0
92,2020/04/29 14:33:00,89.95,89.95,89.95,89.95,100.0
93,2020/04/29 15:25:00,89.95,89.95,89.95,89.95,91.0
94,2020/04/29 15:28:00,89.8,89.8,89.8,89.8,1.0
95,2020/04/29 15:29:00,89.8,89.8,89.8,89.8,24.0
96,2020/04/30 09:41:00,89.8,89.8,89.8,89.8,27.0
97,2020/04/30 09:51:00,90.1,90.1,90.1,90.1,50.0
98,2020/04/30 10:01:00,94.95,94.95,94.95,94.95,1.0
99,2020/04/30 10:03:00,93.95,93.95,93.95,93.95,3.0
100,2020/04/30 10:11:00,90.3,90.3,90.3,90.3,1.0
101,2020/04/30 10:26:00,89.8,89.8,89.8,89.8,150.0
102,2020/04/30 10:40:00,88.0,88.0,88.0,88.0,70.0
103,2020/04/30 11:03:00,92.9,92.9,92.9,92.9,5.0
104,2020/04/30 11:28:00,87.5,87.5,87.5,87.5,10.0
105,2020/04/30 12:00:00,89.0,89.0,89.0,89.0,200.0
106,2020/04/30 12:07:00,89.0,89.0,89.0,89.0,100.0
107,2020/04/30 13:22:00,90.95,90.95,90.95,90.95,10.0
108,2020/04/30 13:26:00,89.05,89.05,89.05,89.05,1.0
109,2020/04/30 14:13:00,90.9,90.9,90.9,90.9,5.0
110,2020/04/30 14:26:00,90.9,90.9,90.9,90.9,50.0
111,2020/04/30 14:42:00,90.8,90.8,90.8,90.8,30.0
112,2020/04/30 15:03:00,88.25,88.25,88.25,88.25,99.0
113,2020/04/30 15:13:00,89.95,89.95,89.95,89.95,10.0
114,2020/04/30 15:25:00,89.85,89.85,89.85,89.85,215.0
115,2020/04/30 15:29:00,88.0,88.0,87.7,87.7,14.0
116,2020/05/04 09:20:00,86.0,86.0,86.0,86.0,5.0
117,2020/05/04 09:24:00,82.95,82.95,82.95,82.95,50.0
118,2020/05/04 09:25:00,82.55,82.55,82.5,82.5,801.0
119,2020/05/04 09:35:00,84.0,84.0,84.0,84.0,30.0
120,2020/05/04 09:39:00,83.0,83.0,83.0,83.0,100.0
121,2020/05/04 09:45:00,83.8,83.8,83.8,83.8,101.0
122,2020/05/04 09:56:00,83.0,83.0,83.0,83.0,10.0
123,2020/05/04 10:00:00,82.5,82.5,82.5,82.5,51.0
124,2020/05/04 10:01:00,82.0,82.0,82.0,82.0,39.0
125,2020/05/04 10:17:00,83.5,83.5,83.5,83.5,100.0
126,2020/05/04 10:19:00,83.75,83.75,83.75,83.75,100.0
127,2020/05/04 10:38:00,82.55,82.55,82.55,82.55,1.0
128,2020/05/04 11:06:00,83.75,83.75,83.75,83.75,1.0
129,2020/05/04 11:21:00,82.8,82.8,82.8,82.8,1.0
130,2020/05/04 11:46:00,82.75,82.75,82.75,82.75,45.0
131,2020/05/04 12:02:00,83.75,83.75,83.75,83.75,10.0
132,2020/05/04 12:16:00,82.05,82.05,82.05,82.05,32.0
133,2020/05/04 12:19:00,83.75,83.75,83.75,83.75,70.0
134,2020/05/04 12:24:00,83.75,83.75,83.75,83.75,32.0
135,2020/05/04 13:03:00,82.2,82.2,82.2,82.2,150.0
136,2020/05/04 13:06:00,83.8,83.8,83.8,83.8,1.0
137,2020/05/04 15:09:00,83.45,83.45,83.45,83.45,200.0
138,2020/05/04 15:25:00,83.75,83.75,83.75,83.75,1.0
139,2020/05/05 09:26:00,84.0,84.0,84.0,84.0,100.0
140,2020/05/05 09:36:00,84.05,84.05,84.0,84.0,130.0
141,2020/05/05 09:39:00,86.95,86.95,86.95,86.95,500.0
142,2020/05/05 09:40:00,87.0,87.0,87.0,87.0,500.0
143,2020/05/05 10:32:00,86.9,86.9,86.9,86.9,2.0
144,2020/05/05 10:33:00,84.5,84.5,84.5,84.5,30.0
145,2020/05/05 10:44:00,84.5,84.5,84.5,84.5,50.0
146,2020/05/05 11:06:00,83.55,83.55,83.55,83.55,1.0
147,2020/05/05 11:50:00,85.95,85.95,85.95,85.95,1.0
148,2020/05/05 11:56:00,86.15,86.15,86.15,86.15,10.0
149,2020/05/05 13:26:00,84.05,84.05,84.05,84.05,70.0
150,2020/05/05 13:32:00,82.65,82.65,82.65,82.65,28.0
151,2020/05/05 13:50:00,86.1,86.1,86.1,86.1,1.0
152,2020/05/05 14:14:00,82.8,82.8,82.8,82.8,10.0
153,2020/05/05 14:29:00,85.4,85.4,85.4,85.4,5.0
154,2020/05/05 14:58:00,83.55,83.55,83.55,83.55,2.0
155,2020/05/05 15:07:00,85.4,85.4,85.4,85.4,1.0
156,2020/05/06 09:28:00,84.4,84.4,84.4,84.4,5.0
157,2020/05/06 09:37:00,85.1,85.1,85.1,85.1,10.0
158,2020/05/06 13:11:00,84.0,84.0,84.0,84.0,3.0
159,2020/05/06 14:21:00,86.95,86.95,86.95,86.95,1.0
160,2020/05/07 09:29:00,82.1,82.1,82.1,82.1,100.0
161,2020/05/07 10:01:00,88.95,88.95,88.95,88.95,5.0
162,2020/05/07 10:29:00,88.8,88.8,88.8,88.8,27.0
163,2020/05/07 11:11:00,88.8,88.8,88.8,88.8,1.0
164,2020/05/07 12:44:00,85.25,85.25,85.25,85.25,27.0
165,2020/05/07 13:04:00,87.95,87.95,87.95,87.95,10.0
166,2020/05/07 13:07:00,85.25,85.25,85.25,85.25,173.0
167,2020/05/07 13:08:00,85.0,87.95,85.0,87.95,317.0
168,2020/05/07 13:09:00,84.95,84.95,84.95,84.95,271.0
169,2020/05/07 13:27:00,84.95,84.95,84.95,84.95,4.0
170,2020/05/07 13:29:00,84.95,84.95,84.95,84.95,100.0
171,2020/05/07 13:48:00,83.5,83.5,83.5,83.5,25.0
172,2020/05/07 13:51:00,83.4,83.4,83.4,83.4,77.0
173,2020/05/07 13:52:00,82.65,82.65,82.65,82.65,15.0
174,2020/05/07 13:53:00,82.65,82.65,82.65,82.65,1.0
175,2020/05/07 14:04:00,82.7,82.7,82.7,82.7,1.0
176,2020/05/07 14:13:00,83.25,83.25,83.25,83.25,7.0
177,2020/05/07 14:24:00,87.5,87.5,87.5,87.5,1.0
178,2020/05/07 14:28:00,86.0,86.0,86.0,86.0,1.0
179,2020/05/08 11:28:00,86.0,86.0,86.0,86.0,1.0
180,2020/05/08 12:02:00,82.8,82.8,82.8,82.8,30.0
181,2020/05/08 14:03:00,87.6,87.6,87.6,87.6,10.0
182,2020/05/08 14:11:00,83.1,83.1,83.1,83.1,10.0
183,2020/05/08 14:50:00,83.1,83.1,83.1,83.1,54.0
184,2020/05/08 14:55:00,87.5,87.5,87.5,87.5,50.0
185,2020/05/08 15:20:00,87.5,87.5,87.5,87.5,1.0
186,2020/05/08 15:24:00,83.05,83.3,83.05,83.3,2.0
187,2020/05/08 15:27:00,83.45,83.45,83.45,83.45,54.0
188,2020/05/11 09:35:00,83.0,83.0,83.0,83.0,13.0
189,2020/05/11 09:41:00,88.7,88.7,88.7,88.7,10.0
190,2020/05/11 09:43:00,88.2,88.2,88.2,88.2,4.0
191,2020/05/11 09:50:00,85.0,85.0,85.0,85.0,16.0
192,2020/05/11 10:23:00,87.65,87.65,87.65,87.65,1.0
193,2020/05/11 11:24:00,84.0,84.0,84.0,84.0,1.0
194,2020/05/11 11:25:00,86.75,86.75,86.75,86.75,1.0
195,2020/05/11 13:31:00,86.7,86.7,86.7,86.7,5.0
196,2020/05/11 14:48:00,86.8,86.8,86.8,86.8,4.0
197,2020/05/11 14:57:00,87.0,87.0,87.0,87.0,1000.0
198,2020/05/11 15:19:00,86.95,86.95,86.95,86.95,17.0
199,2020/05/11 15:21:00,84.25,84.25,84.0,84.0,17.0
200,2020/05/12 10:22:00,87.6,87.6,87.6,87.6,1.0
201,2020/05/12 10:34:00,81.6,81.6,81.6,81.6,277.0
202,2020/05/12 10:35:00,81.6,81.6,81.6,81.6,163.0
203,2020/05/12 15:20:00,85.9,85.9,85.9,85.9,5.0
204,2020/05/13 09:15:00,93.95,93.95,93.95,93.95,10.0
205,2020/05/13 09:21:00,91.0,91.0,91.0,91.0,10.0
206,2020/05/13 09:22:00,81.65,81.65,81.65,81.65,5.0
207,2020/05/13 09:46:00,89.0,89.0,89.0,89.0,1.0
208,2020/05/13 09:53:00,83.1,83.1,83.1,83.1,4.0
209,2020/05/13 10:32:00,84.1,84.1,84.1,84.1,50.0
210,2020/05/13 10:43:00,84.1,84.1,84.1,84.1,2.0
211,2020/05/13 11:29:00,84.5,84.5,84.5,84.5,4.0
212,2020/05/13 12:03:00,87.8,87.8,87.8,87.8,50.0
213,2020/05/13 13:20:00,85.05,85.05,85.05,85.05,58.0
214,2020/05/13 14:02:00,87.7,87.7,87.7,87.7,1.0
215,2020/05/13 14:03:00,87.7,87.7,87.7,87.7,7.0
216,2020/05/13 14:46:00,85.1,85.1,85.1,85.1,2.0
217,2020/05/13 14:57:00,87.7,87.7,87.7,87.7,50.0
218,2020/05/13 15:21:00,85.1,85.1,85.1,85.1,3.0
219,2020/05/13 15:26:00,87.45,87.45,87.45,87.45,21.0
220,2020/05/14 09:15:00,87.45,87.45,87.45,87.45,40.0
221,2020/05/14 09:18:00,79.0,79.0,79.0,79.0,21.0
222,2020/05/14 09:22:00,88.0,88.0,88.0,88.0,100.0
223,2020/05/14 09:42:00,87.5,87.5,87.5,87.5,3.0
224,2020/05/14 11:09:00,86.5,86.5,86.5,86.5,100.0
225,2020/05/14 11:58:00,86.9,86.9,86.9,86.9,4.0
226,2020/05/14 12:52:00,86.0,86.0,86.0,86.0,1.0
227,2020/05/14 13:12:00,86.95,86.95,86.95,86.95,5.0
228,2020/05/14 13:32:00,86.95,86.95,86.95,86.95,25.0
229,2020/05/14 13:59:00,86.0,86.0,86.0,86.0,4.0
230,2020/05/14 14:09:00,85.5,85.5,85.5,85.5,5.0
231,2020/05/14 14:11:00,85.5,85.5,85.5,85.5,5.0
232,2020/05/14 14:18:00,84.5,84.5,84.5,84.5,90.0
233,2020/05/14 14:47:00,84.3,84.3,84.3,84.3,10.0
234,2020/05/14 15:29:00,86.85,86.85,86.85,86.85,25.0
235,2020/05/14 15:42:00,86.85,86.85,86.85,86.85,9.0
236,2020/05/15 09:29:00,81.4,81.4,81.4,81.4,5.0
237,2020/05/15 10:33:00,85.5,85.5,85.5,85.5,10.0
238,2020/05/15 11:42:00,83.1,83.1,83.1,83.1,38.0
239,2020/05/15 13:54:00,85.45,85.45,85.45,85.45,4.0
240,2020/05/15 14:40:00,85.45,85.45,85.45,85.45,1.0
241,2020/05/15 14:45:00,85.45,85.45,85.45,85.45,1.0
242,2020/05/15 14:54:00,83.65,83.65,83.65,83.65,1.0
243,2020/05/15 15:16:00,83.6,86.9,83.0,83.0,1242.0
244,2020/05/15 15:18:00,82.6,82.6,82.6,82.6,141.0
245,2020/05/15 15:28:00,82.0,82.0,82.0,82.0,141.0
246,2020/05/15 15:42:00,83.55,83.55,83.55,83.55,1.0
247,2020/05/18 11:13:00,82.0,82.0,82.0,82.0,3.0
