index,date,open,high,low,close,volume
0,2020/10/19 15:20:00,90.5,90.5,90.5,90.5,1.0
1,2020/10/19 15:22:00,91.0,91.0,91.0,91.0,7.0
2,2020/10/19 15:23:00,91.0,91.0,91.0,91.0,17.0
3,2020/10/19 15:24:00,91.0,91.0,91.0,91.0,9.0
4,2020/10/19 15:25:00,91.0,91.0,91.0,91.0,4.0
5,2020/10/19 15:27:00,91.0,91.0,91.0,91.0,12.0
6,2020/10/19 15:28:00,91.45,91.45,91.45,91.45,129.0
7,2020/10/19 15:29:00,91.65,91.65,91.65,91.65,222.0
8,2020/10/20 09:17:00,92.25,92.25,92.0,92.0,210.0
9,2020/10/20 09:44:00,91.3,91.3,91.3,91.3,25.0
10,2020/10/20 09:46:00,91.7,91.7,91.7,91.7,76.0
11,2020/10/20 09:57:00,91.5,91.5,91.5,91.5,200.0
12,2020/10/20 10:02:00,91.8,91.8,91.8,91.8,10.0
13,2020/10/20 10:03:00,91.5,91.5,91.5,91.5,2.0
14,2020/10/20 10:44:00,91.0,91.0,90.6,90.6,39.0
15,2020/10/20 10:54:00,90.05,90.05,90.05,90.05,25.0
16,2020/10/20 11:13:00,91.35,91.35,91.35,91.35,13.0
17,2020/10/20 13:35:00,90.25,90.25,90.25,90.25,24.0
18,2020/10/20 13:36:00,90.25,90.25,90.25,90.25,18.0
19,2020/10/20 14:41:00,90.3,90.3,90.3,90.3,200.0
20,2020/10/20 14:44:00,91.2,91.2,91.2,91.2,50.0
21,2020/10/20 15:01:00,90.95,90.95,90.95,90.95,50.0
22,2020/10/20 15:03:00,90.95,90.95,90.95,90.95,15.0
23,2020/10/20 15:23:00,89.55,89.95,89.55,89.95,71.0
24,2020/10/20 15:28:00,90.9,90.9,90.9,90.9,82.0
25,2020/10/20 15:29:00,90.0,90.0,90.0,90.0,18.0
26,2020/10/21 09:19:00,88.15,88.15,88.15,88.15,76.0
27,2020/10/21 09:26:00,92.2,92.2,92.2,92.2,100.0
28,2020/10/21 09:50:00,89.05,89.05,89.05,89.05,1.0
29,2020/10/21 10:09:00,91.45,91.45,91.45,91.45,5.0
30,2020/10/21 10:15:00,91.45,91.45,91.45,91.45,100.0
31,2020/10/21 10:22:00,90.15,90.15,90.15,90.15,110.0
32,2020/10/21 10:48:00,90.25,90.25,90.25,90.25,4.0
33,2020/10/21 12:19:00,91.4,91.4,91.4,91.4,22.0
34,2020/10/21 12:30:00,91.4,91.4,91.4,91.4,36.0
35,2020/10/21 12:41:00,90.5,90.55,89.6,89.6,310.0
36,2020/10/21 12:42:00,89.15,92.0,89.15,92.0,1901.0
37,2020/10/21 12:48:00,89.15,89.15,89.15,89.15,1.0
38,2020/10/21 12:50:00,91.65,91.65,91.65,91.65,62.0
39,2020/10/21 12:55:00,91.65,91.65,91.65,91.65,1.0
40,2020/10/21 13:01:00,90.05,90.05,90.05,90.05,50.0
41,2020/10/21 13:07:00,91.6,91.6,91.6,91.6,2.0
42,2020/10/21 13:09:00,90.1,90.1,90.1,90.1,20.0
43,2020/10/21 14:09:00,91.05,91.05,91.05,91.05,1.0
44,2020/10/21 14:16:00,90.05,90.05,90.05,90.05,23.0
45,2020/10/21 15:04:00,90.05,90.05,90.05,90.05,30.0
46,2020/10/21 15:08:00,90.5,90.5,90.5,90.5,108.0
47,2020/10/21 15:11:00,90.5,90.5,90.5,90.5,16.0
48,2020/10/21 15:13:00,90.05,90.05,90.05,90.05,1.0
49,2020/10/21 15:15:00,90.8,90.8,90.8,90.8,100.0
50,2020/10/21 15:25:00,91.0,91.0,91.0,91.0,30.0
51,2020/10/21 15:26:00,91.0,91.0,91.0,91.0,105.0
52,2020/10/21 15:27:00,91.0,91.5,91.0,91.5,80.0
53,2020/10/21 15:28:00,91.5,91.5,91.5,91.5,16.0
54,2020/10/21 15:29:00,91.5,91.5,91.5,91.5,70.0
55,2020/10/22 10:09:00,91.35,91.35,91.35,91.35,50.0
56,2020/10/22 11:55:00,91.0,91.0,91.0,91.0,102.0
57,2020/10/22 14:04:00,90.55,90.55,90.55,90.55,10.0
58,2020/10/22 14:05:00,90.6,91.0,90.3,91.0,121.0
59,2020/10/22 14:21:00,91.0,91.0,91.0,91.0,335.0
60,2020/10/22 14:22:00,91.0,91.0,91.0,91.0,546.0
61,2020/10/22 14:23:00,91.35,91.4,91.35,91.4,133.0
62,2020/10/22 14:28:00,91.4,91.4,91.4,91.4,67.0
63,2020/10/22 14:30:00,91.3,91.3,90.0,90.05,2356.0
64,2020/10/22 14:31:00,90.95,90.95,90.95,90.95,6.0
65,2020/10/22 15:11:00,91.55,91.55,91.55,91.55,45.0
66,2020/10/22 15:46:00,91.55,91.55,91.55,91.55,54.0
67,2020/10/23 09:52:00,90.55,90.55,90.55,90.55,12.0
68,2020/10/23 09:53:00,90.0,90.0,90.0,90.0,13.0
69,2020/10/23 09:55:00,90.0,90.0,90.0,90.0,10.0
70,2020/10/23 11:59:00,91.9,91.9,91.9,91.9,50.0
71,2020/10/23 12:18:00,91.35,91.35,91.35,91.35,10.0
72,2020/10/23 12:46:00,91.3,91.3,91.3,91.3,7.0
73,2020/10/23 12:48:00,91.0,91.0,91.0,91.0,1.0
74,2020/10/23 12:49:00,90.55,90.55,90.55,90.55,8.0
75,2020/10/23 13:18:00,91.0,91.0,91.0,91.0,1.0
76,2020/10/23 13:19:00,91.0,91.0,91.0,91.0,10.0
77,2020/10/23 13:31:00,90.15,90.15,90.15,90.15,100.0
78,2020/10/23 14:10:00,90.1,90.1,90.1,90.1,150.0
79,2020/10/23 14:23:00,90.95,90.95,90.95,90.95,5.0
80,2020/10/23 14:31:00,90.2,90.2,90.2,90.2,3.0
81,2020/10/23 14:32:00,90.95,90.95,90.95,90.95,3.0
82,2020/10/23 14:35:00,90.2,90.2,90.2,90.2,12.0
83,2020/10/23 14:44:00,90.95,90.95,90.95,90.95,22.0
84,2020/10/23 14:46:00,90.95,90.95,90.95,90.95,3.0
85,2020/10/23 15:02:00,90.3,90.3,90.3,90.3,10.0
86,2020/10/23 15:03:00,90.0,90.0,89.95,90.0,759.0
87,2020/10/23 15:04:00,89.95,89.95,89.95,89.95,193.0
