index,date,open,high,low,close,volume
0,2017/12/12 09:15:00,30.4,31.4,30.4,30.8,225000.0
1,2017/12/12 09:16:00,30.6,30.72,30.48,30.72,25000.0
2,2017/12/12 09:17:00,31.48,31.6,30.44,30.44,55000.0
3,2017/12/12 09:18:00,30.44,30.48,30.44,30.44,60000.0
4,2017/12/12 09:19:00,30.48,30.48,30.44,30.44,10000.0
5,2017/12/12 09:20:00,30.4,30.4,30.4,30.4,25000.0
6,2017/12/12 09:21:00,30.4,30.4,30.4,30.4,15000.0
7,2017/12/12 09:22:00,30.4,30.4,30.4,30.4,25000.0
8,2017/12/12 09:23:00,30.4,30.4,30.4,30.4,5000.0
9,2017/12/12 09:24:00,30.4,30.64,30.4,30.64,15000.0
10,2017/12/12 09:25:00,30.68,30.68,30.68,30.68,5000.0
11,2017/12/12 09:26:00,30.44,30.78,30.44,30.78,10000.0
12,2017/12/12 09:27:00,30.56,30.56,30.42,30.42,15000.0
13,2017/12/12 09:29:00,30.42,30.42,30.0,30.0,25000.0
14,2017/12/12 09:31:00,30.12,30.12,30.12,30.12,5000.0
15,2017/12/12 09:32:00,30.02,30.34,30.02,30.32,15000.0
16,2017/12/12 09:33:00,30.38,30.4,30.38,30.4,10000.0
17,2017/12/12 09:35:00,30.14,30.4,30.02,30.02,20000.0
18,2017/12/12 09:36:00,30.02,30.2,30.0,30.0,15000.0
19,2017/12/12 09:38:00,30.02,30.02,30.0,30.0,15000.0
20,2017/12/12 09:39:00,30.18,30.18,30.18,30.18,5000.0
21,2017/12/12 09:40:00,30.02,30.04,30.02,30.04,10000.0
22,2017/12/12 09:43:00,30.2,30.2,30.2,30.2,5000.0
23,2017/12/12 09:49:00,30.24,30.4,30.24,30.4,10000.0
24,2017/12/12 09:55:00,30.6,30.6,30.6,30.6,5000.0
25,2017/12/12 09:57:00,30.8,31.1,30.8,31.1,10000.0
26,2017/12/12 09:59:00,31.12,31.18,31.12,31.18,10000.0
27,2017/12/12 10:00:00,31.2,31.2,31.0,31.0,20000.0
28,2017/12/12 10:03:00,32.0,32.02,32.0,32.0,10000.0
29,2017/12/12 10:06:00,31.4,31.4,31.4,31.4,5000.0
30,2017/12/12 10:08:00,31.36,31.36,31.36,31.36,5000.0
31,2017/12/12 10:14:00,31.9,31.92,31.9,31.92,10000.0
32,2017/12/12 10:15:00,31.66,31.66,31.66,31.66,5000.0
33,2017/12/12 10:28:00,30.8,30.8,30.8,30.8,5000.0
34,2017/12/12 10:39:00,31.16,31.16,31.16,31.16,25000.0
35,2017/12/12 10:40:00,31.16,31.16,31.16,31.16,25000.0
36,2017/12/12 10:41:00,31.16,31.16,31.16,31.16,15000.0
37,2017/12/12 10:42:00,31.16,31.16,31.16,31.16,10000.0
38,2017/12/12 10:44:00,31.1,31.2,31.1,31.2,35000.0
39,2017/12/12 10:49:00,31.2,31.2,31.2,31.2,5000.0
40,2017/12/12 10:56:00,31.4,31.4,31.4,31.4,5000.0
41,2017/12/12 10:58:00,31.6,31.6,31.6,31.6,5000.0
42,2017/12/12 10:59:00,31.24,31.24,31.24,31.24,5000.0
43,2017/12/12 11:04:00,31.76,31.76,31.76,31.76,5000.0
44,2017/12/12 11:23:00,31.8,31.8,31.8,31.8,5000.0
45,2017/12/12 11:25:00,31.92,31.92,31.92,31.92,5000.0
46,2017/12/12 11:29:00,31.96,32.0,31.96,32.0,10000.0
47,2017/12/12 11:32:00,32.0,32.08,32.0,32.08,10000.0
48,2017/12/12 11:39:00,32.0,32.0,32.0,32.0,5000.0
49,2017/12/12 11:51:00,31.7,31.7,31.7,31.7,5000.0
50,2017/12/12 11:52:00,31.6,31.6,31.6,31.6,5000.0
51,2017/12/12 12:05:00,31.28,31.4,31.28,31.4,20000.0
52,2017/12/12 12:07:00,31.4,31.4,31.4,31.4,25000.0
53,2017/12/12 12:08:00,31.4,31.4,31.4,31.4,10000.0
54,2017/12/12 12:09:00,31.4,31.4,31.4,31.4,10000.0
55,2017/12/12 12:10:00,31.78,31.78,31.78,31.78,5000.0
56,2017/12/12 12:18:00,31.52,31.52,31.52,31.52,15000.0
57,2017/12/12 12:19:00,31.52,31.52,31.52,31.52,5000.0
58,2017/12/12 12:21:00,31.92,32.0,31.76,31.76,15000.0
59,2017/12/12 12:22:00,32.0,32.0,32.0,32.0,5000.0
60,2017/12/12 12:34:00,32.0,32.0,32.0,32.0,5000.0
61,2017/12/12 13:10:00,32.0,32.0,32.0,32.0,5000.0
62,2017/12/12 13:13:00,32.0,32.0,32.0,32.0,5000.0
63,2017/12/12 13:27:00,32.2,32.2,32.2,32.2,5000.0
64,2017/12/12 13:37:00,32.4,32.5,32.4,32.5,10000.0
65,2017/12/12 13:48:00,32.4,32.4,32.4,32.4,30000.0
66,2017/12/12 13:50:00,32.02,32.02,32.02,32.02,5000.0
67,2017/12/12 13:51:00,32.4,32.4,32.4,32.4,15000.0
68,2017/12/12 13:52:00,32.4,32.4,32.4,32.4,10000.0
69,2017/12/12 13:53:00,32.4,32.4,32.4,32.4,5000.0
70,2017/12/12 13:54:00,32.04,32.04,32.04,32.04,5000.0
71,2017/12/12 13:55:00,32.04,32.4,32.04,32.4,20000.0
72,2017/12/12 14:03:00,32.12,32.12,32.12,32.12,25000.0
73,2017/12/12 14:04:00,32.12,32.12,32.12,32.12,20000.0
74,2017/12/12 14:24:00,32.58,32.58,32.58,32.58,5000.0
75,2017/12/12 14:44:00,32.16,32.16,32.16,32.16,10000.0
76,2017/12/12 14:45:00,32.16,32.16,32.16,32.16,5000.0
77,2017/12/12 14:58:00,32.8,32.8,32.8,32.8,20000.0
78,2017/12/12 15:06:00,33.44,33.46,32.42,32.42,15000.0
79,2017/12/12 15:07:00,33.48,33.56,33.48,33.56,20000.0
80,2017/12/12 15:08:00,33.6,33.6,33.6,33.6,20000.0
81,2017/12/12 15:11:00,33.6,33.6,33.6,33.6,5000.0
82,2017/12/13 09:16:00,33.2,33.2,33.2,33.2,5000.0
83,2017/12/13 09:27:00,33.6,33.6,33.6,33.6,5000.0
84,2017/12/13 09:36:00,33.6,33.6,33.6,33.6,5000.0
85,2017/12/13 09:38:00,33.58,33.6,33.58,33.6,10000.0
86,2017/12/13 09:50:00,34.2,34.2,34.2,34.2,5000.0
87,2017/12/13 10:27:00,35.28,35.28,35.28,35.28,5000.0
