index,date,open,high,low,close,volume
0,2015/07/17 09:57:00,21.15,21.15,21.15,21.15,400.0
1,2015/07/17 10:26:00,21.95,21.95,21.2,21.2,251.0
2,2015/07/17 10:28:00,21.2,21.2,21.2,21.2,200.0
3,2015/07/17 10:29:00,21.2,21.2,21.2,21.2,100.0
4,2015/07/17 10:30:00,21.2,21.2,21.2,21.2,400.0
5,2015/07/17 11:14:00,21.0,21.5,21.0,21.5,800.0
6,2015/07/17 11:15:00,21.0,21.0,21.0,21.0,300.0
7,2015/07/17 11:16:00,20.85,20.85,20.85,20.85,300.0
8,2015/07/17 11:26:00,20.85,20.85,20.85,20.85,100.0
9,2015/07/17 11:27:00,20.9,20.9,20.85,20.85,400.0
10,2015/07/17 11:48:00,21.3,21.3,21.3,21.3,2.0
11,2015/07/17 12:05:00,21.25,21.25,21.25,21.25,2.0
12,2015/07/17 12:11:00,20.9,20.9,20.9,20.9,500.0
13,2015/07/17 12:12:00,20.85,20.85,20.85,20.85,500.0
14,2015/07/17 12:13:00,20.85,20.85,20.85,20.85,200.0
15,2015/07/17 12:14:00,20.7,20.7,20.7,20.7,200.0
16,2015/07/17 12:22:00,20.7,20.7,20.7,20.7,100.0
17,2015/07/17 12:23:00,20.7,20.7,20.7,20.7,300.0
18,2015/07/17 12:24:00,20.7,20.7,20.7,20.7,100.0
19,2015/07/17 12:36:00,20.7,20.7,20.5,20.5,1000.0
20,2015/07/17 12:57:00,20.6,20.6,20.6,20.6,1.0
21,2015/07/17 13:04:00,20.95,20.95,20.95,20.95,50.0
22,2015/07/17 13:17:00,20.65,20.65,20.65,20.65,52.0
23,2015/07/17 13:49:00,21.15,21.15,21.15,21.15,2.0
24,2015/07/17 14:11:00,20.65,20.65,20.65,20.65,100.0
25,2015/07/17 14:13:00,20.65,20.65,20.65,20.65,100.0
26,2015/07/17 14:14:00,20.65,20.65,20.65,20.65,500.0
27,2015/07/17 14:15:00,20.65,20.65,20.65,20.65,25.0
28,2015/07/17 14:18:00,20.8,20.8,20.8,20.8,100.0
29,2015/07/17 14:36:00,20.8,20.8,20.8,20.8,183.0
30,2015/07/17 14:59:00,20.8,20.8,20.8,20.8,500.0
31,2015/07/17 15:02:00,20.9,20.9,20.9,20.9,1000.0
32,2015/07/17 15:09:00,20.95,20.95,20.95,20.95,123.0
33,2015/07/17 15:14:00,20.8,20.8,20.8,20.8,500.0
34,2015/07/17 15:32:00,20.85,20.85,20.85,20.85,1.0
35,2015/07/17 15:40:00,20.85,20.85,20.85,20.85,500.0
36,2015/07/20 09:18:00,20.35,20.35,20.35,20.35,500.0
37,2015/07/20 09:21:00,20.45,20.45,20.45,20.45,150.0
38,2015/07/20 09:34:00,20.65,20.65,20.65,20.65,50.0
39,2015/07/20 10:21:00,21.15,21.15,21.15,21.15,50.0
40,2015/07/20 10:44:00,20.65,20.65,20.6,20.6,300.0
41,2015/07/20 10:45:00,20.3,20.3,20.3,20.3,900.0
42,2015/07/20 11:17:00,20.75,20.75,20.75,20.75,100.0
43,2015/07/20 11:28:00,20.5,20.5,20.5,20.5,200.0
44,2015/07/20 11:29:00,20.4,20.4,20.4,20.4,100.0
45,2015/07/20 11:30:00,20.4,20.4,20.4,20.4,100.0
46,2015/07/20 11:35:00,20.4,20.4,20.4,20.4,805.0
47,2015/07/20 11:40:00,20.35,20.35,20.35,20.35,500.0
48,2015/07/20 11:44:00,20.4,20.4,20.4,20.4,200.0
49,2015/07/20 11:45:00,20.4,20.4,20.4,20.4,350.0
50,2015/07/20 11:46:00,20.4,20.4,20.4,20.4,300.0
51,2015/07/20 11:47:00,20.4,20.4,20.4,20.4,200.0
52,2015/07/20 11:48:00,20.4,20.4,20.4,20.4,200.0
53,2015/07/20 11:49:00,20.4,20.4,20.4,20.4,600.0
54,2015/07/20 11:50:00,20.4,20.4,20.3,20.3,350.0
55,2015/07/20 12:13:00,20.35,20.35,20.3,20.3,1350.0
56,2015/07/20 12:28:00,20.15,20.15,20.15,20.15,200.0
57,2015/07/20 12:34:00,20.0,20.0,20.0,20.0,3394.0
58,2015/07/20 12:39:00,19.85,19.85,19.85,19.85,26.0
59,2015/07/20 12:44:00,20.3,20.3,20.3,20.3,100.0
60,2015/07/20 13:14:00,20.2,20.2,20.2,20.2,300.0
61,2015/07/20 13:18:00,20.2,20.2,20.2,20.2,50.0
62,2015/07/20 13:22:00,20.2,20.2,20.2,20.2,50.0
63,2015/07/20 13:37:00,20.0,20.0,20.0,20.0,200.0
64,2015/07/20 13:38:00,20.0,20.0,20.0,20.0,100.0
65,2015/07/20 13:39:00,20.0,20.0,20.0,20.0,50.0
66,2015/07/20 13:49:00,20.0,20.0,20.0,20.0,52.0
67,2015/07/20 13:52:00,20.0,20.0,20.0,20.0,100.0
68,2015/07/20 13:55:00,20.0,20.0,20.0,20.0,200.0
69,2015/07/20 13:57:00,20.0,20.0,20.0,20.0,15.0
70,2015/07/20 13:58:00,20.0,20.0,20.0,20.0,487.0
71,2015/07/20 14:05:00,19.9,19.9,19.9,19.9,1.0
72,2015/07/20 14:09:00,19.9,19.9,19.9,19.9,250.0
73,2015/07/20 14:16:00,20.0,20.0,20.0,20.0,262.0
74,2015/07/20 14:19:00,20.25,20.25,20.25,20.25,733.0
75,2015/07/20 14:23:00,20.25,20.25,20.25,20.25,283.0
76,2015/07/20 14:32:00,20.05,20.05,20.05,20.05,80.0
77,2015/07/20 14:52:00,20.3,20.3,20.05,20.05,110.0
78,2015/07/20 14:53:00,19.85,19.85,19.85,19.85,30.0
79,2015/07/20 15:16:00,20.2,20.2,20.2,20.2,100.0
