index,date,open,high,low,close,volume
0,2020/12/16 09:55:00,90.2,90.4,90.15,90.4,4870.0
1,2020/12/16 09:56:00,90.5,91.0,90.4,90.8,41759.0
2,2020/12/16 09:57:00,91.0,92.45,91.0,92.0,81938.0
3,2020/12/16 09:58:00,91.95,93.25,91.9,93.0,68486.0
4,2020/12/16 09:59:00,93.1,93.5,91.85,92.15,33089.0
5,2020/12/16 10:00:00,92.15,92.3,91.55,91.55,14604.0
6,2020/12/16 10:01:00,91.1,92.65,91.1,92.45,18013.0
7,2020/12/16 10:02:00,92.4,92.7,92.25,92.65,5218.0
8,2020/12/16 10:03:00,92.7,92.9,92.1,92.45,9634.0
9,2020/12/16 10:04:00,92.1,92.15,91.65,91.75,4312.0
10,2020/12/16 10:05:00,91.8,92.25,91.75,92.0,4888.0
11,2020/12/16 10:06:00,92.0,92.0,91.0,91.05,11193.0
12,2020/12/16 10:07:00,91.1,91.7,91.1,91.6,5268.0
13,2020/12/16 10:08:00,91.6,91.6,91.3,91.5,3212.0
14,2020/12/16 10:09:00,91.6,91.6,91.25,91.3,6855.0
15,2020/12/16 10:10:00,91.45,91.45,91.2,91.3,8311.0
16,2020/12/16 10:11:00,91.3,92.05,91.3,92.05,5130.0
17,2020/12/16 10:12:00,92.0,92.3,92.0,92.0,8763.0
18,2020/12/16 10:13:00,91.8,92.05,91.7,92.05,2702.0
19,2020/12/16 10:14:00,92.0,92.0,91.6,91.6,3360.0
20,2020/12/16 10:15:00,91.6,91.8,91.5,91.5,4688.0
21,2020/12/16 10:16:00,91.5,91.9,91.5,91.6,3114.0
22,2020/12/16 10:17:00,91.5,92.4,91.5,92.3,10014.0
23,2020/12/16 10:18:00,92.2,92.65,92.2,92.5,9003.0
24,2020/12/16 10:19:00,92.5,92.5,92.1,92.1,1507.0
25,2020/12/16 10:20:00,92.1,92.15,92.0,92.1,2659.0
26,2020/12/16 10:21:00,92.0,92.15,91.95,91.95,3054.0
27,2020/12/16 10:22:00,91.9,92.5,91.85,92.5,3807.0
28,2020/12/16 10:23:00,92.5,92.5,92.35,92.5,2502.0
29,2020/12/16 10:24:00,92.15,92.2,92.05,92.2,1730.0
30,2020/12/16 10:25:00,92.05,92.3,92.05,92.1,1825.0
31,2020/12/16 10:26:00,92.2,92.35,92.1,92.35,3261.0
32,2020/12/16 10:27:00,92.3,92.4,92.15,92.3,976.0
33,2020/12/16 10:28:00,92.3,92.35,92.15,92.35,1662.0
34,2020/12/16 10:29:00,92.3,92.8,92.15,92.8,11121.0
35,2020/12/16 10:30:00,92.8,93.3,92.55,93.15,63434.0
36,2020/12/16 10:31:00,93.15,93.15,92.5,92.95,44742.0
37,2020/12/16 10:32:00,92.65,92.95,92.65,92.95,15357.0
38,2020/12/16 10:33:00,92.9,93.15,92.85,93.15,14367.0
39,2020/12/16 10:34:00,93.15,93.25,93.1,93.2,4853.0
40,2020/12/16 10:35:00,93.1,93.25,93.0,93.25,6276.0
41,2020/12/16 10:36:00,93.3,93.3,93.0,93.0,6044.0
42,2020/12/16 10:37:00,93.1,93.1,92.6,92.75,9948.0
43,2020/12/16 10:38:00,92.75,92.9,92.5,92.5,4531.0
44,2020/12/16 10:39:00,92.8,92.8,92.4,92.4,4180.0
45,2020/12/16 10:40:00,92.55,92.65,92.4,92.65,2811.0
46,2020/12/16 10:41:00,92.75,92.9,92.7,92.85,2583.0
47,2020/12/16 10:42:00,92.75,92.75,92.25,92.45,4839.0
48,2020/12/16 10:43:00,92.45,92.45,91.6,91.9,16588.0
49,2020/12/16 10:44:00,91.7,91.85,91.35,91.35,17481.0
50,2020/12/16 10:45:00,91.65,91.95,91.45,91.6,2066.0
51,2020/12/16 10:46:00,91.75,91.75,91.4,91.6,2569.0
52,2020/12/16 10:47:00,91.6,91.75,91.4,91.4,3657.0
53,2020/12/16 10:48:00,91.75,91.75,91.45,91.65,1430.0
54,2020/12/16 10:49:00,91.55,91.75,91.5,91.75,2541.0
55,2020/12/16 10:50:00,91.75,91.9,91.75,91.75,1032.0
56,2020/12/16 10:51:00,91.6,91.9,91.6,91.9,1040.0
57,2020/12/16 10:52:00,91.7,91.85,91.6,91.8,1167.0
58,2020/12/16 10:53:00,91.8,91.9,91.65,91.9,1691.0
59,2020/12/16 10:54:00,91.9,91.9,91.65,91.7,1640.0
60,2020/12/16 10:55:00,91.8,91.85,91.8,91.85,1060.0
61,2020/12/16 10:56:00,91.8,91.85,91.4,91.55,5342.0
62,2020/12/16 10:57:00,91.6,91.65,91.5,91.5,420.0
63,2020/12/16 10:58:00,91.6,91.7,91.55,91.55,1030.0
64,2020/12/16 10:59:00,91.75,91.8,91.55,91.8,857.0
65,2020/12/16 11:00:00,91.75,91.85,91.65,91.7,2243.0
66,2020/12/16 11:01:00,91.8,91.85,91.7,91.7,956.0
67,2020/12/16 11:02:00,91.85,92.4,91.7,92.1,6190.0
68,2020/12/16 11:03:00,92.35,92.35,92.1,92.15,1606.0
69,2020/12/16 11:04:00,92.15,92.3,92.15,92.15,2159.0
70,2020/12/16 11:05:00,92.2,92.2,92.05,92.05,2394.0
71,2020/12/16 11:06:00,92.0,92.0,91.8,91.8,402.0
72,2020/12/16 11:07:00,91.95,92.05,91.8,92.05,1162.0
73,2020/12/16 11:08:00,92.05,92.05,91.85,91.85,804.0
74,2020/12/16 11:09:00,92.15,92.15,92.0,92.0,811.0
75,2020/12/16 11:10:00,92.2,92.2,92.0,92.0,1524.0
76,2020/12/16 11:11:00,92.05,92.2,92.0,92.0,2126.0
77,2020/12/16 11:12:00,92.15,92.15,92.0,92.0,485.0
78,2020/12/16 11:13:00,92.05,92.05,91.65,92.0,3853.0
79,2020/12/16 11:14:00,91.9,91.9,91.9,91.9,1137.0
80,2020/12/16 11:15:00,91.9,91.9,91.75,91.75,375.0
81,2020/12/16 11:16:00,91.65,91.65,91.5,91.5,3552.0
82,2020/12/16 11:17:00,91.75,91.8,91.75,91.75,2518.0
83,2020/12/16 11:18:00,91.55,91.55,91.5,91.5,6685.0
84,2020/12/16 11:19:00,91.5,91.75,91.4,91.7,1647.0
85,2020/12/16 11:20:00,91.75,91.75,91.5,91.5,1041.0
86,2020/12/16 11:21:00,91.5,91.85,91.5,91.85,1381.0
87,2020/12/16 11:22:00,91.9,91.9,91.55,91.55,911.0
88,2020/12/16 11:23:00,91.5,91.7,91.5,91.7,2920.0
89,2020/12/16 11:24:00,91.5,91.7,91.5,91.55,399.0
90,2020/12/16 11:26:00,91.5,91.7,91.5,91.55,588.0
91,2020/12/16 11:27:00,91.55,91.55,91.45,91.5,3733.0
92,2020/12/16 11:28:00,91.5,91.65,91.5,91.65,1572.0
93,2020/12/16 11:29:00,91.5,91.65,91.5,91.65,4.0
94,2020/12/16 11:30:00,91.5,91.55,91.4,91.55,1046.0
95,2020/12/16 11:31:00,91.4,91.55,91.4,91.55,1066.0
96,2020/12/16 11:32:00,91.4,91.55,91.4,91.55,191.0
97,2020/12/16 11:33:00,91.4,91.55,91.4,91.55,511.0
98,2020/12/16 11:34:00,91.55,91.55,91.45,91.5,405.0
99,2020/12/16 11:35:00,91.45,91.55,91.45,91.55,759.0
100,2020/12/16 11:36:00,91.55,91.65,91.55,91.65,102.0
101,2020/12/16 11:37:00,91.5,91.65,91.45,91.65,1210.0
102,2020/12/16 11:38:00,91.65,91.8,91.6,91.6,2128.0
103,2020/12/16 11:39:00,91.6,91.75,91.45,91.5,4333.0
104,2020/12/16 11:40:00,91.45,91.45,91.45,91.45,815.0
105,2020/12/16 11:41:00,91.5,91.5,91.4,91.4,1689.0
106,2020/12/16 11:42:00,91.4,91.4,91.2,91.2,1632.0
107,2020/12/16 11:43:00,91.2,91.2,91.2,91.2,80.0
108,2020/12/16 11:44:00,91.4,91.45,91.25,91.25,2280.0
109,2020/12/16 11:45:00,91.3,91.4,91.25,91.25,335.0
110,2020/12/16 11:46:00,91.25,91.4,91.2,91.4,1116.0
111,2020/12/16 11:47:00,91.4,91.4,91.2,91.25,1040.0
112,2020/12/16 11:48:00,91.5,91.5,91.2,91.2,2820.0
113,2020/12/16 11:49:00,91.25,91.25,91.0,91.0,14864.0
114,2020/12/16 11:50:00,91.0,91.15,91.0,91.05,1026.0
115,2020/12/16 11:51:00,91.05,91.15,91.05,91.15,484.0
116,2020/12/16 11:52:00,91.1,91.1,91.0,91.0,9837.0
117,2020/12/16 11:53:00,91.0,91.25,91.0,91.1,800.0
118,2020/12/16 11:54:00,91.1,91.1,91.1,91.1,13.0
119,2020/12/16 11:55:00,91.25,91.25,91.1,91.15,907.0
120,2020/12/16 11:56:00,91.0,91.15,91.0,91.0,550.0
121,2020/12/16 11:57:00,91.0,91.15,91.0,91.15,159.0
122,2020/12/16 11:58:00,91.1,91.3,91.1,91.2,519.0
123,2020/12/16 12:00:00,91.3,91.3,91.3,91.3,33.0
124,2020/12/16 12:01:00,91.3,91.3,91.2,91.2,5633.0
125,2020/12/16 12:02:00,91.2,91.2,91.0,91.0,333.0
126,2020/12/16 12:03:00,91.0,91.05,91.0,91.05,483.0
127,2020/12/16 12:04:00,91.0,91.15,91.0,91.1,190.0
128,2020/12/16 12:05:00,91.15,91.15,91.15,91.15,207.0
129,2020/12/16 12:06:00,91.15,91.4,91.15,91.4,622.0
130,2020/12/16 12:07:00,91.4,91.4,91.2,91.2,1459.0
131,2020/12/16 12:08:00,91.15,91.2,91.15,91.15,554.0
132,2020/12/16 12:09:00,91.15,91.3,91.15,91.3,1109.0
133,2020/12/16 12:10:00,91.25,91.25,91.25,91.25,170.0
134,2020/12/16 12:11:00,91.5,91.5,91.25,91.45,1600.0
135,2020/12/16 12:12:00,91.5,91.5,91.4,91.45,1268.0
136,2020/12/16 12:13:00,91.3,91.45,91.25,91.25,410.0
137,2020/12/16 12:15:00,91.25,91.25,91.25,91.25,5.0
138,2020/12/16 12:16:00,91.4,91.4,91.25,91.35,802.0
139,2020/12/16 12:17:00,91.35,91.4,91.3,91.4,1282.0
140,2020/12/16 12:18:00,91.2,91.2,91.2,91.2,250.0
141,2020/12/16 12:19:00,91.35,91.35,91.35,91.35,52.0
142,2020/12/16 12:21:00,91.35,91.35,91.35,91.35,255.0
143,2020/12/16 12:22:00,91.2,91.2,91.1,91.1,495.0
144,2020/12/16 12:23:00,91.3,91.35,91.15,91.35,866.0
145,2020/12/16 12:24:00,91.3,91.3,91.3,91.3,40.0
146,2020/12/16 12:25:00,91.3,91.3,91.15,91.15,275.0
147,2020/12/16 12:26:00,91.15,91.15,91.15,91.15,1000.0
148,2020/12/16 12:27:00,91.3,91.3,91.15,91.15,101.0
149,2020/12/16 12:29:00,91.15,91.25,91.1,91.25,213.0
150,2020/12/16 12:30:00,91.0,91.0,90.95,91.0,4954.0
151,2020/12/16 12:31:00,91.05,91.6,91.0,91.45,3973.0
152,2020/12/16 12:32:00,91.4,91.45,91.2,91.2,5891.0
153,2020/12/16 12:33:00,91.3,91.35,91.2,91.2,224.0
154,2020/12/16 12:34:00,91.2,91.35,91.2,91.35,65.0
155,2020/12/16 12:35:00,91.2,91.2,91.2,91.2,688.0
156,2020/12/16 12:36:00,91.4,91.4,91.4,91.4,100.0
157,2020/12/16 12:37:00,91.4,91.4,91.4,91.4,22.0
158,2020/12/16 12:38:00,91.4,91.4,91.2,91.2,510.0
159,2020/12/16 12:39:00,91.2,91.4,91.2,91.35,1083.0
160,2020/12/16 12:40:00,91.25,91.25,91.25,91.25,100.0
161,2020/12/16 12:41:00,91.2,91.2,91.2,91.2,350.0
162,2020/12/16 12:42:00,91.35,91.35,91.35,91.35,2.0
163,2020/12/16 12:43:00,91.4,91.4,91.25,91.25,81.0
164,2020/12/16 12:44:00,91.25,91.25,91.25,91.25,254.0
165,2020/12/16 12:45:00,91.35,91.35,91.35,91.35,26.0
166,2020/12/16 12:46:00,91.4,91.4,91.2,91.2,1157.0
167,2020/12/16 12:47:00,91.4,91.5,91.4,91.5,5240.0
168,2020/12/16 12:48:00,91.65,91.75,91.3,91.65,1663.0
169,2020/12/16 12:49:00,91.65,91.7,91.65,91.65,590.0
170,2020/12/16 12:50:00,91.4,91.65,91.4,91.65,200.0
171,2020/12/16 12:51:00,91.55,91.55,91.55,91.55,357.0
