index,date,open,high,low,close,volume
0,2020/11/23 09:18:00,79.05,83.0,79.05,79.05,2765.0
1,2020/11/23 09:19:00,82.95,82.95,79.6,79.6,253.0
2,2020/11/23 09:20:00,82.5,82.5,80.1,80.1,340.0
3,2020/11/23 09:22:00,80.15,80.15,80.0,80.0,1187.0
4,2020/11/23 09:23:00,80.0,80.1,80.0,80.1,170.0
5,2020/11/23 09:24:00,80.1,80.1,80.05,80.05,240.0
6,2020/11/23 09:26:00,79.55,79.55,79.5,79.5,130.0
7,2020/11/23 09:28:00,79.7,79.7,79.7,79.7,278.0
8,2020/11/23 09:29:00,80.4,80.4,79.75,79.75,266.0
9,2020/11/23 09:35:00,80.35,80.35,80.35,80.35,1.0
10,2020/11/23 09:37:00,79.85,79.85,79.75,79.75,290.0
11,2020/11/23 09:39:00,81.0,81.0,81.0,81.0,1000.0
12,2020/11/23 09:41:00,80.0,80.75,80.0,80.75,11.0
13,2020/11/23 09:43:00,80.2,80.2,80.2,80.2,300.0
14,2020/11/23 09:46:00,80.6,80.6,79.95,79.95,1004.0
15,2020/11/23 09:59:00,79.9,80.25,79.9,80.25,872.0
16,2020/11/23 10:00:00,80.25,80.25,80.25,80.25,6.0
17,2020/11/23 10:01:00,80.25,80.25,80.25,80.25,900.0
18,2020/11/23 10:02:00,80.25,80.3,80.25,80.3,458.0
19,2020/11/23 10:04:00,80.25,80.25,80.25,80.25,633.0
20,2020/11/23 10:06:00,80.25,80.25,80.25,80.25,3.0
21,2020/11/23 10:07:00,80.25,80.25,80.25,80.25,5.0
22,2020/11/23 10:09:00,80.25,80.25,80.25,80.25,500.0
23,2020/11/23 10:10:00,80.55,80.55,80.55,80.55,50.0
24,2020/11/23 10:14:00,80.3,80.3,80.3,80.3,145.0
25,2020/11/23 10:16:00,80.7,80.7,80.7,80.7,100.0
26,2020/11/23 10:17:00,80.25,80.25,80.25,80.25,250.0
27,2020/11/23 10:20:00,80.3,80.3,80.3,80.3,37.0
28,2020/11/23 10:21:00,81.5,81.5,81.5,81.5,522.0
29,2020/11/23 10:22:00,81.5,81.55,81.5,81.55,628.0
30,2020/11/23 10:23:00,81.55,81.75,81.5,81.6,1109.0
31,2020/11/23 10:24:00,81.55,81.75,81.55,81.75,150.0
32,2020/11/23 10:25:00,81.6,81.6,81.5,81.6,950.0
33,2020/11/23 10:26:00,81.65,81.75,81.65,81.75,228.0
34,2020/11/23 10:27:00,81.5,81.5,81.5,81.5,100.0
35,2020/11/23 10:28:00,81.5,81.5,81.5,81.5,50.0
36,2020/11/23 10:29:00,81.5,81.5,81.5,81.5,6714.0
37,2020/11/23 10:31:00,81.05,81.35,80.9,81.35,415.0
38,2020/11/23 10:33:00,81.5,81.5,81.5,81.5,250.0
