index,date,open,high,low,close,volume
0,2020/12/17 11:02:00,61.4,61.4,61.4,61.4,1200.0
1,2020/12/17 11:03:00,61.4,61.4,61.4,61.4,250.0
2,2020/12/17 11:04:00,61.6,61.6,61.45,61.45,1731.0
3,2020/12/17 11:05:00,61.5,61.5,61.4,61.4,6189.0
4,2020/12/17 11:06:00,61.45,61.45,61.4,61.4,1839.0
5,2020/12/17 11:08:00,61.5,61.5,61.4,61.4,377.0
6,2020/12/17 11:09:00,61.4,61.4,61.4,61.4,100.0
7,2020/12/17 11:10:00,61.4,61.4,61.4,61.4,25.0
8,2020/12/17 11:11:00,61.45,61.45,61.45,61.45,50.0
9,2020/12/17 11:12:00,61.45,61.45,61.4,61.4,180.0
10,2020/12/17 11:13:00,61.4,61.5,61.4,61.5,1360.0
11,2020/12/17 11:14:00,61.45,61.45,61.45,61.45,190.0
12,2020/12/17 11:15:00,61.4,61.5,61.4,61.5,1066.0
13,2020/12/17 11:16:00,61.5,61.5,61.4,61.4,1696.0
14,2020/12/17 11:17:00,61.4,61.5,61.4,61.5,410.0
15,2020/12/17 11:18:00,61.5,61.5,61.5,61.5,200.0
16,2020/12/17 11:20:00,61.5,61.5,61.5,61.5,1.0
17,2020/12/17 11:22:00,61.4,61.4,61.4,61.4,150.0
18,2020/12/17 11:23:00,61.4,61.4,61.4,61.4,25.0
19,2020/12/17 11:24:00,61.4,61.5,61.4,61.5,918.0
20,2020/12/17 11:25:00,61.4,61.4,61.4,61.4,50.0
21,2020/12/17 11:26:00,61.4,61.4,61.4,61.4,1100.0
22,2020/12/17 11:27:00,61.5,61.5,61.4,61.4,150.0
23,2020/12/17 11:28:00,61.4,61.4,61.4,61.4,50.0
24,2020/12/17 11:29:00,61.4,61.5,61.4,61.5,200.0
25,2020/12/17 11:30:00,61.4,61.4,61.4,61.4,616.0
26,2020/12/17 11:31:00,61.4,61.5,61.4,61.5,2618.0
27,2020/12/17 11:32:00,61.5,61.5,61.5,61.5,130.0
28,2020/12/17 11:33:00,61.5,61.5,61.4,61.4,505.0
29,2020/12/17 11:34:00,61.4,61.5,61.4,61.4,843.0
30,2020/12/17 11:36:00,61.4,61.4,61.4,61.4,230.0
31,2020/12/17 11:37:00,61.5,61.5,61.4,61.4,250.0
32,2020/12/17 11:38:00,61.5,61.5,61.5,61.5,225.0
33,2020/12/17 11:39:00,61.4,61.5,61.4,61.5,505.0
34,2020/12/17 11:40:00,61.5,61.5,61.4,61.5,221.0
35,2020/12/17 11:43:00,61.4,61.4,61.4,61.4,2549.0
36,2020/12/17 11:44:00,61.4,61.4,61.4,61.4,5533.0
37,2020/12/17 11:45:00,61.4,61.4,61.4,61.4,602.0
38,2020/12/17 11:46:00,61.4,61.4,61.4,61.4,1299.0
39,2020/12/17 11:47:00,61.4,61.4,61.25,61.25,741.0
40,2020/12/17 11:48:00,61.35,61.35,61.25,61.25,20.0
41,2020/12/17 11:49:00,61.35,61.5,61.15,61.5,3960.0
42,2020/12/17 11:50:00,61.4,61.4,61.4,61.4,200.0
43,2020/12/17 11:51:00,61.3,61.5,61.3,61.3,852.0
44,2020/12/17 11:52:00,61.5,61.5,61.5,61.5,5.0
45,2020/12/17 11:53:00,61.4,61.4,61.3,61.4,230.0
46,2020/12/17 11:54:00,61.4,61.4,61.25,61.4,1900.0
47,2020/12/17 11:57:00,61.25,61.25,61.2,61.2,600.0
48,2020/12/17 11:58:00,61.25,61.25,61.25,61.25,150.0
49,2020/12/17 11:59:00,61.45,61.45,61.45,61.45,10200.0
50,2020/12/17 12:00:00,62.0,62.15,61.7,61.7,18629.0
51,2020/12/17 12:01:00,61.75,61.75,61.75,61.75,5.0
52,2020/12/17 12:02:00,61.9,61.9,61.65,61.85,1206.0
53,2020/12/17 12:03:00,61.7,61.8,61.7,61.7,195.0
54,2020/12/17 12:04:00,61.85,61.85,61.85,61.85,1010.0
55,2020/12/17 12:05:00,61.75,61.75,61.55,61.55,695.0
56,2020/12/17 12:06:00,61.75,61.75,61.5,61.5,1338.0
57,2020/12/17 12:07:00,61.5,61.65,61.5,61.5,708.0
58,2020/12/17 12:08:00,61.5,61.5,61.5,61.5,100.0
59,2020/12/17 12:09:00,61.65,61.65,61.55,61.65,211.0
60,2020/12/17 12:10:00,61.75,61.75,61.75,61.75,255.0
61,2020/12/17 12:11:00,61.75,61.75,61.75,61.75,390.0
62,2020/12/17 12:12:00,61.75,61.75,61.75,61.75,1.0
63,2020/12/17 12:13:00,61.75,61.85,61.75,61.85,1909.0
64,2020/12/17 12:14:00,61.7,61.7,61.7,61.7,4.0
65,2020/12/17 12:15:00,61.7,61.7,61.7,61.7,50.0
66,2020/12/17 12:18:00,61.8,61.8,61.7,61.8,140.0
67,2020/12/17 12:19:00,61.85,61.85,61.85,61.85,500.0
68,2020/12/17 12:20:00,61.65,61.65,61.65,61.65,100.0
69,2020/12/17 12:23:00,61.65,61.65,61.6,61.6,360.0
70,2020/12/17 12:24:00,61.75,61.75,61.75,61.75,10.0
71,2020/12/17 12:30:00,61.5,61.5,61.5,61.5,2000.0
72,2020/12/17 12:32:00,61.45,61.55,61.45,61.55,550.0
73,2020/12/17 12:33:00,61.5,61.5,61.5,61.5,5.0
74,2020/12/17 12:34:00,61.55,61.55,61.45,61.45,100.0
75,2020/12/17 12:35:00,61.45,61.45,61.45,61.45,240.0
76,2020/12/17 12:36:00,61.45,61.45,61.45,61.45,4.0
77,2020/12/17 12:37:00,61.4,61.4,61.4,61.4,100.0
78,2020/12/17 12:38:00,61.4,61.4,61.35,61.35,277.0
79,2020/12/17 12:39:00,61.35,61.35,61.35,61.35,10.0
80,2020/12/17 12:40:00,61.45,61.45,61.45,61.45,5.0
81,2020/12/17 12:41:00,61.45,61.45,61.35,61.4,578.0
82,2020/12/17 12:42:00,61.4,61.4,61.3,61.4,450.0
83,2020/12/17 12:43:00,61.4,61.4,61.4,61.4,36.0
84,2020/12/17 12:44:00,61.3,61.3,61.3,61.3,2081.0
85,2020/12/17 12:45:00,61.25,61.25,61.25,61.25,100.0
86,2020/12/17 12:47:00,61.25,61.25,61.25,61.25,121.0
