index,date,open,high,low,close,volume
0,2020/12/11 13:08:00,162.8,162.8,162.8,162.8,27.0
1,2020/12/11 13:09:00,163.3,163.3,163.3,163.3,1.0
2,2020/12/11 13:12:00,163.3,163.5,163.2,163.2,5387.0
3,2020/12/11 13:13:00,163.4,163.4,163.05,163.05,5026.0
4,2020/12/11 13:17:00,163.2,163.3,163.0,163.3,225.0
5,2020/12/11 13:18:00,163.3,163.3,163.3,163.3,4.0
6,2020/12/11 13:19:00,163.3,163.35,163.3,163.35,200.0
7,2020/12/11 13:20:00,163.15,163.15,163.15,163.15,35.0
8,2020/12/11 13:22:00,162.95,163.25,162.9,163.25,242.0
9,2020/12/11 13:24:00,163.25,163.25,163.25,163.25,15.0
10,2020/12/11 13:30:00,162.9,162.9,162.9,162.9,129.0
11,2020/12/11 13:31:00,162.9,162.9,162.75,162.75,115.0
12,2020/12/11 13:32:00,162.9,162.9,162.9,162.9,100.0
13,2020/12/11 13:33:00,162.6,162.6,162.6,162.6,125.0
14,2020/12/11 13:39:00,162.7,162.7,162.7,162.7,1.0
15,2020/12/11 13:41:00,162.7,162.7,162.7,162.7,50.0
16,2020/12/11 13:42:00,162.9,163.1,162.9,163.1,54.0
17,2020/12/11 13:43:00,162.65,162.65,162.65,162.65,150.0
18,2020/12/11 13:46:00,162.95,162.95,162.95,162.95,100.0
19,2020/12/11 13:47:00,163.15,163.5,163.15,163.5,347.0
20,2020/12/11 13:48:00,163.6,163.75,163.4,163.4,125.0
21,2020/12/11 13:49:00,163.3,163.3,163.3,163.3,5.0
22,2020/12/11 13:50:00,163.3,163.3,163.3,163.3,64.0
23,2020/12/11 13:54:00,163.55,163.75,163.55,163.75,481.0
24,2020/12/11 13:55:00,163.75,163.75,163.75,163.75,325.0
25,2020/12/11 13:57:00,163.35,163.35,163.35,163.35,150.0
26,2020/12/11 13:58:00,163.0,163.0,163.0,163.0,565.0
27,2020/12/11 13:59:00,162.75,162.75,162.75,162.75,50.0
28,2020/12/11 14:00:00,162.65,162.65,162.5,162.5,2392.0
29,2020/12/11 14:02:00,162.5,162.5,162.5,162.5,24.0
30,2020/12/11 14:03:00,162.4,162.4,162.0,162.0,839.0
31,2020/12/11 14:04:00,162.05,162.05,162.05,162.05,370.0
32,2020/12/11 14:06:00,162.05,162.05,162.0,162.0,325.0
33,2020/12/11 14:07:00,162.25,162.25,162.25,162.25,88.0
34,2020/12/11 14:08:00,162.05,162.4,162.05,162.4,160.0
35,2020/12/11 14:10:00,162.05,162.05,162.05,162.05,25.0
36,2020/12/11 14:13:00,162.05,162.05,162.0,162.0,11.0
37,2020/12/11 14:15:00,162.0,162.0,162.0,162.0,232.0
38,2020/12/11 14:16:00,162.0,162.0,162.0,162.0,23.0
39,2020/12/11 14:17:00,161.7,161.7,161.5,161.5,225.0
40,2020/12/11 14:18:00,161.5,161.5,161.5,161.5,736.0
41,2020/12/11 14:19:00,161.5,161.5,161.35,161.5,500.0
42,2020/12/11 14:20:00,161.15,161.15,161.15,161.15,250.0
43,2020/12/11 14:21:00,161.4,161.4,161.4,161.4,100.0
44,2020/12/11 14:23:00,161.45,161.45,161.45,161.45,15.0
