index,date,open,high,low,close,volume
0,2013/09/16 13:14:00,2.35,2.35,2.35,2.35,10.0
1,2013/09/17 12:14:00,2.25,2.25,2.25,2.25,100.0
2,2013/09/18 15:14:00,2.15,2.15,2.15,2.15,1.0
3,2013/09/19 15:14:00,2.05,2.05,2.05,2.05,100.0
4,2013/09/20 15:14:00,1.95,1.95,1.95,1.95,1.0
5,2013/09/23 15:14:00,1.9,1.9,1.9,1.9,1.0
6,2013/09/25 14:14:00,1.85,1.85,1.85,1.85,3000.0
7,2013/09/27 15:14:00,1.9,1.9,1.9,1.9,500.0
8,2013/10/01 14:14:00,1.85,1.85,1.85,1.85,800.0
9,2013/10/04 11:14:00,1.8,1.8,1.8,1.8,100.0
10,2013/10/10 13:14:00,1.85,1.85,1.85,1.85,250.0
11,2013/10/14 10:43:00,1.8,1.8,1.8,1.8,390.0
12,2013/10/14 13:05:00,1.8,1.8,1.8,1.8,100.0
13,2013/10/15 13:01:00,1.75,1.75,1.75,1.75,100.0
14,2013/10/18 11:27:00,1.8,1.8,1.8,1.8,1000.0
15,2013/10/22 09:38:00,1.85,1.85,1.85,1.85,50.0
16,2013/10/23 12:19:00,1.8,1.8,1.8,1.8,200.0
17,2013/10/23 12:21:00,1.8,1.8,1.8,1.8,200.0
18,2013/10/24 09:39:00,1.8,1.8,1.8,1.8,1000.0
19,2013/10/24 10:48:00,1.75,1.75,1.75,1.75,400.0
20,2013/10/24 11:08:00,1.75,1.75,1.75,1.75,50.0
21,2013/10/25 10:52:00,1.7,1.7,1.7,1.7,500.0
22,2013/10/28 12:21:00,1.75,1.75,1.75,1.75,100.0
23,2013/10/29 10:31:00,1.8,1.8,1.8,1.8,200.0
24,2013/10/31 11:45:00,1.85,1.85,1.85,1.85,300.0
25,2013/11/05 15:08:00,1.9,1.9,1.9,1.9,79.0
26,2013/11/05 15:14:00,1.9,1.9,1.9,1.9,5292.0
27,2013/11/06 15:06:00,1.95,1.95,1.95,1.95,60.0
28,2013/11/07 09:20:00,2.0,2.0,2.0,2.0,100.0
29,2013/11/11 12:49:00,2.1,2.1,2.1,2.1,220.0
30,2013/11/12 12:30:00,2.2,2.2,2.2,2.2,100.0
31,2013/11/14 11:47:00,2.3,2.3,2.3,2.3,201.0
32,2013/11/18 14:30:00,2.4,2.4,2.4,2.4,100.0
33,2013/11/20 14:02:00,2.5,2.5,2.5,2.5,4.0
34,2013/11/20 14:16:00,2.5,2.5,2.5,2.5,8.0
35,2013/11/22 12:44:00,2.6,2.6,2.6,2.6,710.0
36,2013/11/25 09:35:00,2.7,2.7,2.7,2.7,100.0
37,2013/11/25 11:43:00,2.7,2.7,2.7,2.7,100.0
38,2013/11/26 12:17:00,2.65,2.65,2.65,2.65,100.0
39,2013/12/02 11:35:00,2.55,2.55,2.55,2.55,100.0
40,2013/12/04 13:07:00,2.5,2.5,2.5,2.5,20.0
41,2013/12/04 13:08:00,2.5,2.5,2.5,2.5,30.0
42,2013/12/04 15:13:00,2.5,2.5,2.5,2.5,30.0
43,2013/12/11 12:35:00,2.5,2.5,2.5,2.5,200.0
44,2013/12/31 10:00:00,2.6,2.6,2.6,2.6,1000.0
45,2013/12/31 14:34:00,2.6,2.6,2.6,2.6,100.0
46,2014/01/03 12:44:00,2.5,2.5,2.5,2.5,1000.0
47,2014/01/03 15:01:00,2.5,2.5,2.5,2.5,100.0
48,2014/01/06 10:20:00,2.4,2.4,2.4,2.4,50.0
49,2014/01/06 15:04:00,2.45,2.45,2.45,2.45,39.0
50,2014/01/07 14:53:00,2.5,2.5,2.5,2.5,200.0
51,2014/01/07 14:56:00,2.5,2.5,2.5,2.5,100.0
52,2014/01/07 15:18:00,2.55,2.55,2.55,2.55,100.0
53,2014/01/07 15:26:00,2.5,2.5,2.5,2.5,84.0
54,2014/01/07 15:29:00,2.5,2.5,2.5,2.5,200.0
55,2014/01/09 11:40:00,2.6,2.6,2.6,2.6,200.0
56,2014/01/09 13:21:00,2.6,2.6,2.6,2.6,1000.0
57,2014/01/09 13:51:00,2.6,2.6,2.6,2.6,100.0
58,2014/01/09 14:45:00,2.6,2.6,2.6,2.6,200.0
59,2014/01/10 11:32:00,2.6,2.6,2.6,2.6,100.0
60,2014/01/13 12:03:00,2.6,2.6,2.6,2.6,440.0
61,2014/01/13 12:38:00,2.7,2.7,2.7,2.7,100.0
62,2014/01/13 14:48:00,2.5,2.5,2.5,2.5,100.0
63,2014/01/13 14:50:00,2.7,2.7,2.7,2.7,300.0
64,2014/01/13 14:51:00,2.7,2.7,2.7,2.7,600.0
65,2014/01/13 14:52:00,2.7,2.7,2.7,2.7,200.0
66,2014/01/14 13:31:00,2.6,2.6,2.6,2.6,3.0
67,2014/01/14 13:32:00,2.6,2.6,2.6,2.6,307.0
68,2014/01/14 15:27:00,2.8,2.8,2.8,2.8,5.0
69,2014/01/21 10:17:00,2.7,2.7,2.7,2.7,501.0
70,2014/01/21 10:38:00,2.7,2.7,2.7,2.7,1000.0
71,2014/01/22 11:23:00,2.6,2.6,2.6,2.6,1000.0
72,2014/01/22 11:34:00,2.6,2.6,2.6,2.6,100.0
73,2014/01/24 11:10:00,2.5,2.5,2.5,2.5,100.0
74,2014/01/24 13:17:00,2.5,2.5,2.5,2.5,400.0
75,2014/02/03 13:45:00,2.4,2.4,2.4,2.4,200.0
76,2014/02/03 15:04:00,2.6,2.6,2.6,2.6,50.0
77,2014/02/04 13:39:00,2.5,2.5,2.5,2.5,500.0
78,2014/02/04 14:51:00,2.5,2.5,2.5,2.5,50.0
79,2014/02/05 11:16:00,2.4,2.4,2.4,2.4,100.0
80,2014/02/18 09:31:00,2.5,2.5,2.5,2.5,1.0
81,2014/02/18 09:59:00,2.3,2.3,2.3,2.3,1.0
82,2014/02/18 15:31:00,2.3,2.3,2.3,2.3,1.0
83,2014/02/19 13:52:00,2.3,2.3,2.3,2.3,500.0
84,2014/02/19 15:08:00,2.4,2.4,2.4,2.4,500.0
85,2014/02/19 15:31:00,2.4,2.4,2.4,2.4,1.0
86,2014/02/28 13:10:00,2.4,2.4,2.4,2.4,180.0
87,2014/02/28 15:31:00,2.3,2.3,2.3,2.3,1.0
88,2014/03/05 11:05:00,2.2,2.2,2.2,2.2,10.0
89,2014/03/05 15:31:00,2.2,2.2,2.2,2.2,1.0
90,2014/03/06 10:31:00,2.1,2.1,2.1,2.1,20.0
91,2014/03/06 10:44:00,2.1,2.1,2.1,2.1,5000.0
92,2014/03/06 10:52:00,2.1,2.1,2.1,2.1,580.0
93,2014/03/06 12:52:00,2.25,2.25,2.25,2.25,1.0
94,2014/03/06 15:31:00,2.25,2.25,2.25,2.25,1.0
95,2014/03/18 11:58:00,2.15,2.3,2.15,2.3,10000.0
96,2014/03/18 11:59:00,2.35,2.35,2.35,2.35,1401.0
97,2014/03/18 12:00:00,2.35,2.35,2.35,2.35,1150.0
98,2014/03/18 12:38:00,2.35,2.35,2.35,2.35,100.0
99,2014/03/18 13:05:00,2.35,2.35,2.35,2.35,1.0
100,2014/03/18 13:10:00,2.35,2.35,2.35,2.35,50.0
101,2014/03/18 14:30:00,2.35,2.35,2.35,2.35,50.0
102,2014/03/18 15:30:00,2.35,2.35,2.35,2.35,1.0
103,2014/03/19 12:24:00,2.25,2.45,2.25,2.45,8820.0
104,2014/03/19 12:25:00,2.45,2.45,2.45,2.45,1000.0
105,2014/03/19 12:26:00,2.45,2.45,2.45,2.45,4180.0
106,2014/03/19 12:28:00,2.45,2.45,2.45,2.45,20.0
107,2014/03/19 15:28:00,2.3,2.3,2.3,2.3,10.0
108,2014/03/19 15:30:00,2.3,2.3,2.3,2.3,1.0
109,2014/03/20 09:26:00,2.4,2.4,2.4,2.4,1.0
110,2014/03/20 09:36:00,2.35,2.35,2.35,2.35,1.0
111,2014/03/20 09:48:00,2.4,2.4,2.4,2.4,1.0
112,2014/03/20 11:23:00,2.4,2.4,2.4,2.4,3600.0
113,2014/03/20 11:26:00,2.4,2.4,2.4,2.4,900.0
114,2014/03/20 13:15:00,2.2,2.35,2.2,2.35,2.0
115,2014/03/20 14:06:00,2.2,2.2,2.2,2.2,72.0
116,2014/03/20 14:19:00,2.4,2.4,2.4,2.4,4472.0
117,2014/03/20 14:33:00,2.4,2.4,2.4,2.4,528.0
118,2014/03/20 14:40:00,2.4,2.4,2.4,2.4,372.0
119,2014/03/20 15:30:00,2.4,2.4,2.4,2.4,1.0
120,2014/03/21 10:25:00,2.45,2.45,2.45,2.45,1.0
121,2014/03/21 15:03:00,2.3,2.3,2.3,2.3,17.0
122,2014/03/21 15:31:00,2.3,2.3,2.3,2.3,1.0
123,2014/03/25 09:16:00,2.35,2.35,2.35,2.35,1.0
124,2014/03/25 10:26:00,2.3,2.3,2.3,2.3,100.0
125,2014/03/25 10:27:00,2.3,2.3,2.3,2.3,50.0
126,2014/03/25 10:33:00,2.3,2.3,2.3,2.3,2.0
127,2014/03/25 15:24:00,2.2,2.2,2.2,2.2,1.0
128,2014/03/25 15:31:00,2.2,2.2,2.2,2.2,1.0
129,2014/03/25 15:43:00,2.2,2.2,2.2,2.2,1.0
130,2014/04/01 14:35:00,2.3,2.3,2.3,2.3,500.0
131,2014/04/01 14:45:00,2.3,2.3,2.3,2.3,500.0
132,2014/04/01 15:12:00,2.3,2.3,2.3,2.3,43.0
133,2014/04/01 15:31:00,2.3,2.3,2.3,2.3,1.0
134,2014/04/01 15:47:00,2.3,2.3,2.3,2.3,1.0
135,2014/04/01 15:49:00,2.3,2.3,2.3,2.3,1.0
136,2014/04/02 10:21:00,2.3,2.4,2.3,2.4,1000.0
137,2014/04/02 15:31:00,2.4,2.4,2.4,2.4,1.0
138,2014/04/07 11:55:00,2.4,2.4,2.4,2.4,1350.0
139,2014/04/07 12:06:00,2.5,2.5,2.5,2.5,700.0
140,2014/04/07 12:47:00,2.5,2.5,2.5,2.5,30.0
141,2014/04/07 14:36:00,2.5,2.5,2.5,2.5,300.0
142,2014/04/07 15:31:00,2.5,2.5,2.5,2.5,1.0
143,2014/04/09 10:44:00,2.5,2.6,2.5,2.6,716.0
144,2014/04/09 10:52:00,2.6,2.6,2.6,2.6,50.0
145,2014/04/09 15:31:00,2.6,2.6,2.6,2.6,1.0
146,2014/04/10 11:04:00,2.6,2.6,2.6,2.6,277.0
147,2014/04/10 11:15:00,2.7,2.7,2.7,2.7,100.0
148,2014/04/10 11:16:00,2.7,2.7,2.7,2.7,124.0
149,2014/04/10 11:36:00,2.7,2.7,2.7,2.7,501.0
150,2014/04/10 11:38:00,2.7,2.7,2.7,2.7,250.0
151,2014/04/10 12:02:00,2.7,2.7,2.7,2.7,400.0
152,2014/04/10 14:17:00,2.7,2.7,2.7,2.7,100.0
153,2014/04/10 14:36:00,2.7,2.7,2.7,2.7,100.0
154,2014/04/10 15:31:00,2.7,2.7,2.7,2.7,1.0
155,2014/04/11 10:59:00,2.7,2.7,2.7,2.7,2280.0
156,2014/04/11 11:01:00,2.8,2.8,2.8,2.8,400.0
157,2014/04/11 11:29:00,2.8,2.8,2.8,2.8,100.0
158,2014/04/11 14:04:00,2.8,2.8,2.8,2.8,100.0
159,2014/04/11 15:31:00,2.8,2.8,2.8,2.8,1.0
160,2014/04/15 09:50:00,2.8,2.8,2.8,2.8,250.0
161,2014/04/15 14:11:00,2.9,2.9,2.9,2.9,1000.0
162,2014/04/15 14:12:00,2.9,2.9,2.9,2.9,149.0
163,2014/04/15 14:52:00,2.9,2.9,2.9,2.9,200.0
164,2014/04/15 15:22:00,2.9,2.9,2.9,2.9,2000.0
165,2014/04/15 15:31:00,2.9,2.9,2.9,2.9,1.0
166,2014/04/16 10:51:00,2.9,2.9,2.9,2.9,7000.0
167,2014/04/16 10:52:00,3.0,3.0,3.0,3.0,300.0
168,2014/04/16 11:34:00,3.0,3.0,3.0,3.0,579.0
169,2014/04/16 13:45:00,3.0,3.0,3.0,3.0,2851.0
170,2014/04/16 13:49:00,3.0,3.0,3.0,3.0,250.0
171,2014/04/16 14:34:00,3.0,3.0,3.0,3.0,3700.0
172,2014/04/16 15:31:00,3.0,3.0,3.0,3.0,1.0
173,2014/04/17 12:41:00,3.0,3.0,3.0,3.0,200.0
174,2014/04/17 13:55:00,3.0,3.0,3.0,3.0,200.0
175,2014/04/17 14:35:00,3.15,3.15,3.15,3.15,3450.0
176,2014/04/17 15:31:00,3.15,3.15,3.15,3.15,1.0
177,2014/04/21 13:21:00,3.15,3.15,3.15,3.15,14.0
178,2014/04/21 15:31:00,3.0,3.0,3.0,3.0,1.0
179,2014/04/22 10:11:00,3.0,3.0,3.0,3.0,420.0
180,2014/04/22 10:12:00,3.0,3.0,3.0,3.0,265.0
181,2014/04/22 10:39:00,3.15,3.15,3.15,3.15,1000.0
182,2014/04/22 11:59:00,2.85,2.85,2.85,2.85,700.0
183,2014/04/22 14:03:00,2.95,2.95,2.95,2.95,88.0
184,2014/04/22 15:31:00,2.95,2.95,2.95,2.95,1.0
185,2014/04/25 12:43:00,2.95,2.95,2.9,2.9,1000.0
186,2014/04/25 15:31:00,2.9,2.9,2.9,2.9,1.0
187,2014/04/25 15:41:00,2.9,2.9,2.9,2.9,1.0
188,2014/04/25 15:53:00,2.9,2.9,2.9,2.9,1.0
189,2014/04/28 13:34:00,2.9,2.9,2.9,2.9,1470.0
190,2014/04/28 15:31:00,2.8,2.8,2.8,2.8,1.0
191,2014/04/29 10:58:00,2.8,2.8,2.8,2.8,152.0
192,2014/04/29 15:30:00,2.7,2.7,2.7,2.7,1.0
193,2014/04/30 10:25:00,2.7,2.7,2.7,2.7,200.0
194,2014/04/30 10:58:00,2.6,2.6,2.6,2.6,300.0
195,2014/04/30 14:19:00,2.6,2.6,2.6,2.6,1000.0
196,2014/04/30 15:31:00,2.6,2.6,2.6,2.6,1.0
197,2014/05/02 09:58:00,2.6,2.6,2.6,2.6,500.0
198,2014/05/02 15:31:00,2.5,2.5,2.5,2.5,1.0
199,2014/05/05 15:14:00,2.5,2.5,2.5,2.5,1.0
200,2014/05/05 15:31:00,2.4,2.4,2.4,2.4,1.0
