index,date,open,high,low,close,volume
0,2018/01/15 10:13:00,88.0,88.0,88.0,88.0,2000.0
1,2018/01/15 10:14:00,88.05,88.05,88.05,88.05,2000.0
2,2018/01/15 13:39:00,86.0,86.0,86.0,86.0,2000.0
3,2018/01/15 14:32:00,85.8,85.8,85.75,85.75,4000.0
4,2018/01/15 14:33:00,85.7,85.7,85.65,85.65,4000.0
5,2018/01/16 09:19:00,94.0,94.0,94.0,94.0,2000.0
6,2018/01/16 11:08:00,84.0,84.15,84.0,84.15,8000.0
7,2018/01/16 11:10:00,84.2,84.25,84.2,84.25,4000.0
8,2018/01/16 11:37:00,84.5,84.5,84.5,84.5,4000.0
9,2018/01/16 12:36:00,84.0,84.0,84.0,84.0,2000.0
10,2018/01/16 12:38:00,82.0,82.0,82.0,82.0,2000.0
11,2018/01/16 13:01:00,75.1,75.1,75.1,75.1,2000.0
12,2018/01/17 09:15:00,90.0,90.0,90.0,90.0,2000.0
13,2018/01/17 10:16:00,81.5,81.55,81.5,81.55,8000.0
14,2018/01/17 11:46:00,81.6,81.65,81.6,81.65,8000.0
15,2018/01/17 12:10:00,81.7,81.75,81.7,81.75,4000.0
16,2018/01/17 12:30:00,82.9,82.9,82.9,82.9,2000.0
17,2018/01/17 15:24:00,81.0,81.0,81.0,81.0,2000.0
18,2018/01/18 09:17:00,65.0,65.0,65.0,65.0,2000.0
19,2018/01/18 09:56:00,82.0,82.05,82.0,82.05,8000.0
20,2018/01/18 11:51:00,82.1,82.15,82.1,82.15,8000.0
21,2018/01/18 12:44:00,82.2,82.25,82.2,82.25,4000.0
22,2018/01/19 09:16:00,98.0,98.0,98.0,98.0,2000.0
23,2018/01/19 09:23:00,82.5,82.5,82.5,82.5,4000.0
24,2018/01/19 09:24:00,82.55,82.55,82.55,82.55,4000.0
25,2018/01/19 11:47:00,82.6,82.6,82.6,82.6,2000.0
26,2018/01/19 11:48:00,82.65,82.65,82.65,82.65,2000.0
27,2018/01/19 14:38:00,82.0,82.0,82.0,82.0,6000.0
28,2018/01/22 10:33:00,82.25,82.4,82.25,82.4,8000.0
29,2018/01/22 11:37:00,82.45,82.5,82.45,82.5,4000.0
30,2018/01/22 14:08:00,82.0,82.0,82.0,82.0,2000.0
31,2018/01/23 09:48:00,82.5,82.55,82.5,82.55,4000.0
32,2018/01/23 13:35:00,82.6,82.75,82.6,82.75,8000.0
33,2018/01/23 13:52:00,75.05,75.05,75.05,75.05,2000.0
34,2018/01/24 09:15:00,89.55,89.55,89.55,89.55,2000.0
35,2018/01/24 10:58:00,82.5,82.5,82.5,82.5,2000.0
36,2018/01/24 10:59:00,82.55,82.75,82.55,82.75,10000.0
37,2018/01/25 09:15:00,69.0,69.0,69.0,69.0,2000.0
38,2018/01/25 09:57:00,83.0,83.1,83.0,83.1,6000.0
39,2018/01/25 09:58:00,83.15,83.25,83.15,83.25,6000.0
40,2018/01/29 09:22:00,86.0,86.0,86.0,86.0,2000.0
41,2018/01/29 11:11:00,82.0,82.1,82.0,82.1,6000.0
42,2018/01/29 11:12:00,82.15,82.25,82.15,82.25,6000.0
43,2018/01/30 09:20:00,76.05,76.05,76.05,76.05,2000.0
44,2018/01/30 09:21:00,82.5,82.55,82.5,82.55,4000.0
45,2018/01/30 09:27:00,83.0,83.0,83.0,83.0,2000.0
46,2018/01/30 10:59:00,83.05,83.05,83.05,83.05,2000.0
47,2018/01/30 11:00:00,83.1,83.2,83.1,83.2,6000.0
48,2018/01/30 11:31:00,80.0,80.0,80.0,80.0,2000.0
49,2018/01/31 09:18:00,95.0,95.0,95.0,95.0,2000.0
50,2018/01/31 09:33:00,83.0,83.05,83.0,83.05,4000.0
51,2018/01/31 10:41:00,83.1,83.25,83.1,83.25,8000.0
52,2018/01/31 12:14:00,81.0,81.0,80.0,80.0,4000.0
53,2018/01/31 13:05:00,80.0,80.0,80.0,80.0,2000.0
54,2018/02/01 09:18:00,76.0,76.0,76.0,76.0,2000.0
55,2018/02/01 09:28:00,66.0,66.0,66.0,66.0,2000.0
56,2018/02/01 09:58:00,75.0,75.05,75.0,75.05,4000.0
57,2018/02/01 11:33:00,75.1,75.15,75.1,75.15,4000.0
58,2018/02/01 11:34:00,75.2,75.25,75.2,75.25,4000.0
