index,date,open,high,low,close,volume
0,2020/12/18 14:06:00,156.5,156.55,156.5,156.55,1921.0
1,2020/12/18 14:07:00,156.5,156.55,156.45,156.55,5319.0
2,2020/12/18 14:08:00,156.45,156.5,156.35,156.5,5542.0
3,2020/12/18 14:09:00,156.5,156.65,156.5,156.65,4988.0
4,2020/12/18 14:10:00,156.65,156.65,156.6,156.65,25365.0
5,2020/12/18 14:11:00,156.6,156.65,156.6,156.6,13038.0
6,2020/12/18 14:12:00,156.65,156.9,156.6,156.9,87996.0
7,2020/12/18 14:13:00,156.85,157.0,156.85,156.9,14053.0
8,2020/12/18 14:14:00,156.9,157.0,156.9,157.0,18376.0
9,2020/12/18 14:15:00,157.05,157.4,157.0,157.4,27590.0
10,2020/12/18 14:16:00,157.4,157.4,157.15,157.2,25702.0
11,2020/12/18 14:17:00,157.3,157.35,157.15,157.3,22201.0
12,2020/12/18 14:18:00,157.2,157.5,157.0,157.5,20696.0
13,2020/12/18 14:19:00,157.45,157.75,157.45,157.6,80631.0
14,2020/12/18 14:20:00,157.6,157.65,157.4,157.6,18579.0
15,2020/12/18 14:21:00,157.55,157.55,157.3,157.35,19929.0
16,2020/12/18 14:22:00,157.35,157.4,157.3,157.4,13085.0
17,2020/12/18 14:23:00,157.35,157.4,157.3,157.3,30525.0
18,2020/12/18 14:24:00,157.35,157.55,157.35,157.55,9965.0
19,2020/12/18 14:25:00,157.55,157.7,157.55,157.65,24655.0
20,2020/12/18 14:26:00,157.7,157.75,157.6,157.75,23875.0
21,2020/12/18 14:27:00,157.7,157.75,157.7,157.75,15307.0
22,2020/12/18 14:28:00,157.75,157.75,157.5,157.6,28581.0
23,2020/12/18 14:29:00,157.6,157.75,157.55,157.75,17913.0
24,2020/12/18 14:30:00,157.75,157.75,157.7,157.75,17022.0
25,2020/12/18 14:31:00,157.75,157.75,157.4,157.5,26880.0
26,2020/12/18 14:32:00,157.5,157.5,157.1,157.2,12836.0
27,2020/12/18 14:33:00,157.2,157.6,157.15,157.6,41200.0
28,2020/12/18 14:34:00,157.55,157.7,157.55,157.7,8348.0
29,2020/12/18 14:35:00,157.7,157.75,157.65,157.75,69505.0
30,2020/12/18 14:36:00,157.75,157.85,157.7,157.8,26625.0
31,2020/12/18 14:37:00,157.85,158.1,157.8,157.8,72225.0
32,2020/12/18 14:38:00,157.9,157.95,157.85,157.95,4069.0
33,2020/12/18 14:39:00,157.95,158.1,157.95,158.0,30949.0
34,2020/12/18 14:40:00,158.1,158.1,158.0,158.0,21567.0
35,2020/12/18 14:41:00,158.05,158.1,158.0,158.0,14173.0
36,2020/12/18 14:42:00,158.0,158.1,157.95,158.1,21749.0
37,2020/12/18 14:43:00,158.05,158.15,158.0,158.15,6566.0
38,2020/12/18 14:44:00,158.15,158.2,158.0,158.2,23259.0
39,2020/12/18 14:45:00,158.2,158.2,158.1,158.15,29148.0
40,2020/12/18 14:46:00,158.1,158.2,158.05,158.15,22116.0
41,2020/12/18 14:47:00,158.15,158.2,158.1,158.15,17536.0
42,2020/12/18 14:48:00,158.15,158.2,158.1,158.2,13904.0
43,2020/12/18 14:49:00,158.2,158.4,158.2,158.3,49626.0
44,2020/12/18 14:50:00,158.3,158.4,158.25,158.35,19041.0
45,2020/12/18 14:51:00,158.35,158.4,158.25,158.25,20028.0
46,2020/12/18 14:52:00,158.25,158.4,158.25,158.4,4002.0
47,2020/12/18 14:53:00,158.4,158.4,158.3,158.3,8941.0
48,2020/12/18 14:54:00,158.3,158.35,158.1,158.1,15903.0
49,2020/12/18 14:55:00,158.1,158.1,157.75,157.9,15398.0
50,2020/12/18 14:56:00,157.8,157.9,157.8,157.8,8039.0
51,2020/12/18 14:57:00,157.9,157.9,157.35,157.4,29297.0
52,2020/12/18 14:58:00,157.35,157.45,157.2,157.25,31545.0
53,2020/12/18 14:59:00,157.25,157.5,157.2,157.5,30314.0
54,2020/12/18 15:00:00,157.45,157.5,157.1,157.1,75101.0
55,2020/12/18 15:01:00,157.1,157.45,156.9,157.45,194443.0
56,2020/12/18 15:02:00,157.45,157.9,157.45,157.85,95148.0
57,2020/12/18 15:03:00,157.9,158.1,157.9,158.05,45689.0
58,2020/12/18 15:04:00,158.05,158.3,158.05,158.15,105935.0
59,2020/12/18 15:05:00,158.1,158.15,157.4,157.45,75878.0
60,2020/12/18 15:06:00,157.45,157.55,157.4,157.55,49980.0
61,2020/12/18 15:07:00,157.55,157.65,157.5,157.65,95879.0
62,2020/12/18 15:08:00,157.6,157.65,157.2,157.2,61693.0
63,2020/12/18 15:09:00,157.2,157.35,157.2,157.35,53456.0
64,2020/12/18 15:10:00,157.3,157.35,157.1,157.1,67251.0
65,2020/12/18 15:11:00,157.1,157.15,157.05,157.1,69910.0
66,2020/12/18 15:12:00,157.15,157.85,157.1,157.75,174365.0
67,2020/12/18 15:13:00,157.75,158.0,157.45,157.55,114687.0
68,2020/12/18 15:14:00,157.5,157.6,157.4,157.6,66599.0
69,2020/12/18 15:15:00,157.6,157.65,157.25,157.25,123068.0
70,2020/12/18 15:16:00,157.3,157.4,157.2,157.4,77509.0
71,2020/12/18 15:17:00,157.4,157.4,157.15,157.15,94485.0
72,2020/12/18 15:18:00,157.2,157.2,157.05,157.05,114508.0
73,2020/12/18 15:19:00,157.1,157.3,157.05,157.25,86341.0
74,2020/12/18 15:20:00,157.25,157.3,157.1,157.1,72694.0
75,2020/12/18 15:21:00,157.1,157.3,157.1,157.15,121508.0
76,2020/12/18 15:22:00,157.1,157.1,157.05,157.1,44692.0
77,2020/12/18 15:23:00,157.05,157.1,156.95,156.95,43234.0
78,2020/12/18 15:24:00,156.9,156.9,156.55,156.55,53603.0
79,2020/12/18 15:25:00,156.6,156.6,156.45,156.45,91596.0
80,2020/12/18 15:26:00,156.4,156.4,156.15,156.25,120780.0
81,2020/12/18 15:27:00,156.35,156.8,156.3,156.65,39581.0
82,2020/12/18 15:28:00,156.5,156.7,156.3,156.3,52171.0
83,2020/12/18 15:29:00,156.35,156.7,156.3,156.65,22150.0
84,2020/12/18 15:30:00,156.65,156.65,156.65,156.65,20.0
85,2020/12/18 15:40:00,157.25,157.25,156.65,157.25,2923.0
86,2020/12/18 15:42:00,157.25,157.25,157.25,157.25,28.0
87,2020/12/18 15:45:00,157.25,157.25,157.25,157.25,2.0
88,2020/12/18 15:46:00,157.25,157.25,157.25,157.25,50.0
89,2020/12/18 15:49:00,157.25,157.25,157.25,157.25,3.0
90,2020/12/18 15:58:00,157.25,157.25,157.25,157.25,20.0
91,2020/12/21 09:07:00,154.5,154.5,154.5,154.5,43999.0
92,2020/12/21 09:15:00,154.65,154.8,153.65,153.95,268316.0
93,2020/12/21 09:16:00,153.45,154.85,153.35,154.8,115862.0
94,2020/12/21 09:17:00,154.6,154.6,154.2,154.3,65863.0
95,2020/12/21 09:18:00,154.4,154.75,154.2,154.55,44566.0
96,2020/12/21 09:19:00,154.6,154.9,154.5,154.5,64089.0
97,2020/12/21 09:20:00,154.6,154.6,154.05,154.25,58454.0
98,2020/12/21 09:21:00,154.2,154.2,153.8,153.85,47093.0
99,2020/12/21 09:22:00,153.8,153.8,153.4,153.7,61235.0
100,2020/12/21 09:23:00,153.9,154.2,153.85,154.0,43921.0
101,2020/12/21 09:24:00,154.0,154.55,153.95,154.55,33565.0
102,2020/12/21 09:25:00,154.45,154.75,154.3,154.6,22657.0
103,2020/12/21 09:26:00,154.7,154.95,154.6,154.65,29801.0
104,2020/12/21 09:27:00,154.55,154.55,153.85,153.85,45707.0
105,2020/12/21 09:28:00,154.0,154.15,153.95,154.05,28298.0
106,2020/12/21 09:29:00,154.15,154.45,154.05,154.25,19919.0
107,2020/12/21 09:30:00,154.25,154.25,153.8,153.8,60343.0
108,2020/12/21 09:31:00,153.9,154.2,153.8,154.15,17100.0
