index,date,open,high,low,close,volume
0,2020/12/17 15:11:00,38.45,38.45,38.25,38.4,6160.0
1,2020/12/17 15:12:00,38.1,38.35,38.1,38.15,6210.0
2,2020/12/17 15:13:00,38.15,38.15,38.1,38.15,1681.0
3,2020/12/17 15:14:00,38.15,38.15,38.15,38.15,660.0
4,2020/12/17 15:15:00,38.1,38.15,38.05,38.15,3729.0
5,2020/12/17 15:16:00,38.15,38.2,38.15,38.2,1500.0
6,2020/12/17 15:17:00,38.15,38.25,38.1,38.1,3981.0
7,2020/12/17 15:18:00,38.3,38.4,38.2,38.2,2122.0
8,2020/12/17 15:19:00,38.2,38.2,38.2,38.2,1000.0
9,2020/12/17 15:20:00,38.25,38.45,38.25,38.45,600.0
10,2020/12/17 15:21:00,38.35,38.35,38.15,38.2,3966.0
11,2020/12/17 15:22:00,38.2,38.25,38.2,38.25,2266.0
12,2020/12/17 15:23:00,38.25,38.25,38.2,38.2,13663.0
13,2020/12/17 15:24:00,38.2,38.5,38.2,38.3,13300.0
14,2020/12/17 15:25:00,38.5,38.5,38.2,38.45,3700.0
15,2020/12/17 15:26:00,38.4,38.4,38.2,38.4,2897.0
16,2020/12/17 15:27:00,38.4,38.4,38.35,38.35,993.0
17,2020/12/17 15:28:00,38.35,38.35,38.25,38.25,30.0
18,2020/12/17 15:29:00,38.25,38.3,38.2,38.2,3079.0
19,2020/12/17 15:30:00,38.2,38.2,38.2,38.2,800.0
20,2020/12/17 15:40:00,38.25,38.25,38.25,38.25,500.0
21,2020/12/17 15:41:00,38.25,38.25,38.25,38.25,10.0
22,2020/12/17 15:49:00,38.25,38.25,38.25,38.25,1500.0
23,2020/12/17 15:53:00,38.25,38.25,38.2,38.2,750.0
24,2020/12/17 15:55:00,38.25,38.25,38.25,38.25,5.0
25,2020/12/18 09:07:00,38.3,38.3,38.3,38.3,4.0
26,2020/12/18 09:15:00,38.4,38.4,38.3,38.3,1656.0
27,2020/12/18 09:16:00,38.25,38.25,38.2,38.2,1838.0
28,2020/12/18 09:17:00,38.2,38.2,38.2,38.2,2150.0
29,2020/12/18 09:18:00,38.25,38.35,38.2,38.2,3744.0
30,2020/12/18 09:19:00,37.95,38.0,37.7,37.75,10301.0
31,2020/12/18 09:20:00,37.8,37.8,37.75,37.75,215.0
32,2020/12/18 09:21:00,37.8,37.8,37.8,37.8,1330.0
33,2020/12/18 09:22:00,37.8,37.8,37.75,37.75,1525.0
34,2020/12/18 09:23:00,37.7,37.75,37.7,37.7,496.0
35,2020/12/18 09:24:00,37.8,37.8,37.55,37.75,800.0
36,2020/12/18 09:25:00,37.75,37.75,37.25,37.45,7627.0
37,2020/12/18 09:26:00,37.4,37.4,37.4,37.4,1108.0
38,2020/12/18 09:27:00,37.4,37.7,37.4,37.55,3080.0
39,2020/12/18 09:28:00,37.75,37.75,37.55,37.7,1021.0
40,2020/12/18 09:29:00,37.6,37.6,37.55,37.55,1507.0
41,2020/12/18 09:30:00,37.55,37.55,37.5,37.5,1736.0
42,2020/12/18 09:31:00,37.5,37.5,37.5,37.5,952.0
43,2020/12/18 09:32:00,37.5,37.5,37.4,37.4,1175.0
44,2020/12/18 09:33:00,37.55,37.6,37.45,37.6,3093.0
45,2020/12/18 09:34:00,37.55,37.55,37.3,37.4,7909.0
46,2020/12/18 09:35:00,37.3,37.6,37.3,37.6,4079.0
47,2020/12/18 09:36:00,37.6,37.65,37.5,37.65,5084.0
48,2020/12/18 09:37:00,37.5,37.55,37.5,37.55,740.0
49,2020/12/18 09:38:00,37.5,37.5,37.5,37.5,3419.0
50,2020/12/18 09:39:00,37.5,37.5,37.35,37.4,6747.0
51,2020/12/18 09:40:00,37.35,37.35,37.05,37.05,3647.0
52,2020/12/18 09:41:00,37.05,37.15,36.9,37.05,5548.0
53,2020/12/18 09:42:00,36.95,37.15,36.95,36.95,2162.0
54,2020/12/18 09:43:00,37.1,37.15,37.0,37.05,921.0
55,2020/12/18 09:44:00,37.25,37.25,36.75,36.8,11404.0
56,2020/12/18 09:45:00,36.8,36.8,36.6,36.75,4509.0
57,2020/12/18 09:46:00,36.75,36.8,36.75,36.75,3668.0
58,2020/12/18 09:47:00,36.8,36.8,36.7,36.75,3656.0
59,2020/12/18 09:48:00,36.9,36.9,36.75,36.75,2160.0
60,2020/12/18 09:49:00,36.75,36.85,36.75,36.85,624.0
61,2020/12/18 09:50:00,36.9,36.9,36.75,36.85,1672.0
62,2020/12/18 09:51:00,36.85,36.9,36.75,36.8,1835.0
63,2020/12/18 09:52:00,36.75,36.9,36.75,36.75,2706.0
64,2020/12/18 09:53:00,36.75,36.8,36.65,36.65,3867.0
65,2020/12/18 09:54:00,36.6,36.65,36.5,36.6,4114.0
66,2020/12/18 09:55:00,36.6,36.7,36.5,36.6,2381.0
67,2020/12/18 09:56:00,36.55,36.6,36.45,36.45,4676.0
68,2020/12/18 09:57:00,36.3,36.45,36.3,36.45,3471.0
69,2020/12/18 09:58:00,36.3,36.35,36.15,36.25,8585.0
70,2020/12/18 09:59:00,36.15,36.2,35.9,35.95,14767.0
71,2020/12/18 10:00:00,35.95,36.05,35.95,36.0,3446.0
72,2020/12/18 10:01:00,36.15,36.25,36.15,36.15,1008.0
73,2020/12/18 10:02:00,36.15,36.25,36.15,36.15,1804.0
74,2020/12/18 10:03:00,36.15,36.45,36.15,36.45,4120.0
75,2020/12/18 10:04:00,36.3,36.6,36.3,36.5,2155.0
76,2020/12/18 10:05:00,36.6,36.6,36.3,36.3,6836.0
77,2020/12/18 10:06:00,36.4,36.4,36.3,36.3,603.0
78,2020/12/18 10:07:00,36.45,36.6,36.45,36.6,2559.0
79,2020/12/18 10:08:00,36.6,36.7,36.5,36.5,2250.0
80,2020/12/18 10:09:00,36.55,36.65,36.5,36.65,719.0
81,2020/12/18 10:10:00,36.5,36.65,36.5,36.55,2075.0
82,2020/12/18 10:11:00,36.55,36.6,36.5,36.55,2702.0
83,2020/12/18 10:12:00,36.55,36.65,36.55,36.65,296.0
84,2020/12/18 10:13:00,36.65,36.7,36.65,36.7,723.0
85,2020/12/18 10:14:00,36.65,36.65,36.5,36.65,2240.0
86,2020/12/18 10:15:00,36.7,36.7,36.65,36.7,122.0
87,2020/12/18 10:16:00,36.7,36.7,36.6,36.6,1253.0
88,2020/12/18 10:17:00,36.6,36.8,36.6,36.8,1880.0
89,2020/12/18 10:18:00,36.8,36.8,36.7,36.7,105.0
90,2020/12/18 10:19:00,36.8,36.8,36.75,36.8,1194.0
91,2020/12/18 10:20:00,36.75,36.8,36.75,36.8,58.0
92,2020/12/18 10:21:00,36.7,36.75,36.7,36.75,60.0
93,2020/12/18 10:22:00,36.8,36.95,36.8,36.95,2138.0
94,2020/12/18 10:23:00,36.85,37.05,36.85,37.05,2564.0
95,2020/12/18 10:24:00,37.05,37.15,37.05,37.15,2101.0
96,2020/12/18 10:25:00,37.2,37.2,37.05,37.05,1755.0
97,2020/12/18 10:26:00,37.2,37.2,37.2,37.2,12.0
98,2020/12/18 10:27:00,37.05,37.15,37.05,37.15,1991.0
99,2020/12/18 10:28:00,37.15,37.2,37.05,37.2,2614.0
100,2020/12/18 10:29:00,37.2,37.25,37.2,37.25,303.0
101,2020/12/18 10:30:00,37.2,37.2,37.1,37.1,19.0
102,2020/12/18 10:31:00,37.2,37.2,37.2,37.2,2600.0
103,2020/12/18 10:32:00,37.05,37.2,37.05,37.2,300.0
104,2020/12/18 10:33:00,37.2,37.2,37.2,37.2,275.0
105,2020/12/18 10:34:00,37.05,37.05,37.05,37.05,1230.0
106,2020/12/18 10:35:00,37.2,37.2,37.05,37.05,580.0
107,2020/12/18 10:36:00,37.05,37.05,37.05,37.05,850.0
108,2020/12/18 10:38:00,37.1,37.1,37.0,37.0,452.0
109,2020/12/18 10:39:00,37.0,37.15,37.0,37.15,435.0
110,2020/12/18 10:40:00,37.05,37.05,37.05,37.05,123.0
111,2020/12/18 10:41:00,37.05,37.05,37.05,37.05,53.0
112,2020/12/18 10:42:00,37.05,37.05,37.05,37.05,95.0
113,2020/12/18 10:44:00,37.05,37.05,37.05,37.05,3.0
114,2020/12/18 10:45:00,37.1,37.15,37.1,37.15,250.0
115,2020/12/18 10:46:00,37.05,37.05,37.05,37.05,20.0
116,2020/12/18 10:48:00,37.15,37.15,37.15,37.15,200.0
117,2020/12/18 10:50:00,37.15,37.15,37.1,37.1,50.0
118,2020/12/18 10:51:00,37.1,37.15,37.1,37.15,637.0
119,2020/12/18 10:52:00,37.15,37.15,37.15,37.15,200.0
120,2020/12/18 10:53:00,37.15,37.15,37.15,37.15,67.0
121,2020/12/18 10:54:00,37.15,37.2,37.15,37.15,1219.0
122,2020/12/18 10:55:00,37.2,37.2,37.2,37.2,750.0
123,2020/12/18 10:56:00,37.15,37.2,37.15,37.2,161.0
124,2020/12/18 10:57:00,37.15,37.15,37.1,37.1,3142.0
125,2020/12/18 10:58:00,37.1,37.1,37.05,37.05,225.0
126,2020/12/18 10:59:00,37.15,37.2,37.15,37.2,1924.0
127,2020/12/18 11:00:00,37.2,37.2,37.15,37.2,2568.0
128,2020/12/18 11:01:00,37.2,37.2,37.0,37.0,1317.0
129,2020/12/18 11:02:00,36.9,36.95,36.9,36.95,550.0
130,2020/12/18 11:03:00,36.9,37.05,36.9,37.05,424.0
131,2020/12/18 11:04:00,37.0,37.05,37.0,37.0,1645.0
132,2020/12/18 11:05:00,37.0,37.05,37.0,37.05,54.0
133,2020/12/18 11:07:00,37.0,37.0,37.0,37.0,300.0
134,2020/12/18 11:08:00,37.05,37.05,37.05,37.05,527.0
135,2020/12/18 11:09:00,37.0,37.05,37.0,37.05,500.0
136,2020/12/18 11:10:00,37.05,37.15,37.05,37.15,83.0
137,2020/12/18 11:11:00,37.05,37.05,37.0,37.0,900.0
138,2020/12/18 11:12:00,37.1,37.1,37.0,37.0,212.0
139,2020/12/18 11:13:00,37.0,37.0,37.0,37.0,355.0
140,2020/12/18 11:14:00,37.0,37.0,37.0,37.0,215.0
141,2020/12/18 11:16:00,37.05,37.05,37.05,37.05,122.0
142,2020/12/18 11:17:00,37.0,37.1,37.0,37.1,150.0
143,2020/12/18 11:18:00,36.85,36.85,36.85,36.85,2200.0
144,2020/12/18 11:19:00,37.05,37.05,37.05,37.05,1248.0
145,2020/12/18 11:20:00,37.05,37.05,36.95,36.95,502.0
146,2020/12/18 11:21:00,37.05,37.05,37.05,37.05,221.0
