index,date,open,high,low,close,volume
0,2018/10/17 14:25:00,51.0,51.0,51.0,51.0,7.0
1,2018/10/17 14:26:00,51.0,51.0,50.15,50.15,40.0
2,2018/10/17 14:35:00,49.5,49.5,46.55,46.55,364.0
3,2018/10/17 14:41:00,47.1,47.1,47.1,47.1,432.0
4,2018/10/17 14:51:00,48.0,48.0,48.0,48.0,1.0
5,2018/10/17 14:54:00,48.0,48.0,48.0,48.0,9.0
6,2018/10/17 15:09:00,48.0,48.0,48.0,48.0,40.0
7,2018/10/17 15:15:00,48.0,48.0,48.0,48.0,10.0
8,2018/10/17 15:18:00,48.0,48.0,48.0,48.0,50.0
9,2018/10/17 15:29:00,48.0,48.0,48.0,48.0,10.0
10,2018/10/19 13:45:00,47.1,47.1,47.1,47.1,602.0
11,2018/10/19 15:11:00,47.2,48.55,47.2,48.55,200.0
12,2018/10/19 15:26:00,47.15,47.15,47.15,47.15,2.0
13,2018/10/22 12:43:00,45.45,45.45,45.45,45.45,100.0
14,2018/10/22 13:14:00,45.1,45.1,45.1,45.1,50.0
15,2018/10/22 13:36:00,46.0,47.0,46.0,47.0,29.0
16,2018/10/22 14:06:00,45.6,45.6,45.6,45.6,700.0
17,2018/10/22 14:53:00,46.0,46.0,46.0,46.0,10.0
18,2018/10/22 15:03:00,45.5,45.5,45.5,45.5,199.0
19,2018/10/22 15:26:00,45.0,45.0,45.0,45.0,91.0
20,2018/10/22 15:28:00,45.0,45.0,45.0,45.0,189.0
21,2018/10/23 09:28:00,43.0,43.0,43.0,43.0,196.0
22,2018/10/23 11:00:00,43.2,43.2,43.2,43.2,95.0
23,2018/10/23 11:23:00,45.0,45.0,45.0,45.0,96.0
24,2018/10/23 11:24:00,45.0,45.0,45.0,45.0,25.0
25,2018/10/23 11:47:00,45.0,45.0,45.0,45.0,40.0
26,2018/10/23 11:48:00,45.0,45.0,45.0,45.0,5.0
27,2018/10/23 12:00:00,47.25,47.3,47.25,47.3,52.0
28,2018/10/23 12:02:00,48.0,48.0,48.0,48.0,211.0
29,2018/10/23 12:06:00,49.5,49.5,49.5,49.5,50.0
30,2018/10/23 12:10:00,47.0,47.0,47.0,47.0,12.0
31,2018/10/23 13:33:00,48.0,48.0,48.0,48.0,10.0
32,2018/10/23 13:38:00,48.0,48.0,48.0,48.0,10.0
33,2018/10/23 13:39:00,48.0,48.0,48.0,48.0,10.0
34,2018/10/23 13:52:00,48.0,48.0,48.0,48.0,40.0
35,2018/10/23 14:03:00,47.3,47.3,47.3,47.3,5.0
36,2018/10/23 14:04:00,48.0,48.0,48.0,48.0,6.0
37,2018/10/23 14:08:00,48.0,48.0,48.0,48.0,6.0
38,2018/10/23 14:09:00,48.0,48.0,48.0,48.0,31.0
39,2018/10/23 14:19:00,49.5,49.5,49.5,49.5,100.0
40,2018/10/23 14:24:00,49.5,49.7,49.5,49.7,657.0
41,2018/10/23 14:28:00,48.6,48.6,48.6,48.6,200.0
42,2018/10/23 14:33:00,49.7,49.7,49.7,49.7,50.0
43,2018/10/23 14:34:00,49.7,49.7,49.7,49.7,25.0
44,2018/10/23 14:41:00,49.7,49.7,49.7,49.7,113.0
45,2018/10/23 14:42:00,49.7,49.7,49.7,49.7,93.0
46,2018/10/23 14:55:00,48.75,48.75,48.75,48.75,100.0
47,2018/10/23 14:59:00,49.0,49.0,49.0,49.0,10.0
48,2018/10/23 15:03:00,48.85,48.85,48.85,48.85,104.0
49,2018/10/24 09:17:00,52.25,52.25,52.25,52.25,5.0
50,2018/10/24 09:23:00,52.25,52.25,52.25,52.25,1.0
51,2018/10/24 09:30:00,50.0,50.0,50.0,50.0,22.0
52,2018/10/24 09:44:00,50.0,50.0,50.0,50.0,133.0
53,2018/10/24 10:02:00,48.65,48.65,48.65,48.65,5.0
54,2018/10/24 10:50:00,51.0,51.0,51.0,51.0,25.0
55,2018/10/24 11:42:00,50.8,50.8,50.8,50.8,1.0
56,2018/10/24 13:26:00,50.0,50.0,50.0,50.0,1.0
57,2018/10/24 13:45:00,50.0,50.0,50.0,50.0,11.0
58,2018/10/24 13:46:00,50.0,50.0,50.0,50.0,18.0
59,2018/10/24 14:56:00,50.8,50.8,50.8,50.8,1.0
60,2018/10/24 15:15:00,48.0,48.0,47.65,47.65,25.0
61,2018/10/24 15:19:00,47.65,47.65,47.65,47.65,1.0
62,2018/10/25 11:57:00,45.6,45.6,45.6,45.6,110.0
63,2018/10/25 14:02:00,46.0,46.0,46.0,46.0,700.0
64,2018/10/25 14:04:00,46.5,46.6,46.5,46.6,2.0
65,2018/10/25 14:06:00,47.0,47.05,47.0,47.05,5.0
66,2018/10/25 14:07:00,47.25,47.25,47.25,47.25,2.0
67,2018/10/25 15:15:00,45.75,45.75,45.75,45.75,3.0
68,2018/10/25 15:29:00,45.8,45.8,45.8,45.8,43.0
69,2018/10/26 14:45:00,45.8,45.8,45.8,45.8,1.0
70,2018/10/26 15:05:00,44.25,44.25,44.25,44.25,700.0
71,2018/10/26 15:22:00,44.0,44.0,44.0,44.0,1.0
72,2018/10/29 11:33:00,46.0,46.0,46.0,46.0,800.0
73,2018/10/29 11:36:00,48.6,48.6,48.6,48.6,10.0
74,2018/10/29 11:38:00,48.6,48.6,48.6,48.6,5.0
75,2018/10/29 12:07:00,46.0,46.0,46.0,46.0,60.0
76,2018/10/29 12:20:00,46.0,46.0,46.0,46.0,54.0
77,2018/10/29 13:34:00,46.0,46.0,46.0,46.0,23.0
78,2018/10/29 13:36:00,48.0,48.0,48.0,48.0,100.0
79,2018/10/29 13:42:00,48.0,48.0,48.0,48.0,400.0
80,2018/10/29 13:52:00,48.65,48.65,48.65,48.65,100.0
81,2018/10/29 14:00:00,48.65,48.65,48.65,48.65,137.0
82,2018/10/29 15:18:00,48.05,48.05,48.05,48.05,237.0
83,2018/10/30 09:17:00,45.0,45.0,45.0,45.0,98.0
84,2018/10/30 09:40:00,51.75,51.75,51.75,51.75,25.0
85,2018/10/30 10:44:00,51.5,51.5,51.5,51.5,1.0
86,2018/10/30 12:08:00,49.0,49.0,49.0,49.0,10.0
87,2018/10/30 12:19:00,48.0,48.0,48.0,48.0,16.0
88,2018/10/30 12:27:00,48.0,48.0,48.0,48.0,25.0
89,2018/10/30 12:46:00,48.0,48.0,48.0,48.0,3.0
90,2018/10/30 13:26:00,50.7,50.7,50.7,50.7,800.0
91,2018/10/30 13:41:00,48.0,48.0,48.0,48.0,197.0
92,2018/10/30 15:28:00,49.5,49.95,49.5,49.95,20.0
93,2018/10/31 09:22:00,47.0,47.0,47.0,47.0,100.0
94,2018/10/31 09:50:00,47.2,47.2,47.2,47.2,100.0
95,2018/10/31 12:06:00,48.95,48.95,48.95,48.95,100.0
96,2018/10/31 13:18:00,47.25,47.25,47.25,47.25,49.0
97,2018/10/31 13:19:00,47.25,47.25,47.25,47.25,152.0
98,2018/10/31 13:43:00,47.25,47.25,47.25,47.25,299.0
99,2018/10/31 14:30:00,47.1,47.1,47.1,47.1,100.0
100,2018/10/31 14:46:00,48.5,48.5,48.5,48.5,100.0
101,2018/10/31 14:58:00,48.0,48.0,48.0,48.0,1.0
102,2018/10/31 15:29:00,47.05,49.0,47.0,49.0,118.0
103,2018/10/31 15:46:00,47.05,47.05,47.05,47.05,1.0
104,2018/11/01 13:29:00,49.0,49.0,49.0,49.0,95.0
105,2018/11/01 13:34:00,50.7,50.7,50.7,50.7,800.0
106,2018/11/01 13:55:00,47.2,47.2,47.2,47.2,100.0
107,2018/11/01 14:14:00,49.0,49.0,49.0,49.0,10.0
108,2018/11/02 10:12:00,50.45,50.45,50.45,50.45,100.0
109,2018/11/02 10:38:00,48.15,48.15,48.15,48.15,13.0
110,2018/11/02 13:19:00,49.0,49.0,49.0,49.0,10.0
111,2018/11/02 13:49:00,49.0,49.0,49.0,49.0,2.0
112,2018/11/05 09:07:00,50.5,50.5,50.5,50.5,4.0
113,2018/11/05 12:54:00,49.0,49.0,49.0,49.0,50.0
114,2018/11/05 14:32:00,47.05,47.05,47.05,47.05,75.0
115,2018/11/05 14:43:00,48.7,48.7,48.7,48.7,700.0
116,2018/11/05 15:17:00,47.05,47.05,47.05,47.05,390.0
117,2018/11/05 15:19:00,47.0,47.0,47.0,47.0,1.0
118,2018/11/05 15:27:00,47.0,47.0,47.0,47.0,70.0
119,2018/11/05 15:28:00,45.1,45.1,45.1,45.1,4.0
120,2018/11/06 10:12:00,47.0,47.0,47.0,47.0,400.0
121,2018/11/06 10:14:00,48.9,48.9,48.9,48.9,2.0
122,2018/11/06 10:15:00,47.0,47.0,47.0,47.0,100.0
123,2018/11/06 10:44:00,47.0,47.0,47.0,47.0,1000.0
124,2018/11/06 10:46:00,47.0,47.0,47.0,47.0,1000.0
125,2018/11/06 10:59:00,44.7,44.7,44.7,44.7,25.0
126,2018/11/06 11:07:00,48.75,48.75,48.75,48.75,800.0
127,2018/11/06 12:36:00,45.0,45.0,45.0,45.0,21.0
128,2018/11/06 12:39:00,46.0,46.0,46.0,46.0,1.0
129,2018/11/06 14:45:00,47.0,47.0,47.0,47.0,2.0
130,2018/11/06 14:48:00,47.0,47.0,47.0,47.0,8.0
131,2018/11/06 14:49:00,47.05,47.05,47.05,47.05,1.0
132,2018/11/06 15:27:00,48.45,48.5,48.45,48.5,16.0
133,2018/11/09 09:27:00,48.0,48.0,48.0,48.0,150.0
134,2018/11/09 09:38:00,50.0,53.0,50.0,53.0,3650.0
135,2018/11/09 10:08:00,52.0,52.0,52.0,52.0,10.0
136,2018/11/09 10:14:00,51.5,51.5,51.5,51.5,100.0
137,2018/11/09 10:19:00,51.5,51.5,51.5,51.5,5.0
138,2018/11/09 15:06:00,50.5,50.5,50.5,50.5,1.0
139,2018/11/09 15:13:00,50.5,51.0,50.5,51.0,5.0
140,2018/11/09 15:22:00,49.0,49.0,49.0,49.0,1.0
141,2018/11/09 15:25:00,49.0,49.0,49.0,49.0,20.0
142,2018/11/12 09:07:00,48.5,48.5,48.5,48.5,70.0
143,2018/11/12 09:47:00,48.25,48.25,48.25,48.25,10.0
144,2018/11/12 10:10:00,48.5,50.5,48.5,50.5,501.0
145,2018/11/12 11:55:00,48.55,48.55,48.55,48.55,50.0
146,2018/11/12 11:58:00,48.9,48.9,48.9,48.9,20.0
147,2018/11/12 12:40:00,47.05,48.8,47.05,48.8,400.0
148,2018/11/12 13:46:00,48.5,48.5,48.5,48.5,7.0
149,2018/11/12 14:33:00,48.5,48.9,48.5,48.9,1242.0
150,2018/11/12 14:34:00,48.9,48.9,48.9,48.9,40.0
151,2018/11/12 15:27:00,47.5,47.5,47.5,47.5,1.0
152,2018/11/13 09:53:00,45.6,45.6,45.6,45.6,2.0
153,2018/11/13 10:05:00,44.1,44.1,44.1,44.1,1.0
154,2018/11/13 11:54:00,45.05,45.05,45.05,45.05,100.0
155,2018/11/13 12:05:00,47.0,47.0,47.0,47.0,1.0
156,2018/11/13 12:09:00,45.05,45.05,45.05,45.05,300.0
157,2018/11/13 12:28:00,46.95,49.5,46.95,49.5,1040.0
158,2018/11/13 12:35:00,45.15,45.15,45.15,45.15,100.0
159,2018/11/13 13:22:00,47.95,47.95,47.95,47.95,5.0
160,2018/11/13 14:58:00,47.0,47.0,47.0,47.0,5.0
161,2018/11/13 15:02:00,47.0,47.0,47.0,47.0,8.0
162,2018/11/13 15:25:00,45.3,47.0,45.3,47.0,105.0
163,2018/11/13 15:26:00,47.75,47.75,47.75,47.75,8.0
164,2018/11/13 15:29:00,46.0,47.8,46.0,47.8,54.0
165,2018/11/14 12:08:00,44.1,44.1,44.1,44.1,15.0
166,2018/11/14 12:15:00,51.05,51.05,51.0,51.0,2764.0
167,2018/11/14 12:16:00,51.0,51.0,51.0,51.0,127.0
168,2018/11/14 12:19:00,44.75,50.95,44.75,50.95,2750.0
169,2018/11/14 12:24:00,45.55,45.55,45.55,45.55,160.0
170,2018/11/14 12:26:00,48.0,48.0,48.0,48.0,22.0
