index,date,open,high,low,close,volume
0,2020/12/15 15:45:00,93.5,93.5,93.5,93.5,10.0
1,2020/12/15 15:46:00,93.5,93.5,93.5,93.5,50.0
2,2020/12/15 15:48:00,93.5,93.5,93.5,93.5,50.0
3,2020/12/15 15:51:00,93.5,93.5,92.0,92.0,130.0
4,2020/12/15 15:52:00,93.5,93.5,93.5,93.5,371.0
5,2020/12/15 15:53:00,93.5,93.5,93.5,93.5,10.0
6,2020/12/15 15:57:00,93.5,93.5,93.5,93.5,35.0
7,2020/12/16 09:07:00,93.0,93.0,93.0,93.0,8453.0
8,2020/12/16 09:15:00,93.9,94.8,92.5,93.0,8424.0
9,2020/12/16 09:16:00,92.95,92.95,90.2,91.8,19970.0
10,2020/12/16 09:17:00,90.45,91.75,90.45,91.3,10396.0
11,2020/12/16 09:18:00,91.4,92.6,91.4,92.35,5617.0
12,2020/12/16 09:19:00,92.65,92.75,92.05,92.4,3411.0
13,2020/12/16 09:20:00,92.15,93.3,92.15,93.05,9674.0
14,2020/12/16 09:21:00,93.05,93.9,93.05,93.9,5122.0
15,2020/12/16 09:22:00,93.5,94.8,93.5,94.8,11991.0
16,2020/12/16 09:23:00,94.6,95.45,94.6,95.45,15953.0
17,2020/12/16 09:24:00,95.4,97.1,95.4,96.1,26734.0
18,2020/12/16 09:25:00,96.0,96.6,95.6,95.95,18974.0
19,2020/12/16 09:26:00,95.95,96.0,94.6,94.95,14120.0
20,2020/12/16 09:27:00,94.5,95.05,94.4,95.05,7899.0
21,2020/12/16 09:28:00,95.05,95.8,95.0,95.65,5632.0
22,2020/12/16 09:29:00,95.2,95.65,94.65,94.95,5664.0
23,2020/12/16 09:30:00,94.9,94.9,93.1,93.5,11447.0
24,2020/12/16 09:31:00,93.1,93.35,92.8,92.95,9834.0
25,2020/12/16 09:32:00,92.95,93.5,92.8,93.5,3145.0
26,2020/12/16 09:33:00,93.65,94.45,93.5,94.1,4385.0
27,2020/12/16 09:34:00,93.9,94.2,93.4,93.75,3180.0
28,2020/12/16 09:35:00,93.3,93.75,93.3,93.65,4912.0
29,2020/12/16 09:36:00,93.65,93.7,93.0,93.0,5037.0
30,2020/12/16 09:37:00,93.1,93.1,92.7,92.7,6954.0
31,2020/12/16 09:38:00,92.95,93.3,92.7,93.0,3049.0
32,2020/12/16 09:39:00,92.8,93.15,92.75,92.95,1968.0
33,2020/12/16 09:40:00,92.7,93.45,92.7,93.15,929.0
34,2020/12/16 09:41:00,93.15,93.15,91.7,92.4,16334.0
35,2020/12/16 09:42:00,92.95,92.95,92.0,92.0,5012.0
36,2020/12/16 09:43:00,91.95,92.0,91.4,91.4,6073.0
37,2020/12/16 09:44:00,91.75,92.25,91.75,91.95,5959.0
38,2020/12/16 09:45:00,92.0,92.2,91.75,91.95,4168.0
39,2020/12/16 09:46:00,91.75,92.0,91.75,91.85,1435.0
40,2020/12/16 09:47:00,91.85,92.2,91.7,92.0,2655.0
41,2020/12/16 09:48:00,92.0,92.5,91.85,92.3,4206.0
42,2020/12/16 09:49:00,92.0,92.25,92.0,92.0,712.0
43,2020/12/16 09:50:00,92.15,92.2,92.0,92.2,460.0
44,2020/12/16 09:51:00,92.0,92.25,92.0,92.05,361.0
45,2020/12/16 09:52:00,92.05,92.25,92.0,92.05,748.0
46,2020/12/16 09:53:00,92.0,92.25,92.0,92.0,3523.0
47,2020/12/16 09:54:00,92.0,92.5,92.0,92.3,1319.0
48,2020/12/16 09:55:00,92.3,92.3,92.0,92.05,1285.0
49,2020/12/16 09:56:00,92.05,92.05,92.0,92.05,1723.0
50,2020/12/16 09:57:00,92.25,92.25,92.0,92.0,1489.0
51,2020/12/16 09:58:00,92.0,92.0,91.45,91.45,3584.0
52,2020/12/16 09:59:00,91.55,91.6,91.3,91.55,1274.0
53,2020/12/16 10:00:00,91.75,91.9,91.55,91.9,648.0
54,2020/12/16 10:01:00,91.5,91.7,91.5,91.5,824.0
55,2020/12/16 10:02:00,91.5,91.65,91.0,91.0,8118.0
56,2020/12/16 10:03:00,91.25,91.3,91.0,91.0,1516.0
57,2020/12/16 10:04:00,91.05,91.3,91.0,91.1,835.0
58,2020/12/16 10:05:00,91.3,91.45,91.2,91.2,488.0
59,2020/12/16 10:06:00,91.5,91.5,91.3,91.3,182.0
60,2020/12/16 10:07:00,91.45,91.45,91.2,91.35,353.0
61,2020/12/16 10:08:00,91.35,91.35,91.1,91.1,461.0
62,2020/12/16 10:09:00,91.2,91.55,91.15,91.5,864.0
63,2020/12/16 10:10:00,91.3,91.3,91.05,91.15,2572.0
64,2020/12/16 10:11:00,91.05,91.2,91.05,91.2,70.0
65,2020/12/16 10:12:00,91.25,91.25,91.05,91.05,677.0
66,2020/12/16 10:13:00,91.25,91.25,91.05,91.1,235.0
67,2020/12/16 10:14:00,91.05,91.4,91.05,91.4,162.0
68,2020/12/16 10:15:00,91.3,91.4,91.1,91.1,306.0
