index,date,open,high,low,close,volume
0,2019/05/30 11:59:00,49.9,49.9,49.9,49.9,2000.0
1,2019/05/30 12:08:00,49.9,49.9,49.9,49.9,2000.0
2,2019/05/30 12:22:00,50.15,50.15,50.15,50.15,2000.0
3,2019/05/30 12:35:00,50.2,50.2,50.2,50.2,2000.0
4,2019/05/30 13:18:00,50.0,50.0,50.0,50.0,2000.0
5,2019/05/30 14:18:00,49.15,49.15,49.1,49.1,4000.0
6,2019/05/30 14:26:00,49.85,49.85,49.85,49.85,2000.0
7,2019/05/30 15:07:00,49.85,49.85,49.85,49.85,2000.0
8,2019/05/30 15:09:00,49.9,49.9,49.9,49.9,2000.0
9,2019/05/31 10:16:00,50.0,50.0,50.0,50.0,2000.0
10,2019/05/31 11:23:00,48.9,48.9,48.8,48.8,6000.0
11,2019/05/31 11:37:00,49.8,49.8,49.8,49.8,2000.0
12,2019/05/31 13:22:00,49.45,49.45,49.45,49.45,2000.0
13,2019/05/31 13:23:00,49.5,49.5,49.5,49.5,2000.0
14,2019/06/03 09:36:00,48.05,48.05,48.05,48.05,2000.0
15,2019/06/03 10:07:00,49.0,49.2,49.0,49.2,4000.0
16,2019/06/03 10:09:00,48.8,48.8,48.8,48.8,2000.0
17,2019/06/03 10:10:00,48.7,48.7,48.7,48.7,2000.0
18,2019/06/03 10:11:00,49.0,49.4,49.0,49.4,4000.0
19,2019/06/03 10:12:00,49.0,49.0,49.0,49.0,2000.0
20,2019/06/03 10:19:00,49.15,49.15,49.15,49.15,2000.0
21,2019/06/03 10:20:00,49.0,49.35,48.95,49.35,6000.0
22,2019/06/03 10:21:00,49.05,49.05,49.05,49.05,2000.0
23,2019/06/03 10:23:00,49.05,49.05,48.9,48.9,4000.0
24,2019/06/03 10:24:00,49.0,49.25,49.0,49.15,6000.0
25,2019/06/03 10:53:00,49.0,49.0,49.0,49.0,2000.0
26,2019/06/03 12:08:00,49.0,49.0,49.0,49.0,2000.0
27,2019/06/03 12:34:00,48.8,48.8,48.8,48.8,2000.0
28,2019/06/03 12:38:00,48.7,48.7,48.7,48.7,2000.0
29,2019/06/03 12:41:00,48.6,48.6,48.6,48.6,2000.0
30,2019/06/03 15:26:00,48.5,48.5,48.5,48.5,4000.0
31,2019/06/04 11:13:00,48.6,48.6,48.6,48.6,2000.0
32,2019/06/04 14:03:00,49.0,49.0,49.0,49.0,2000.0
33,2019/06/07 09:15:00,41.0,41.0,41.0,41.0,2000.0
34,2019/06/07 09:26:00,46.0,46.0,46.0,46.0,2000.0
35,2019/06/07 09:30:00,49.5,49.5,49.5,49.5,2000.0
36,2019/06/07 11:25:00,48.8,48.8,48.8,48.8,2000.0
37,2019/06/07 12:31:00,48.6,48.6,48.6,48.6,2000.0
38,2019/06/07 12:49:00,49.25,49.25,49.25,49.25,2000.0
39,2019/06/07 12:50:00,49.0,49.0,49.0,49.0,2000.0
40,2019/06/07 12:51:00,48.9,49.1,48.9,49.1,4000.0
41,2019/06/07 12:54:00,49.0,49.0,48.85,48.85,4000.0
42,2019/06/07 12:55:00,48.95,49.05,48.95,49.05,4000.0
43,2019/06/07 12:58:00,49.15,49.15,49.15,49.15,2000.0
44,2019/06/07 12:59:00,48.9,48.95,48.9,48.95,4000.0
45,2019/06/07 14:11:00,49.0,49.0,49.0,49.0,2000.0
46,2019/06/07 14:14:00,48.95,48.95,48.9,48.9,4000.0
47,2019/06/07 14:21:00,49.15,49.15,49.15,49.15,2000.0
48,2019/06/10 14:55:00,48.3,48.3,48.3,48.3,2000.0
49,2019/06/11 15:18:00,48.0,48.0,48.0,48.0,2000.0
