index,date,open,high,low,close,volume
0,2020/12/09 11:57:00,45.5,45.6,45.25,45.6,5580.0
1,2020/12/09 11:58:00,45.7,45.7,45.25,45.25,1110.0
2,2020/12/09 11:59:00,45.55,45.55,45.0,45.0,1725.0
3,2020/12/09 12:00:00,45.0,45.0,45.0,45.0,352.0
4,2020/12/09 12:01:00,44.75,44.8,44.7,44.7,1510.0
5,2020/12/09 12:02:00,45.0,45.0,44.8,44.8,1051.0
6,2020/12/09 12:03:00,44.7,44.8,44.0,44.0,4747.0
7,2020/12/09 12:04:00,44.2,44.45,44.2,44.2,1079.0
8,2020/12/09 12:05:00,44.2,45.1,44.2,45.0,11254.0
9,2020/12/09 12:06:00,45.0,45.0,44.9,44.9,1543.0
10,2020/12/09 12:07:00,44.8,44.8,44.7,44.7,37.0
11,2020/12/09 12:08:00,44.9,45.1,44.6,44.6,12432.0
12,2020/12/09 12:09:00,44.6,44.6,44.5,44.5,48.0
13,2020/12/09 12:10:00,44.9,44.9,44.9,44.9,2.0
14,2020/12/09 12:11:00,45.0,45.0,45.0,45.0,1000.0
15,2020/12/09 12:13:00,45.05,45.3,45.05,45.3,2230.0
16,2020/12/09 12:14:00,45.35,45.45,45.25,45.3,8600.0
17,2020/12/09 12:15:00,45.5,45.7,45.3,45.7,1306.0
18,2020/12/09 12:16:00,46.4,46.4,45.5,46.0,71038.0
19,2020/12/09 12:17:00,46.1,46.1,46.1,46.1,719.0
20,2020/12/09 12:18:00,46.1,46.2,46.0,46.05,6611.0
21,2020/12/09 12:19:00,46.05,46.2,46.0,46.2,551.0
22,2020/12/09 12:20:00,46.2,46.2,46.0,46.0,4402.0
23,2020/12/09 12:21:00,46.0,46.0,45.75,45.75,11933.0
24,2020/12/09 12:22:00,45.65,45.9,45.25,45.9,2904.0
25,2020/12/09 12:23:00,45.85,45.85,45.85,45.85,300.0
26,2020/12/09 12:24:00,45.65,45.65,45.65,45.65,100.0
27,2020/12/09 12:25:00,45.65,45.8,45.65,45.8,408.0
28,2020/12/09 12:26:00,45.75,45.75,45.4,45.45,2621.0
29,2020/12/09 12:27:00,45.6,45.85,45.6,45.85,618.0
30,2020/12/09 12:28:00,45.9,46.0,45.65,45.65,4893.0
31,2020/12/09 12:29:00,45.6,45.6,45.6,45.6,120.0
32,2020/12/09 12:30:00,45.6,45.6,45.45,45.45,549.0
33,2020/12/09 12:31:00,45.45,45.8,45.45,45.8,225.0
