index,date,open,high,low,close,volume
0,2020/12/18 13:01:00,163.05,163.05,162.75,162.75,27.0
1,2020/12/18 13:02:00,162.85,162.95,162.85,162.95,97.0
2,2020/12/18 13:03:00,162.9,163.05,162.9,163.05,589.0
3,2020/12/18 13:04:00,162.75,162.85,162.75,162.85,3742.0
4,2020/12/18 13:05:00,162.85,163.05,162.85,163.05,1150.0
5,2020/12/18 13:07:00,163.2,163.2,163.05,163.05,101.0
6,2020/12/18 13:08:00,163.2,163.2,163.2,163.2,64.0
7,2020/12/18 13:10:00,163.25,163.25,163.05,163.05,1554.0
8,2020/12/18 13:11:00,163.25,163.25,163.05,163.2,86.0
9,2020/12/18 13:13:00,163.25,163.25,163.2,163.25,167.0
10,2020/12/18 13:14:00,163.25,163.25,163.25,163.25,10.0
11,2020/12/18 13:15:00,163.3,163.35,163.3,163.35,120.0
12,2020/12/18 13:16:00,163.1,163.1,163.1,163.1,100.0
13,2020/12/18 13:17:00,163.1,163.1,163.05,163.05,500.0
14,2020/12/18 13:18:00,162.85,162.95,162.75,162.75,3095.0
15,2020/12/18 13:19:00,162.8,162.8,162.6,162.6,956.0
16,2020/12/18 13:21:00,162.65,162.65,162.65,162.65,110.0
17,2020/12/18 13:23:00,162.65,162.65,162.65,162.65,55.0
18,2020/12/18 13:25:00,162.9,163.0,162.9,163.0,250.0
19,2020/12/18 13:26:00,162.7,162.95,162.7,162.95,302.0
20,2020/12/18 13:27:00,163.2,163.6,163.2,163.6,6363.0
21,2020/12/18 13:28:00,163.65,163.65,163.6,163.6,36.0
22,2020/12/18 13:29:00,163.6,163.6,163.55,163.55,110.0
23,2020/12/18 13:30:00,163.6,163.9,163.6,163.65,1372.0
24,2020/12/18 13:31:00,163.7,163.95,163.7,163.95,350.0
25,2020/12/18 13:32:00,163.7,163.85,163.7,163.85,1553.0
26,2020/12/18 13:33:00,163.4,163.4,163.4,163.4,2039.0
27,2020/12/18 13:34:00,163.3,163.3,163.15,163.15,26.0
28,2020/12/18 13:35:00,163.15,163.35,163.05,163.35,1284.0
29,2020/12/18 13:36:00,163.25,163.45,163.05,163.05,6113.0
30,2020/12/18 13:37:00,163.05,163.15,163.05,163.15,370.0
31,2020/12/18 13:38:00,163.0,163.0,163.0,163.0,1001.0
32,2020/12/18 13:39:00,163.15,163.15,163.15,163.15,50.0
33,2020/12/18 13:40:00,163.0,163.0,162.9,162.9,1644.0
34,2020/12/18 13:41:00,163.05,163.05,162.8,162.8,630.0
35,2020/12/18 13:44:00,161.75,161.85,161.75,161.8,14575.0
36,2020/12/18 13:45:00,161.65,162.0,161.65,161.9,1627.0
37,2020/12/18 13:46:00,162.0,162.0,161.75,162.0,9061.0
38,2020/12/18 13:47:00,161.85,161.95,161.65,161.95,1758.0
39,2020/12/18 13:48:00,161.95,162.0,161.7,162.0,364.0
40,2020/12/18 13:49:00,162.0,162.0,161.8,161.95,395.0
41,2020/12/18 13:50:00,161.85,162.0,161.8,162.0,1341.0
42,2020/12/18 13:51:00,162.0,162.0,162.0,162.0,58.0
43,2020/12/18 13:53:00,162.0,162.0,161.95,162.0,4195.0
44,2020/12/18 13:54:00,161.85,162.0,161.85,162.0,315.0
45,2020/12/18 13:55:00,162.0,162.0,162.0,162.0,113.0
46,2020/12/18 13:56:00,162.0,162.0,162.0,162.0,205.0
47,2020/12/18 13:57:00,162.0,162.0,162.0,162.0,710.0
48,2020/12/18 13:58:00,162.0,162.0,162.0,162.0,251.0
49,2020/12/18 13:59:00,161.95,161.95,161.6,161.6,1529.0
50,2020/12/18 14:00:00,161.85,161.85,161.8,161.8,275.0
51,2020/12/18 14:01:00,161.8,161.95,161.8,161.95,273.0
52,2020/12/18 14:02:00,161.85,161.95,161.75,161.95,415.0
53,2020/12/18 14:03:00,161.9,161.9,161.9,161.9,236.0
54,2020/12/18 14:04:00,161.9,161.9,161.75,161.9,1664.0
55,2020/12/18 14:05:00,161.7,161.9,161.65,161.9,1234.0
56,2020/12/18 14:06:00,161.9,161.9,161.9,161.9,1432.0
57,2020/12/18 14:07:00,161.9,161.9,161.8,161.9,473.0
58,2020/12/18 14:08:00,161.8,161.9,161.8,161.9,112.0
59,2020/12/18 14:09:00,162.0,162.0,162.0,162.0,425.0
60,2020/12/18 14:10:00,162.0,162.0,161.6,161.6,851.0
61,2020/12/18 14:11:00,161.65,161.8,161.65,161.8,578.0
62,2020/12/18 14:12:00,161.95,162.0,161.95,162.0,9057.0
63,2020/12/18 14:13:00,162.0,162.0,161.95,161.95,565.0
64,2020/12/18 14:14:00,162.0,162.0,161.8,161.8,2416.0
65,2020/12/18 14:16:00,161.95,162.0,161.95,162.0,386.0
66,2020/12/18 14:17:00,162.0,162.0,162.0,162.0,708.0
67,2020/12/18 14:18:00,161.85,161.85,161.85,161.85,227.0
68,2020/12/18 14:19:00,161.95,161.95,161.95,161.95,1300.0
69,2020/12/18 14:20:00,161.95,161.95,161.95,161.95,804.0
70,2020/12/18 14:21:00,161.85,161.85,161.85,161.85,497.0
71,2020/12/18 14:22:00,161.85,161.95,161.2,161.25,10443.0
72,2020/12/18 14:23:00,161.3,161.45,161.3,161.45,182.0
73,2020/12/18 14:24:00,161.6,161.6,161.6,161.6,81.0
74,2020/12/18 14:25:00,161.75,161.9,161.75,161.9,130.0
75,2020/12/18 14:26:00,161.9,161.9,161.75,161.75,31.0
76,2020/12/18 14:27:00,161.85,161.85,161.7,161.7,1109.0
77,2020/12/18 14:28:00,161.7,161.7,161.7,161.7,101.0
78,2020/12/18 14:29:00,161.75,161.8,161.75,161.8,181.0
79,2020/12/18 14:30:00,161.8,161.8,161.8,161.8,102.0
80,2020/12/18 14:31:00,161.7,162.0,161.7,162.0,3896.0
81,2020/12/18 14:32:00,162.0,162.0,161.8,161.95,190.0
82,2020/12/18 14:33:00,161.7,161.8,161.7,161.8,1026.0
83,2020/12/18 14:34:00,161.5,161.75,161.5,161.75,2009.0
84,2020/12/18 14:35:00,161.75,162.0,161.75,162.0,3824.0
85,2020/12/18 14:36:00,162.0,162.0,162.0,162.0,100.0
86,2020/12/18 14:37:00,161.75,161.75,161.75,161.75,25.0
87,2020/12/18 14:38:00,162.0,162.0,162.0,162.0,2124.0
88,2020/12/18 14:39:00,162.0,162.0,161.85,162.0,1675.0
89,2020/12/18 14:40:00,162.0,162.0,161.8,162.0,856.0
90,2020/12/18 14:41:00,162.0,162.0,161.8,161.8,5568.0
91,2020/12/18 14:42:00,161.8,162.0,161.8,162.0,246.0
92,2020/12/18 14:43:00,162.0,162.0,161.85,161.85,187.0
93,2020/12/18 14:44:00,161.8,161.8,161.75,161.75,1534.0
94,2020/12/18 14:45:00,161.8,161.85,161.55,161.55,934.0
95,2020/12/18 14:46:00,161.85,161.85,161.5,161.65,739.0
96,2020/12/18 14:47:00,161.55,161.85,161.55,161.6,611.0
97,2020/12/18 14:48:00,161.8,161.85,161.65,161.85,687.0
98,2020/12/18 14:49:00,161.85,161.95,161.85,161.85,1065.0
99,2020/12/18 14:50:00,161.6,161.8,161.6,161.8,550.0
100,2020/12/18 14:51:00,161.7,162.0,161.6,162.0,736.0
101,2020/12/18 14:52:00,161.65,161.8,161.6,161.6,1495.0
102,2020/12/18 14:53:00,161.8,161.9,161.8,161.9,350.0
103,2020/12/18 14:54:00,161.85,162.0,161.65,161.95,1335.0
104,2020/12/18 14:55:00,161.85,161.9,161.65,161.85,2268.0
105,2020/12/18 14:56:00,161.9,161.9,161.9,161.9,67.0
106,2020/12/18 14:57:00,161.6,161.95,161.6,161.95,415.0
107,2020/12/18 14:58:00,161.7,161.95,161.65,161.65,3036.0
108,2020/12/18 14:59:00,161.6,161.75,161.6,161.75,350.0
109,2020/12/18 15:00:00,161.7,162.0,161.6,161.95,14783.0
110,2020/12/18 15:01:00,161.8,161.9,161.7,161.7,3441.0
111,2020/12/18 15:02:00,161.7,161.7,161.4,161.4,5832.0
112,2020/12/18 15:03:00,161.4,161.5,161.3,161.3,1934.0
113,2020/12/18 15:04:00,161.3,161.3,161.25,161.3,2329.0
114,2020/12/18 15:05:00,161.3,161.65,161.3,161.6,902.0
115,2020/12/18 15:06:00,161.4,161.5,161.3,161.5,1122.0
116,2020/12/18 15:07:00,161.5,161.6,161.3,161.6,1192.0
117,2020/12/18 15:08:00,161.45,161.75,161.4,161.4,2949.0
118,2020/12/18 15:09:00,161.35,161.7,161.35,161.5,1202.0
119,2020/12/18 15:10:00,161.5,161.6,161.5,161.5,1243.0
120,2020/12/18 15:11:00,161.6,161.6,161.5,161.6,1950.0
121,2020/12/18 15:12:00,161.35,161.35,161.25,161.35,8304.0
122,2020/12/18 15:13:00,161.5,161.55,161.35,161.4,4552.0
123,2020/12/18 15:14:00,161.55,161.55,161.05,161.1,1930.0
124,2020/12/18 15:15:00,161.05,161.1,161.0,161.0,4884.0
125,2020/12/18 15:16:00,161.05,161.1,161.0,161.1,2510.0
126,2020/12/18 15:17:00,161.1,161.1,160.85,160.85,2669.0
127,2020/12/18 15:18:00,160.9,161.2,160.9,161.0,2909.0
128,2020/12/18 15:19:00,160.9,161.3,160.9,161.2,2953.0
129,2020/12/18 15:20:00,160.95,160.95,160.5,160.75,5982.0
130,2020/12/18 15:21:00,160.95,161.15,160.7,161.0,1869.0
131,2020/12/18 15:22:00,161.0,161.15,160.75,161.0,2854.0
132,2020/12/18 15:23:00,161.0,161.0,160.9,161.0,1954.0
133,2020/12/18 15:24:00,161.25,161.3,160.95,161.1,3253.0
134,2020/12/18 15:25:00,161.05,161.25,161.05,161.15,2382.0
135,2020/12/18 15:26:00,161.15,161.15,160.75,161.1,5307.0
136,2020/12/18 15:27:00,161.15,161.25,161.05,161.25,2604.0
137,2020/12/18 15:28:00,161.25,161.35,161.15,161.3,2987.0
138,2020/12/18 15:29:00,161.35,161.7,161.25,161.3,6537.0
