index,date,open,high,low,close,volume
0,2020/08/20 15:12:00,17.0,17.0,17.0,17.0,1500.0
1,2020/08/20 15:13:00,17.45,17.45,17.45,17.45,383.0
2,2020/08/20 15:14:00,17.5,17.5,17.5,17.5,117.0
3,2020/08/20 15:15:00,17.0,17.0,17.0,17.0,666.0
4,2020/08/20 15:16:00,17.7,17.7,17.7,17.7,521.0
5,2020/08/20 15:20:00,17.65,17.65,17.65,17.65,304.0
6,2020/08/20 15:21:00,17.65,17.65,17.65,17.65,50.0
7,2020/08/20 15:22:00,17.45,17.45,17.45,17.45,1550.0
8,2020/08/20 15:29:00,17.05,17.05,17.05,17.05,200.0
9,2020/08/20 15:50:00,17.25,17.25,17.25,17.25,346.0
10,2020/08/21 09:08:00,18.0,18.0,18.0,18.0,100.0
11,2020/08/21 09:15:00,18.0,18.0,18.0,18.0,200.0
12,2020/08/21 09:17:00,16.3,16.3,16.3,16.3,3000.0
13,2020/08/21 09:18:00,17.65,17.65,17.65,17.65,200.0
14,2020/08/21 09:19:00,17.5,17.5,17.5,17.5,125.0
15,2020/08/21 09:21:00,17.25,17.25,17.25,17.25,500.0
16,2020/08/21 09:26:00,17.25,17.25,17.25,17.25,884.0
17,2020/08/21 09:31:00,17.25,17.25,17.25,17.25,5.0
18,2020/08/21 09:32:00,17.25,17.25,17.25,17.25,21.0
19,2020/08/21 09:36:00,17.65,17.65,17.65,17.65,300.0
20,2020/08/21 09:37:00,17.5,17.5,17.5,17.5,100.0
21,2020/08/21 09:48:00,16.6,16.6,16.6,16.6,62.0
22,2020/08/21 09:49:00,17.5,17.5,17.5,17.5,30.0
23,2020/08/21 09:55:00,17.45,17.45,17.45,17.45,100.0
24,2020/08/21 10:00:00,17.3,17.3,17.3,17.3,30.0
25,2020/08/21 10:04:00,17.0,17.0,16.75,16.75,700.0
26,2020/08/21 10:18:00,16.95,16.95,16.95,16.95,32.0
27,2020/08/21 10:19:00,16.95,16.95,16.95,16.95,3.0
28,2020/08/21 10:24:00,16.95,16.95,16.95,16.95,200.0
29,2020/08/21 10:37:00,17.0,17.0,17.0,17.0,1000.0
30,2020/08/21 10:44:00,16.85,16.85,16.85,16.85,1.0
31,2020/08/21 10:47:00,16.95,16.95,16.95,16.95,1.0
32,2020/08/21 10:49:00,16.85,16.85,16.85,16.85,1.0
33,2020/08/21 10:53:00,16.85,16.85,16.85,16.85,210.0
34,2020/08/21 10:54:00,16.95,16.95,16.95,16.95,100.0
35,2020/08/21 10:55:00,16.95,16.95,16.95,16.95,154.0
36,2020/08/21 11:00:00,16.95,16.95,16.95,16.95,139.0
37,2020/08/21 11:08:00,16.95,16.95,16.95,16.95,426.0
38,2020/08/21 11:12:00,17.0,17.2,17.0,17.2,365.0
39,2020/08/21 11:40:00,17.5,17.95,17.5,17.95,2653.0
40,2020/08/21 11:41:00,17.8,17.8,17.8,17.8,12.0
41,2020/08/21 11:42:00,17.0,17.0,16.95,16.95,3042.0
42,2020/08/21 11:43:00,17.0,17.0,17.0,17.0,11500.0
43,2020/08/21 11:44:00,17.0,17.5,17.0,17.05,485.0
44,2020/08/21 11:46:00,17.45,17.45,17.45,17.45,527.0
45,2020/08/21 11:47:00,17.25,17.7,17.25,17.7,3484.0
46,2020/08/21 11:48:00,17.7,18.0,17.7,18.0,1604.0
47,2020/08/21 12:21:00,17.75,17.75,17.75,17.75,100.0
48,2020/08/21 12:25:00,17.75,17.75,17.75,17.75,300.0
49,2020/08/21 12:31:00,17.5,17.5,17.5,17.5,15.0
50,2020/08/21 12:39:00,17.6,17.6,17.6,17.6,35.0
51,2020/08/21 12:41:00,17.6,17.6,17.6,17.6,20.0
52,2020/08/21 12:53:00,17.3,17.3,17.3,17.3,100.0
53,2020/08/21 12:54:00,17.75,17.75,17.75,17.75,250.0
54,2020/08/21 12:56:00,17.55,17.55,17.55,17.55,1000.0
55,2020/08/21 12:57:00,17.75,17.8,17.75,17.8,584.0
56,2020/08/21 13:00:00,17.8,17.8,17.8,17.8,200.0
57,2020/08/21 13:01:00,17.6,17.6,17.6,17.6,200.0
58,2020/08/21 13:04:00,17.95,17.95,17.95,17.95,788.0
59,2020/08/21 13:05:00,17.9,17.9,17.9,17.9,193.0
60,2020/08/21 13:19:00,17.9,17.9,17.9,17.9,193.0
61,2020/08/21 13:33:00,17.6,17.6,17.6,17.6,150.0
62,2020/08/21 13:38:00,17.6,17.6,17.6,17.6,120.0
63,2020/08/21 13:42:00,17.6,17.6,17.6,17.6,5.0
64,2020/08/21 13:49:00,17.7,17.7,17.7,17.7,1000.0
65,2020/08/21 13:51:00,17.6,17.6,17.6,17.6,50.0
66,2020/08/21 13:59:00,17.6,17.6,17.55,17.55,737.0
67,2020/08/21 14:12:00,17.6,17.6,17.6,17.6,1200.0
68,2020/08/21 14:20:00,17.55,17.55,17.55,17.55,500.0
69,2020/08/21 14:24:00,17.55,17.6,17.55,17.6,253.0
70,2020/08/21 14:25:00,17.6,17.6,17.55,17.55,350.0
71,2020/08/21 14:32:00,17.6,17.6,17.6,17.6,50.0
72,2020/08/21 14:35:00,17.6,17.6,17.6,17.6,10.0
73,2020/08/21 14:53:00,17.55,17.55,17.55,17.55,340.0
74,2020/08/21 15:04:00,17.6,17.6,17.6,17.6,81.0
