index,date,open,high,low,close,volume
0,2020/12/17 09:46:00,775.8,775.8,775.8,775.8,1.0
1,2020/12/17 09:47:00,774.85,775.65,773.9,775.55,83.0
2,2020/12/17 09:48:00,775.6,775.7,774.85,774.85,20.0
3,2020/12/17 09:49:00,774.7,776.0,774.7,776.0,187.0
4,2020/12/17 09:50:00,776.0,776.65,775.2,776.65,36.0
5,2020/12/17 09:51:00,775.25,775.9,774.75,775.9,54.0
6,2020/12/17 09:52:00,776.3,776.3,774.55,775.85,118.0
7,2020/12/17 09:53:00,774.8,776.9,774.8,776.2,19.0
8,2020/12/17 09:54:00,776.0,777.95,776.0,776.25,85.0
9,2020/12/17 09:55:00,776.9,779.3,776.9,778.95,159.0
10,2020/12/17 09:56:00,778.85,779.0,778.05,779.0,87.0
11,2020/12/17 09:57:00,778.95,779.0,777.0,777.15,59.0
12,2020/12/17 09:58:00,777.05,777.95,776.6,777.4,12.0
13,2020/12/17 09:59:00,776.55,777.65,776.4,777.35,16.0
14,2020/12/17 10:00:00,776.2,776.25,775.0,776.25,82.0
15,2020/12/17 10:01:00,776.4,776.95,775.6,776.95,29.0
16,2020/12/17 10:02:00,776.0,776.85,775.8,776.4,34.0
17,2020/12/17 10:03:00,776.7,776.7,775.3,776.4,37.0
18,2020/12/17 10:04:00,775.95,776.0,775.35,775.95,9.0
19,2020/12/17 10:05:00,775.2,776.7,775.1,776.7,168.0
20,2020/12/17 10:06:00,777.3,777.3,776.55,776.55,2.0
21,2020/12/17 10:07:00,777.3,777.3,776.25,776.3,39.0
22,2020/12/17 10:08:00,776.1,776.1,775.95,775.95,40.0
23,2020/12/17 10:09:00,776.0,776.0,775.25,775.25,26.0
24,2020/12/17 10:10:00,775.95,776.0,775.15,775.15,14.0
25,2020/12/17 10:11:00,775.1,775.95,774.35,775.95,121.0
26,2020/12/17 10:12:00,776.0,778.05,775.95,778.05,343.0
27,2020/12/17 10:13:00,778.9,778.95,778.0,778.9,243.0
28,2020/12/17 10:14:00,778.9,778.95,778.0,778.9,39.0
29,2020/12/17 10:15:00,778.9,778.9,778.0,778.0,78.0
30,2020/12/17 10:16:00,778.6,778.75,778.0,778.0,132.0
31,2020/12/17 10:17:00,778.3,778.3,777.4,777.4,186.0
32,2020/12/17 10:18:00,776.9,777.25,776.05,777.25,58.0
33,2020/12/17 10:19:00,776.0,776.7,776.0,776.65,32.0
34,2020/12/17 10:20:00,775.85,775.85,775.6,775.65,36.0
35,2020/12/17 10:21:00,774.5,774.8,774.0,774.8,89.0
36,2020/12/17 10:22:00,774.9,774.9,774.05,774.8,31.0
37,2020/12/17 10:23:00,774.9,775.2,774.35,774.35,6.0
38,2020/12/17 10:24:00,775.05,775.05,774.0,774.25,114.0
39,2020/12/17 10:25:00,774.0,774.25,772.05,772.05,448.0
40,2020/12/17 10:26:00,772.25,775.85,772.25,775.05,315.0
41,2020/12/17 10:27:00,775.8,776.05,775.0,775.9,28.0
42,2020/12/17 10:28:00,775.95,776.3,775.3,775.3,17.0
43,2020/12/17 10:29:00,775.15,776.8,775.15,776.8,29.0
44,2020/12/17 10:30:00,776.9,777.0,776.0,776.15,136.0
45,2020/12/17 10:31:00,777.0,777.7,777.0,777.7,31.0
46,2020/12/17 10:32:00,776.55,777.2,776.3,777.2,4.0
47,2020/12/17 10:33:00,776.3,776.85,775.75,775.75,6.0
48,2020/12/17 10:34:00,776.65,776.65,776.65,776.65,1.0
49,2020/12/17 10:35:00,776.95,776.95,775.85,775.85,6.0
50,2020/12/17 10:36:00,776.75,776.75,776.05,776.05,7.0
51,2020/12/17 10:37:00,776.6,777.5,776.6,777.5,104.0
52,2020/12/17 10:38:00,778.0,778.1,778.0,778.1,100.0
53,2020/12/17 10:39:00,778.65,779.0,777.9,779.0,330.0
54,2020/12/17 10:40:00,778.05,779.0,778.05,778.9,30.0
55,2020/12/17 10:41:00,779.5,782.95,779.5,782.95,1183.0
56,2020/12/17 10:42:00,782.1,782.5,780.25,781.95,673.0
57,2020/12/17 10:43:00,781.65,781.65,780.05,781.25,175.0
58,2020/12/17 10:44:00,780.3,781.75,778.1,778.1,507.0
59,2020/12/17 10:45:00,776.95,778.45,776.95,778.45,107.0
60,2020/12/17 10:46:00,778.0,778.55,778.0,778.55,7.0
61,2020/12/17 10:47:00,776.65,777.75,776.4,776.4,19.0
62,2020/12/17 10:48:00,776.4,777.25,776.35,776.35,6.0
63,2020/12/17 10:49:00,777.3,777.3,776.1,776.2,166.0
64,2020/12/17 10:50:00,775.35,776.15,772.9,772.9,689.0
65,2020/12/17 10:51:00,774.05,775.15,773.35,775.15,124.0
66,2020/12/17 10:52:00,775.45,775.45,774.15,774.15,10.0
67,2020/12/17 10:53:00,775.05,775.05,774.0,774.05,10.0
68,2020/12/17 10:54:00,774.0,775.0,774.0,775.0,75.0
69,2020/12/17 10:55:00,775.0,775.35,775.0,775.35,20.0
70,2020/12/17 10:56:00,774.95,774.95,774.95,774.95,35.0
71,2020/12/17 10:57:00,774.0,776.95,773.5,776.1,801.0
72,2020/12/17 10:58:00,775.15,776.4,775.15,775.2,16.0
73,2020/12/17 10:59:00,775.2,776.1,775.2,776.1,9.0
74,2020/12/17 11:00:00,776.0,776.0,776.0,776.0,1.0
75,2020/12/17 11:01:00,775.05,775.65,774.4,774.4,34.0
76,2020/12/17 11:02:00,774.05,774.8,774.05,774.1,27.0
77,2020/12/17 11:03:00,774.05,774.5,774.05,774.25,28.0
78,2020/12/17 11:04:00,774.5,774.5,774.05,774.5,13.0
79,2020/12/17 11:05:00,774.05,774.5,774.05,774.45,14.0
80,2020/12/17 11:06:00,774.05,774.45,774.05,774.45,23.0
81,2020/12/17 11:07:00,774.05,774.5,774.05,774.5,4.0
82,2020/12/17 11:08:00,774.05,774.5,773.55,774.5,91.0
83,2020/12/17 11:09:00,774.0,774.5,773.15,774.2,133.0
84,2020/12/17 11:10:00,774.45,774.5,774.45,774.5,8.0
85,2020/12/17 11:11:00,774.5,774.5,773.65,774.5,14.0
86,2020/12/17 11:12:00,773.65,774.5,773.65,774.5,15.0
87,2020/12/17 11:13:00,774.5,774.5,774.5,774.5,295.0
88,2020/12/17 11:14:00,774.1,775.6,774.1,775.55,17.0
89,2020/12/17 11:15:00,776.2,776.2,776.2,776.2,2.0
90,2020/12/17 11:16:00,776.2,776.25,774.95,774.95,130.0
91,2020/12/17 11:17:00,774.85,775.85,774.2,774.2,13.0
92,2020/12/17 11:18:00,774.05,774.85,774.0,774.85,6.0
93,2020/12/17 11:19:00,774.9,774.9,774.9,774.9,4.0
94,2020/12/17 11:20:00,775.0,775.0,774.0,774.0,30.0
95,2020/12/17 11:21:00,775.0,775.1,774.0,775.1,167.0
96,2020/12/17 11:22:00,775.75,775.75,775.75,775.75,2.0
97,2020/12/17 11:23:00,775.75,775.75,775.75,775.75,2.0
98,2020/12/17 11:24:00,775.75,775.9,775.75,775.9,13.0
99,2020/12/17 11:25:00,774.75,775.8,774.75,774.85,4.0
100,2020/12/17 11:26:00,775.7,775.7,775.7,775.7,2.0
