index,date,open,high,low,close,volume
0,2020/12/10 11:33:00,97.0,97.0,97.0,97.0,110.0
1,2020/12/10 11:35:00,97.0,97.0,97.0,97.0,296.0
2,2020/12/10 11:39:00,96.8,97.0,96.6,96.6,288.0
3,2020/12/10 11:40:00,97.0,97.0,97.0,97.0,108.0
4,2020/12/10 11:45:00,97.0,97.0,97.0,97.0,139.0
5,2020/12/10 11:47:00,96.8,96.8,96.8,96.8,106.0
6,2020/12/10 11:48:00,96.65,96.8,96.65,96.8,162.0
7,2020/12/10 11:54:00,97.25,97.25,97.25,97.25,153.0
8,2020/12/10 11:59:00,97.15,97.15,97.15,97.15,128.0
9,2020/12/10 12:02:00,96.65,96.65,96.65,96.65,111.0
10,2020/12/10 12:04:00,97.2,97.2,96.75,96.75,218.0
11,2020/12/10 12:07:00,96.75,96.75,96.75,96.75,403.0
12,2020/12/10 12:11:00,96.75,96.75,96.75,96.75,104.0
13,2020/12/10 12:13:00,96.75,96.75,96.75,96.75,502.0
14,2020/12/10 12:14:00,97.2,97.2,97.2,97.2,110.0
15,2020/12/10 12:16:00,97.2,97.2,97.2,97.2,213.0
16,2020/12/10 12:18:00,97.2,97.2,97.2,97.2,108.0
17,2020/12/10 12:21:00,97.2,97.2,97.2,97.2,108.0
18,2020/12/10 12:24:00,96.65,96.65,96.65,96.65,347.0
19,2020/12/10 12:27:00,97.2,97.2,96.55,96.55,424.0
20,2020/12/10 12:28:00,96.6,96.6,96.6,96.6,106.0
21,2020/12/10 12:31:00,96.55,96.55,96.55,96.55,104.0
22,2020/12/10 12:32:00,96.55,96.55,96.55,96.55,337.0
23,2020/12/10 12:33:00,96.65,96.65,96.6,96.6,285.0
24,2020/12/10 12:35:00,96.6,96.6,96.6,96.6,204.0
25,2020/12/10 12:39:00,96.6,96.6,96.6,96.6,122.0
26,2020/12/10 12:40:00,97.0,97.0,97.0,97.0,113.0
27,2020/12/10 12:44:00,96.6,96.6,96.6,96.6,105.0
28,2020/12/10 12:46:00,96.65,96.65,96.65,96.65,115.0
29,2020/12/10 12:47:00,96.95,96.95,96.95,96.95,198.0
30,2020/12/10 12:53:00,96.65,96.95,96.65,96.95,154.0
31,2020/12/10 12:54:00,96.65,96.95,96.65,96.95,113.0
32,2020/12/10 12:57:00,96.95,96.95,96.95,96.95,153.0
33,2020/12/10 12:58:00,96.65,96.65,96.65,96.65,181.0
34,2020/12/10 12:59:00,96.65,96.95,96.65,96.65,331.0
35,2020/12/10 13:01:00,96.65,96.65,96.65,96.65,151.0
36,2020/12/10 13:02:00,96.65,96.65,96.65,96.65,104.0
37,2020/12/10 13:08:00,96.65,96.95,96.65,96.95,183.0
38,2020/12/10 13:11:00,96.65,96.95,96.65,96.95,428.0
39,2020/12/10 13:13:00,96.95,96.95,96.95,96.95,133.0
40,2020/12/10 13:15:00,96.95,96.95,96.95,96.95,123.0
41,2020/12/10 13:16:00,97.15,97.15,97.15,97.15,122.0
42,2020/12/10 13:17:00,97.25,97.4,97.25,97.4,143.0
43,2020/12/10 13:18:00,97.4,97.4,97.4,97.4,128.0
44,2020/12/10 13:22:00,97.45,97.5,97.45,97.5,303.0
45,2020/12/10 13:25:00,97.5,97.5,97.5,97.5,422.0
46,2020/12/10 13:27:00,97.5,97.65,97.5,97.65,235.0
47,2020/12/10 13:28:00,97.6,97.6,97.6,97.6,108.0
48,2020/12/10 13:29:00,97.6,97.6,97.6,97.6,141.0
49,2020/12/10 13:30:00,97.6,97.6,97.6,97.6,215.0
50,2020/12/10 13:32:00,96.8,96.85,96.8,96.85,302.0
51,2020/12/10 13:33:00,97.65,97.65,97.65,97.65,113.0
52,2020/12/10 13:36:00,96.9,96.9,96.9,96.9,133.0
53,2020/12/10 13:37:00,97.65,97.65,96.9,96.9,143.0
54,2020/12/10 13:38:00,96.85,96.85,96.8,96.8,125.0
55,2020/12/10 13:39:00,97.65,97.65,97.65,97.65,122.0
56,2020/12/10 13:40:00,96.8,96.8,96.8,96.8,153.0
57,2020/12/10 13:44:00,96.8,96.8,96.8,96.8,113.0
58,2020/12/10 13:50:00,97.1,97.45,97.1,97.45,124.0
59,2020/12/10 13:51:00,97.4,97.45,97.4,97.45,122.0
60,2020/12/10 13:53:00,97.1,97.1,97.1,97.1,115.0
61,2020/12/10 13:54:00,97.1,97.1,97.1,97.1,128.0
62,2020/12/10 13:58:00,97.1,97.5,97.1,97.5,387.0
63,2020/12/10 13:59:00,97.5,97.5,97.5,97.5,128.0
64,2020/12/10 14:01:00,97.6,97.65,97.6,97.65,144.0
65,2020/12/10 14:02:00,97.5,97.5,97.5,97.5,203.0
66,2020/12/10 14:07:00,97.5,97.5,97.5,97.5,113.0
67,2020/12/10 14:09:00,97.5,97.5,97.5,97.5,239.0
68,2020/12/10 14:11:00,97.5,97.5,97.5,97.5,128.0
69,2020/12/10 14:14:00,97.5,97.5,97.5,97.5,123.0
70,2020/12/10 14:17:00,97.5,97.5,97.5,97.5,112.0
71,2020/12/10 14:18:00,97.5,97.7,97.5,97.7,193.0
72,2020/12/10 14:20:00,97.7,97.7,97.7,97.7,194.0
73,2020/12/10 14:21:00,97.7,97.7,97.7,97.7,212.0
74,2020/12/10 14:22:00,97.05,97.05,97.05,97.05,110.0
75,2020/12/10 14:30:00,97.7,97.7,97.7,97.7,136.0
76,2020/12/10 14:32:00,97.05,97.05,97.05,97.05,109.0
77,2020/12/10 14:39:00,97.7,97.7,97.7,97.7,108.0
78,2020/12/10 14:41:00,97.2,97.2,97.2,97.2,133.0
79,2020/12/10 14:44:00,97.2,97.2,97.2,97.2,140.0
80,2020/12/10 14:45:00,97.2,97.7,97.2,97.7,120.0
81,2020/12/10 14:46:00,97.25,97.25,97.25,97.25,303.0
82,2020/12/10 14:50:00,97.7,97.7,97.7,97.7,108.0
83,2020/12/10 14:53:00,97.6,97.6,97.3,97.3,144.0
84,2020/12/10 14:55:00,97.35,97.35,97.35,97.35,240.0
85,2020/12/10 14:56:00,97.35,97.35,97.35,97.35,113.0
86,2020/12/10 14:57:00,97.35,97.35,97.35,97.35,165.0
87,2020/12/10 14:59:00,97.0,97.0,97.0,97.0,153.0
88,2020/12/10 15:01:00,97.0,97.0,97.0,97.0,157.0
89,2020/12/10 15:02:00,97.0,97.0,97.0,97.0,403.0
90,2020/12/10 15:03:00,96.9,96.9,96.8,96.8,110.0
91,2020/12/10 15:04:00,96.8,96.8,96.8,96.8,106.0
92,2020/12/10 15:07:00,97.0,97.0,96.8,96.8,127.0
93,2020/12/10 15:09:00,96.8,96.8,96.8,96.8,173.0
94,2020/12/10 15:10:00,96.8,96.8,96.8,96.8,128.0
95,2020/12/10 15:11:00,97.0,97.0,96.8,96.8,214.0
96,2020/12/10 15:12:00,96.85,96.85,96.85,96.85,104.0
97,2020/12/10 15:14:00,96.9,96.9,96.9,96.9,202.0
98,2020/12/10 15:16:00,96.9,96.9,96.9,96.9,118.0
99,2020/12/10 15:17:00,96.5,96.5,96.5,96.5,613.0
100,2020/12/10 15:18:00,96.5,96.5,95.9,96.0,427.0
101,2020/12/10 15:19:00,96.0,96.0,96.0,96.0,188.0
102,2020/12/10 15:20:00,96.0,96.0,96.0,96.0,513.0
103,2020/12/10 15:21:00,96.0,96.0,96.0,96.0,108.0
104,2020/12/10 15:22:00,96.0,96.0,96.0,96.0,119.0
105,2020/12/10 15:23:00,96.0,96.0,96.0,96.0,423.0
