index,date,open,high,low,close,volume
0,2020/12/16 10:46:00,73.4,73.4,73.4,73.4,6.0
1,2020/12/16 10:47:00,73.45,73.6,73.45,73.6,568.0
2,2020/12/16 10:48:00,73.6,73.65,73.6,73.65,920.0
3,2020/12/16 10:49:00,73.7,73.9,73.65,73.9,1735.0
4,2020/12/16 10:50:00,73.65,74.0,73.6,73.95,1323.0
5,2020/12/16 10:51:00,73.65,73.65,73.65,73.65,30.0
6,2020/12/16 10:52:00,74.0,74.0,73.65,74.0,814.0
7,2020/12/16 10:53:00,73.95,73.95,73.95,73.95,1185.0
8,2020/12/16 10:54:00,74.0,74.15,74.0,74.0,4384.0
9,2020/12/16 10:55:00,73.8,74.0,73.65,74.0,258.0
10,2020/12/16 10:56:00,74.0,74.0,74.0,74.0,200.0
11,2020/12/16 10:57:00,74.0,74.0,74.0,74.0,500.0
12,2020/12/16 10:58:00,74.0,74.05,74.0,74.0,1135.0
13,2020/12/16 10:59:00,74.0,74.0,74.0,74.0,725.0
14,2020/12/16 11:00:00,74.0,74.0,74.0,74.0,798.0
15,2020/12/16 11:02:00,74.0,74.0,74.0,74.0,700.0
16,2020/12/16 11:03:00,74.0,74.0,74.0,74.0,87.0
17,2020/12/16 11:04:00,73.65,73.65,73.65,73.65,1.0
18,2020/12/16 11:05:00,73.95,73.95,73.9,73.9,400.0
19,2020/12/16 11:06:00,73.95,73.95,73.65,73.65,214.0
20,2020/12/16 11:07:00,73.95,73.95,73.95,73.95,54.0
21,2020/12/16 11:08:00,73.6,73.6,73.6,73.6,106.0
22,2020/12/16 11:09:00,73.5,73.5,73.5,73.5,362.0
23,2020/12/16 11:10:00,73.5,73.5,73.2,73.2,2536.0
24,2020/12/16 11:11:00,73.2,73.2,73.2,73.2,50.0
25,2020/12/16 11:13:00,73.1,73.2,73.0,73.0,2510.0
26,2020/12/16 11:14:00,73.0,73.05,73.0,73.05,1713.0
27,2020/12/16 11:15:00,73.0,73.05,73.0,73.05,885.0
28,2020/12/16 11:16:00,73.0,73.45,73.0,73.45,600.0
29,2020/12/16 11:17:00,73.0,73.0,73.0,73.0,786.0
30,2020/12/16 11:18:00,73.05,73.05,73.0,73.0,370.0
31,2020/12/16 11:19:00,73.4,73.4,73.05,73.05,1011.0
32,2020/12/16 11:21:00,73.05,73.05,73.05,73.05,313.0
