index,date,open,high,low,close,volume
0,2020/12/07 12:57:00,44.95,44.95,44.95,44.95,100.0
1,2020/12/07 12:59:00,44.95,44.95,44.55,44.75,1945.0
2,2020/12/07 13:03:00,44.85,44.85,44.7,44.7,126.0
3,2020/12/07 13:05:00,44.7,44.7,44.7,44.7,499.0
4,2020/12/07 13:06:00,44.9,44.95,44.9,44.95,1002.0
5,2020/12/07 13:07:00,44.9,44.9,44.9,44.9,1.0
6,2020/12/07 13:08:00,44.9,44.9,44.5,44.9,1300.0
7,2020/12/07 13:09:00,44.5,44.5,44.5,44.5,1000.0
8,2020/12/07 13:10:00,44.5,44.65,44.5,44.65,1749.0
9,2020/12/07 13:11:00,44.8,44.8,44.6,44.6,298.0
10,2020/12/07 13:12:00,44.55,44.6,44.55,44.6,325.0
11,2020/12/07 13:14:00,44.7,44.75,44.65,44.65,179.0
12,2020/12/07 13:15:00,44.65,44.7,44.65,44.7,120.0
13,2020/12/07 13:16:00,44.65,44.65,44.65,44.65,55.0
14,2020/12/07 13:17:00,44.7,44.75,44.7,44.75,107.0
15,2020/12/07 13:18:00,44.75,44.75,44.75,44.75,4.0
16,2020/12/07 13:19:00,44.75,44.75,44.75,44.75,6.0
17,2020/12/07 13:20:00,44.75,44.9,44.75,44.9,1413.0
18,2020/12/07 13:21:00,44.9,44.9,44.9,44.9,181.0
19,2020/12/07 13:23:00,44.95,44.95,44.9,44.9,227.0
20,2020/12/07 13:24:00,44.9,44.9,44.9,44.9,209.0
21,2020/12/07 13:25:00,44.9,44.9,44.75,44.75,148.0
22,2020/12/07 13:27:00,44.9,44.9,44.8,44.9,830.0
23,2020/12/07 13:29:00,44.9,44.9,44.9,44.9,1710.0
24,2020/12/07 13:31:00,44.85,44.85,44.85,44.85,100.0
25,2020/12/07 13:32:00,44.75,44.9,44.75,44.9,4612.0
26,2020/12/07 13:33:00,44.9,44.9,44.9,44.9,506.0
27,2020/12/07 13:35:00,44.65,44.65,44.65,44.65,30.0
28,2020/12/07 13:37:00,44.8,44.8,44.8,44.8,200.0
29,2020/12/07 13:38:00,44.65,44.85,44.65,44.85,105.0
30,2020/12/07 13:39:00,44.85,44.85,44.85,44.85,200.0
31,2020/12/07 13:40:00,44.9,44.9,44.9,44.9,1560.0
32,2020/12/07 13:41:00,44.9,44.9,44.7,44.9,299.0
33,2020/12/07 13:43:00,44.5,44.8,44.5,44.8,1630.0
34,2020/12/07 13:45:00,44.8,44.8,44.8,44.8,602.0
35,2020/12/07 13:47:00,44.55,44.55,44.5,44.5,3840.0
36,2020/12/07 13:48:00,44.5,44.5,44.5,44.5,1261.0
37,2020/12/07 13:49:00,44.5,44.5,44.5,44.5,157.0
38,2020/12/07 13:50:00,44.5,44.5,44.45,44.5,350.0
39,2020/12/07 13:51:00,44.5,44.5,44.5,44.5,20.0
40,2020/12/07 13:52:00,44.5,44.5,44.5,44.5,7.0
41,2020/12/07 13:53:00,44.25,44.5,44.0,44.0,19758.0
42,2020/12/07 13:54:00,44.0,44.0,43.9,44.0,2935.0
43,2020/12/07 13:55:00,44.0,44.45,43.85,43.85,4514.0
44,2020/12/07 13:56:00,43.85,44.0,43.85,44.0,615.0
45,2020/12/07 13:57:00,44.25,44.25,44.25,44.25,500.0
46,2020/12/07 13:58:00,44.35,44.45,44.35,44.45,150.0
